"DBUID","year","n_checklists","species_richness"
"35120092004","2014",1,10
"35120092004","2018",3,10
"35120092004","2019",76,23
"35120092004","2020",10,20
"35120092004","2021",5,15
"35120095012","2013",3,18
"35120095012","2014",3,25
"35120095012","2016",1,23
"35120095012","2017",2,11
"35120097004","2018",1,5
"35120098003","2019",3,9
"35120098003","2020",1,8
"35120099001","2016",1,1
"35120099003","2018",1,2
"35120100006","2011",3,34
"35120100006","2012",2,11
"35120100006","2013",9,40
"35120100006","2014",11,37
"35120100006","2015",17,48
"35120100006","2016",11,30
"35120100006","2017",25,47
"35120100006","2018",34,55
"35120100006","2019",30,58
"35120100006","2020",43,59
"35120100006","2021",18,28
"35120100007","2013",1,1
"35120100007","2017",1,2
"35120100008","2014",1,1
"35120101003","2013",34,26
"35120101003","2014",24,27
"35120101003","2015",12,28
"35120101003","2016",15,29
"35120101003","2017",21,33
"35120101003","2018",36,45
"35120101003","2019",61,41
"35120101003","2020",31,32
"35120101003","2021",15,22
"35120101005","2019",2,16
"35120101005","2020",8,21
"35120101008","2018",1,8
"35120101014","2013",3,10
"35120101014","2014",1,5
"35120101014","2015",6,13
"35120101014","2016",5,10
"35120101014","2017",7,11
"35120101014","2019",5,13
"35120101014","2020",2,8
"35120101015","2018",1,4
"35120101018","2017",4,5
"35120101018","2018",7,2
"35120101018","2019",9,7
"35120101018","2020",7,5
"35120101018","2021",1,2
"35120101019","2012",1,5
"35120101019","2017",3,27
"35120101019","2020",1,3
"35120102003","2020",1,35
"35120102015","2019",1,1
"35120102020","2013",9,26
"35120102020","2014",12,24
"35120102020","2015",18,32
"35120102020","2016",19,33
"35120102020","2017",10,32
"35120102020","2018",12,26
"35120102020","2019",17,31
"35120102020","2020",34,33
"35120102020","2021",4,9
"35120102023","2010",2,11
"35120102023","2011",4,19
"35120102023","2012",3,20
"35120102023","2013",1,17
"35120102023","2014",2,27
"35120102023","2015",4,43
"35120102023","2016",2,33
"35120102023","2017",3,16
"35120102023","2018",11,41
"35120102023","2019",9,16
"35120102023","2020",7,30
"35120102023","2021",6,16
"35120103001","2011",1,19
"35120103001","2014",1,2
"35120103001","2019",1,4
"35120105004","2013",1,1
"35120105004","2014",1,1
"35120105005","2013",1,1
"35120105007","2011",6,16
"35120105007","2019",1,12
"35120106004","2011",1,1
"35120106010","2017",1,8
"35120107002","2019",10,24
"35120107002","2020",87,92
"35120107002","2021",10,29
"35120107004","2019",7,11
"35120108003","2011",1,13
"35120109011","2020",1,13
"35120110004","2014",5,27
"35120110004","2017",1,10
"35120110004","2018",8,24
"35120110005","2020",1,2
"35120111012","2020",1,10
"35120113002","2020",1,4
"35120113005","2015",1,9
"35120113005","2019",1,4
"35120114001","2013",2,28
"35120114002","2014",1,4
"35120114003","2019",2,5
