"DBUID","year","n_checklists","species_richness"
"48020062002","2015",2,15
"48020062003","2019",1,2
"48020066005","2011",1,4
"48020066005","2012",9,16
"48020066005","2013",4,9
"48020067001","2015",1,1
"48020068001","2020",1,11
"48020068004","2019",3,11
"48020071003","2017",2,14
"48020071003","2019",1,10
"48020071004","2019",1,11
"48020074002","2011",1,6
"48020074002","2013",1,5
"48020077002","2008",1,12
"48020078002","2020",1,10
"48020080005","2018",1,2
"48020081001","2017",1,4
"48020081001","2018",1,15
"48020081010","2012",1,1
"48020081014","2018",1,4
"48020081019","2020",1,1
"48020081026","2009",1,13
"48020081026","2010",1,8
"48020081026","2012",4,23
"48020081026","2013",4,20
"48020081026","2014",17,44
"48020081026","2015",41,107
"48020081026","2016",22,84
"48020081026","2017",14,50
"48020081026","2018",66,121
"48020081026","2019",131,126
"48020081026","2020",194,150
"48020081026","2021",33,30
"48020082012","2014",1,4
"48020082012","2015",1,7
"48020085005","2013",1,6
"48020086012","2016",2,2
"48020087003","2009",4,8
"48020087003","2010",16,20
"48020087003","2011",17,27
"48020087003","2012",11,28
"48020087003","2013",1,3
"48020087003","2014",6,22
"48020087003","2016",2,13
"48020087003","2017",44,27
"48020087003","2018",147,58
"48020087003","2019",142,43
"48020087003","2020",272,58
"48020087003","2021",38,17
"48020088011","2021",1,9
"48020088016","2012",16,60
"48020088016","2013",8,20
"48020088016","2014",4,12
"48020088016","2015",18,74
"48020088016","2016",10,19
"48020088016","2017",12,29
"48020088016","2018",40,85
"48020088016","2019",57,79
"48020088016","2020",61,97
"48020088016","2021",28,34
"48020089016","2020",1,3
"48020089017","2018",1,19
"48020089017","2019",1,15
"48020089017","2020",1,12
"48020089048","2009",1,8
"48020089048","2010",2,32
"48020089048","2011",11,26
"48020089048","2012",19,43
"48020089048","2013",13,39
"48020089048","2014",6,29
"48020089048","2015",13,52
"48020089048","2016",23,68
"48020089048","2017",18,60
"48020089048","2018",31,59
"48020089048","2019",72,80
"48020089048","2020",82,71
"48020089048","2021",40,22
"48020089049","2018",1,1
"48020089053","2014",1,6
"48020089053","2020",2,10
"48020089054","2018",1,11
"48020090002","2018",1,9
"48020091004","2019",1,1
"48020091017","2015",1,9
"48020091026","2010",1,3
"48020091026","2012",3,6
"48020091026","2013",4,4
"48020091026","2021",1,4
"48020092001","2013",1,8
"48020094008","2019",1,11
"48020095006","2019",1,1
"48020097001","2019",1,8
"48020097005","2018",11,28
"48020097005","2019",13,31
"48020097005","2020",12,33
"48020097005","2021",2,12
"48020097009","2019",1,3
"48020098002","2020",1,4
"48020098004","2009",1,9
"48020098004","2011",2,3
"48020098004","2012",7,13
"48020098004","2013",1,7
"48020098004","2014",7,19
"48020098004","2015",1,10
"48020098004","2017",1,7
"48020098004","2020",1,4
"48020098007","2017",1,3
"48020099012","2017",1,9
"48020099015","2018",4,19
"48020099026","2012",1,11
"48020099030","2018",1,2
"48020101001","2021",2,3
"48020101002","2019",2,7
"48020101002","2020",1,8
"48020101004","2018",1,7
"48020101006","2018",3,6
"48020102002","2019",1,6
"48020102004","2018",4,20
"48020102004","2019",3,24
"48020103005","2018",1,15
"48020103008","2020",1,9
"48020104003","2014",1,1
"48020107006","2007",1,1
"48020107006","2011",8,25
"48020107006","2012",10,21
"48020107006","2013",4,19
"48020107006","2014",1,3
"48020107006","2016",5,13
"48020107006","2017",5,10
"48020107006","2018",4,10
"48020107006","2019",3,17
"48020107006","2020",16,26
"48020107006","2021",6,19
"48020107008","2020",2,18
"48020107010","2019",1,2
"48020107016","2021",2,2
"48020107025","2011",1,10
"48020107025","2012",3,11
"48020107025","2013",2,11
"48020107025","2014",5,18
"48020107025","2015",2,25
"48020107025","2016",10,59
"48020107025","2017",20,78
"48020107025","2018",34,89
"48020107025","2019",57,101
"48020107025","2020",80,130
"48020107025","2021",7,22
"48020110001","2015",1,42
"48020110001","2018",1,5
"48020110001","2019",3,8
"48020110001","2020",1,6
"48020110004","2019",1,1
"48020111004","2016",1,8
"48020111004","2020",1,2
"48020111005","2019",1,1
"48020111006","2019",1,9
"48020112006","2018",1,6
"48020112013","2020",1,7
"48020113005","2020",1,1
"48020113011","2018",1,16
"48020113011","2019",1,5
"48020113011","2020",1,8
"48020113011","2021",5,10
"48020115004","2020",2,6
"48020115007","2017",3,3
"48020115007","2018",1,3
"48020115007","2021",3,11
"48020116001","2016",1,14
"48020116004","2017",1,4
"48020118009","2020",2,17
"48020119005","2014",6,32
"48020119005","2015",1,7
"48020119005","2016",1,2
"48020119005","2017",2,39
"48020119005","2018",3,28
"48020119005","2019",3,27
"48020119005","2020",7,43
"48020119005","2021",1,15
"48020120003","2021",1,4
"48020121012","2020",1,11
"48020123002","2020",2,2
"48020123008","2018",1,14
"48020124012","2015",1,3
"48020124013","2017",1,7
"48020124013","2019",1,2
"48020125003","2018",2,6
"48020128002","2017",1,1
"48020128002","2019",1,14
"48020129002","2021",1,9
"48020129011","2017",4,12
"48020130004","2019",3,4
"48020130007","2020",1,8
"48020131008","2019",1,1
"48020131017","2014",1,1
"48020131017","2015",1,4
"48020131018","2014",2,6
"48020131019","2019",2,8
"48020131019","2020",1,6
"48020131019","2021",9,10
"48020133008","2021",1,3
"48020133034","2011",9,33
"48020133034","2012",31,66
"48020133034","2013",11,38
"48020133034","2014",22,61
"48020133034","2015",11,58
"48020133034","2016",19,60
"48020133034","2017",36,89
"48020133034","2018",36,75
"48020133034","2019",69,76
"48020133034","2020",206,145
"48020133034","2021",51,32
"48020135003","2016",2,9
"48020135006","2015",1,9
"48020135014","2021",3,3
"48020137005","2019",1,12
"48020137005","2020",3,19
"48020137008","2016",1,6
"48020137008","2019",1,16
"48020137008","2020",1,17
"48020138003","2017",1,7
"48020138008","2016",4,14
"48020138008","2020",1,1
"48020138008","2021",1,2
"48020139008","2019",2,14
"48020140002","2021",4,4
"48020143003","2019",1,2
"48020145004","2011",1,6
"48020145004","2012",1,5
"48020145004","2013",2,7
"48020145004","2014",4,12
"48020145004","2016",1,6
"48020145004","2018",9,34
"48020145004","2019",35,56
"48020145004","2020",26,40
"48020145004","2021",2,6
"48020145007","2010",1,10
"48020145007","2019",2,2
"48020145022","2016",2,24
"48020145022","2018",1,5
"48020145022","2019",1,1
"48020145022","2020",1,1
"48020145027","2016",1,1
"48020145027","2019",2,13
"48020145031","2012",1,1
"48020145033","2019",3,9
"48020145038","2011",1,31
"48020145038","2012",1,1
"48020145038","2017",1,2
"48020145038","2018",6,27
"48020145038","2019",14,18
"48020145038","2020",5,61
"48020145038","2021",2,7
"48020149002","2019",5,9
"48020149004","2020",2,6
"48020155002","2018",1,1
"48020155002","2020",2,4
"48020155004","2021",1,6
"48020156008","2019",2,2
"48020157004","2017",1,3
"48020157004","2018",1,11
"48020157004","2019",61,36
"48020157004","2020",47,34
"48020157004","2021",1,3
"48020159003","2011",1,8
"48020159003","2012",1,17
"48020159003","2013",3,9
"48020159003","2014",3,19
"48020159003","2015",1,13
"48020159003","2016",17,60
"48020159003","2017",30,74
"48020159003","2018",17,52
"48020159003","2019",95,111
"48020159003","2020",139,114
"48020159003","2021",39,27
"48020159004","2018",9,21
"48020159004","2020",1,4
"48020159004","2021",2,9
"48020159005","2014",1,13
"48020159005","2015",1,6
"48020159005","2016",3,6
"48020159005","2017",1,14
"48020159005","2020",1,6
"48020160002","2020",2,15
"48020160002","2021",2,10
"48020160003","2010",1,11
"48020160003","2016",1,9
"48020160003","2017",2,11
"48020160003","2018",4,12
"48020160003","2021",2,9
"48020161005","2020",1,1
"48020161011","2014",1,2
"48020162001","2019",1,3
"48020162001","2020",4,26
"48020162001","2021",6,11
"48020162007","2019",1,1
"48020163002","2019",10,32
"48020163002","2020",120,58
"48020163002","2021",34,26
"48020165006","2018",1,5
"48020165006","2019",6,21
"48020165006","2020",11,26
"48020165006","2021",1,6
"48020166001","2020",1,16
"48020166006","2020",1,11
"48020167002","2020",1,6
"48020167003","2020",1,3
"48020169004","2021",2,3
"48020170009","2016",1,2
"48020170009","2017",1,4
"48020170011","2011",1,1
"48020170011","2012",1,5
"48020170011","2014",4,4
"48020170011","2015",2,20
"48020170011","2016",1,21
"48020170011","2017",8,52
"48020170011","2018",5,32
"48020170011","2019",6,34
"48020170011","2020",14,67
"48020170011","2021",34,16
"48020171003","2020",1,16
"48020171003","2021",3,17
"48020172003","2019",1,1
"48020172003","2020",2,13
"48020172006","2020",30,38
"48020172006","2021",16,16
"48020173001","2015",5,7
"48020173001","2016",19,18
"48020173001","2017",2,6
"48020173001","2018",9,14
"48020173001","2019",12,11
"48020173001","2020",2,11
"48020173001","2021",31,10
"48020203035","2019",1,5
"48020203035","2020",2,23
"48020203035","2021",1,7
"48020203057","2020",7,16
"48020203057","2021",1,4
"48020203058","2019",1,5
"48020203059","2008",1,23
"48020203059","2013",4,31
"48020203059","2015",2,14
"48020203059","2016",6,49
"48020203059","2017",17,47
"48020203059","2018",16,61
"48020203059","2019",37,71
"48020203059","2020",32,58
"48020203059","2021",16,22
"48020203060","2007",2,7
"48020203060","2018",1,3
"48020203060","2019",3,7
"48020203060","2020",2,13
"48020203060","2021",1,4
"48020203062","2011",1,3
"48020203062","2012",1,1
"48020203062","2013",2,5
"48020203062","2014",1,3
"48020204004","2015",1,2
"48020204004","2017",1,7
"48020204004","2019",1,3
"48020204004","2020",1,6
"48020204004","2021",3,6
"48020204009","2021",1,1
"48020204018","2021",15,6
"48020204025","2020",1,9
"48020204031","2010",1,2
"48020204042","2019",1,1
"48020205001","2014",15,61
"48020205001","2015",40,78
"48020205001","2016",73,87
"48020205001","2017",33,70
"48020205001","2018",50,90
"48020205001","2019",30,76
"48020205001","2020",18,47
"48020205001","2021",6,20
"48020205002","2016",5,27
"48020205002","2017",2,18
"48020205002","2018",4,23
"48020205002","2019",2,9
"48020205002","2020",9,30
"48020205002","2021",2,9
"48020207001","2020",1,15
"48020207001","2021",2,10
"48020207002","2016",1,6
"48020207002","2018",5,23
"48020207002","2019",2,19
"48020207002","2021",1,6
"48020239003","2016",1,9
"48020239003","2017",6,16
"48020239003","2018",1,10
"48020239003","2019",8,16
"48020239003","2020",25,27
"48020239003","2021",13,10
"48020239004","2016",1,5
"48020239004","2019",1,7
"48020239004","2020",1,5
"48020240004","2016",5,15
"48020240004","2017",8,18
"48020240004","2018",8,23
"48020240004","2019",3,18
"48020240004","2020",8,19
"48020240004","2021",3,17
"48020285001","2014",1,22
"48020285001","2015",1,24
"48020285005","2015",1,27
"48020285005","2016",1,16
"48020285014","2018",1,4
"48020285030","2013",1,1
"48020285038","2018",1,14
"48020285048","2018",2,36
"48020285049","2012",2,24
"48020285050","2011",1,26
"48020285050","2012",2,16
"48020285050","2013",6,39
"48020285050","2014",3,16
"48020285050","2015",4,32
"48020285050","2016",2,20
"48020285050","2018",2,9
"48020285050","2019",4,25
"48020285050","2020",1,6
"48020286021","2011",1,7
"48020286021","2012",1,13
"48020286021","2013",2,12
"48020286021","2014",6,27
"48020286021","2015",2,13
"48020286021","2016",5,45
"48020286021","2017",3,34
"48020286021","2018",2,18
"48020286021","2019",1,4
"48020286021","2020",3,32
"48020286021","2021",1,3
"48020286022","2014",3,24
"48020286022","2016",1,16
"48020287009","2018",1,10
"48020288008","2019",1,23
"48020288008","2020",1,12
"48020289014","2020",1,14
"48020291002","2021",1,10
"48020291030","2021",2,10
"48020293001","2018",1,8
"48020293003","2014",1,2
"48020293006","2018",4,4
"48020293007","2019",2,6
"48020293010","2018",2,24
"48020293013","2018",1,12
"48020293022","2018",1,12
"48020293023","2018",3,18
"48020293024","2019",1,4
"48020293026","2008",1,25
"48020293026","2010",2,15
"48020293026","2011",1,5
"48020293026","2012",3,47
"48020293026","2013",9,50
"48020293026","2014",12,86
"48020293026","2015",16,79
"48020293026","2016",65,132
"48020293026","2017",52,125
"48020293026","2018",38,122
"48020293026","2019",63,141
"48020293026","2020",126,168
"48020293026","2021",8,18
"48020295001","2016",1,12
"48020295002","2020",1,1
"48020295008","2015",1,5
"48020295008","2018",1,16
"48020295009","2018",1,12
"48020295012","2017",1,6
"48020295032","2020",1,1
"48020295035","2018",1,8
"48020295049","2014",1,1
"48020295058","2013",1,1
"48020295058","2014",1,1
"48020295059","2019",1,5
"48020295060","2008",1,1
"48020295068","2016",1,8
"48020295068","2018",1,14
"48020296006","2020",1,4
"48020296029","2017",1,41
"48020296031","2013",1,8
"48020297002","2013",1,14
"48020297008","2018",1,11
"48020297016","2018",1,10
"48020297025","2018",2,5
"48020297025","2019",2,15
"48020297025","2020",3,34
"48020297025","2021",1,5
"48020297040","2010",1,12
"48020297049","2013",2,9
"48020297050","2013",2,11
"48020297069","2013",3,28
"48020297069","2014",3,11
"48020297072","2016",2,13
