"DBUID","year","n_checklists","species_richness"
"35340021002","2014",1,5
"35340021005","2013",2,1
"35340021005","2014",1,1
"35340021006","2017",1,1
"35340021021","2018",1,3
"35340022007","2010",1,2
"35340022007","2019",1,2
"35340025005","2017",2,8
"35340031001","2020",1,1
"35340033007","2021",8,9
"35340033008","2019",4,4
"35340034003","2014",1,10
"35340039002","2016",1,7
"35340039002","2018",1,4
"35340039002","2019",4,14
"35340039002","2020",7,22
"35340045003","2020",2,11
"35340051003","2020",1,8
"35340051009","2007",3,23
"35340051009","2009",1,9
"35340051009","2018",1,12
"35340051009","2020",4,18
"35340051017","2013",1,2
"35340051022","2013",1,4
"35340051022","2015",1,5
"35340051022","2016",7,7
"35340051022","2017",2,3
"35340051022","2019",3,10
"35340051023","2009",2,22
"35340052002","2016",1,11
"35340052002","2019",1,13
"35340052002","2020",1,16
"35340052002","2021",1,10
"35340052015","2012",1,21
"35340052015","2014",1,6
"35340052015","2016",7,42
"35340052015","2017",7,38
"35340052015","2018",5,64
"35340052015","2019",1,9
"35340052015","2020",1,6
"35340052016","2016",19,28
"35340052016","2017",2,13
"35340052016","2018",3,12
"35340052016","2019",1,6
"35340052016","2020",8,17
"35340052016","2021",8,21
"35340056007","2008",1,4
"35340056007","2016",4,20
"35340056007","2018",2,10
"35340056007","2019",4,43
"35340056007","2020",24,84
"35340056007","2021",3,21
"35340058002","2019",18,38
"35340058002","2020",7,41
"35340058015","2016",1,2
"35340058015","2017",1,6
"35340059003","2016",1,8
"35340061012","2014",1,4
"35340061012","2020",2,19
"35340061012","2021",3,14
"35340061017","2010",1,10
"35340061017","2013",1,10
"35340061017","2018",3,20
"35340061017","2019",5,26
"35340062006","2014",1,1
"35340095006","2012",1,16
"35340095006","2014",1,15
"35340098001","2021",2,11
"35340100001","2014",1,9
"35340102001","2020",1,5
"35340103007","2015",1,20
"35340103007","2018",6,9
"35340103007","2019",8,18
"35340103007","2020",13,20
"35340103007","2021",1,6
"35340103010","2011",1,18
"35340103010","2015",1,32
"35340103010","2018",3,15
"35340103010","2019",2,18
"35340103010","2020",7,27
"35340103010","2021",10,16
"35340104013","2019",1,4
"35340104013","2020",31,30
"35340104013","2021",3,6
"35340104014","2018",1,3
"35340123008","2020",1,2
"35340123016","2017",1,22
"35340123016","2020",3,28
"35340130005","2020",1,2
"35340172006","2013",1,7
"35340172006","2014",1,36
"35340172006","2015",1,32
"35340172006","2020",1,4
"35340172006","2021",2,8
"35340172007","2011",1,1
"35340172007","2013",1,6
"35340172007","2014",1,7
"35340172007","2016",3,25
"35340172007","2018",3,23
"35340172007","2019",5,50
"35340172007","2020",16,72
"35340172007","2021",2,7
"35340172008","2011",1,33
"35340172008","2014",1,5
"35340172008","2017",3,10
"35340172008","2018",3,29
"35340172008","2019",4,22
"35340172008","2020",1,3
"35340172008","2021",1,6
"35340172009","2013",2,20
"35340172009","2017",1,5
"35340172010","2013",1,1
"35340172010","2014",1,8
"35340172010","2016",1,7
"35340172010","2018",2,7
"35340172010","2019",2,6
"35340172010","2020",4,13
"35340172010","2021",2,4
"35340172011","2014",1,1
"35340172011","2017",6,33
"35340172011","2020",9,77
"35340172011","2021",1,7
"35340172012","2016",7,28
"35340172012","2018",1,6
"35340172012","2019",2,6
"35340172012","2020",5,39
"35340172013","2008",1,38
"35340172013","2009",1,53
"35340172013","2010",2,54
"35340172013","2011",1,57
"35340172013","2012",1,32
"35340172013","2013",1,18
"35340172013","2015",3,25
"35340172013","2016",3,66
"35340172013","2017",5,92
"35340172013","2018",34,113
"35340172013","2019",29,122
"35340172013","2020",30,135
"35340172013","2021",43,50
"35340172014","2019",1,2
"35340173001","2018",1,16
"35340173001","2019",1,7
"35340173002","2012",1,35
"35340173002","2019",1,4
"35340173005","2012",1,44
"35340173005","2013",2,2
"35340173008","2019",2,9
"35340173009","2018",1,1
"35340173010","2018",1,1
"35340173010","2020",1,1
"35340173011","2012",1,11
"35340173011","2017",1,11
"35340173011","2019",3,10
"35340173011","2020",7,16
"35340173012","2014",1,10
"35340173012","2020",3,17
"35340173013","2007",1,1
