"DBUID","year","n_checklists","species_richness"
"13060001010","2017",1,3
"13060001010","2019",1,1
"13060001013","2019",1,2
"13060001013","2020",2,4
"13060001013","2021",1,3
"13060001014","2011",1,17
"13060001014","2013",3,31
"13060001014","2014",3,34
"13060001014","2017",6,30
"13060001014","2018",7,48
"13060001014","2019",9,54
"13060001014","2020",2,13
"13060001014","2021",11,22
"13060001015","2009",4,16
"13060001015","2010",2,9
"13060001015","2014",3,22
"13060001015","2015",1,3
"13060001015","2016",2,6
"13060001015","2017",18,50
"13060001015","2018",4,24
"13060001015","2019",17,56
"13060001015","2020",7,31
"13060001015","2021",4,14
"13060003003","2019",2,2
"13060004024","2016",1,56
"13060004024","2018",8,62
"13060004024","2019",5,22
"13060004024","2020",2,9
"13060006003","2020",1,10
"13060006004","2020",6,19
"13060006005","2016",1,1
"13060006005","2020",2,15
"13060006012","2020",1,6
"13060007006","2017",1,8
"13060007006","2019",3,13
"13060007007","2016",1,2
"13060007017","2018",2,21
"13060007017","2019",1,6
"13060007029","2021",1,4
"13060007036","2016",1,1
"13060007038","2011",1,8
"13060007038","2014",1,7
"13060007038","2015",1,4
"13060007038","2016",1,28
"13060007038","2019",23,28
"13060007038","2020",12,16
"13060007038","2021",9,16
"13060008002","2014",1,3
"13060008002","2021",1,7
"13060008004","2015",3,6
"13060008004","2019",1,1
"13060008006","2014",2,6
"13060009004","2020",1,1
"13060009005","2015",1,5
"13060009005","2021",1,4
"13060010003","2018",1,12
"13060010003","2019",330,42
"13060010003","2020",363,44
"13060010003","2021",60,28
"13060011011","2018",1,15
"13060012015","2011",1,2
"13060014006","2019",2,1
"13060014006","2021",1,4
"13060014012","2011",1,4
"13060014012","2012",3,9
"13060014012","2014",2,8
"13060014012","2019",2,15
"13060014012","2020",4,11
"13060014012","2021",1,9
"13060019004","2014",1,8
"13060019004","2015",1,6
"13060027011","2020",1,3
"13060028009","2013",1,26
"13060028009","2014",4,39
"13060028009","2015",1,30
"13060028009","2017",4,11
"13060028009","2019",1,12
"13060028009","2020",2,6
"13060028010","2017",2,46
"13060028010","2018",1,10
"13060028010","2019",1,7
"13060029006","2020",7,12
"13060029011","2019",2,17
"13060029011","2020",1,4
"13060029020","2016",1,10
"13060029020","2018",1,7
"13060029020","2019",2,3
"13060029022","2014",4,22
"13060029022","2015",1,29
"13060029022","2017",5,7
"13060029022","2018",15,52
"13060029022","2019",13,24
"13060029022","2020",3,14
"13060030014","2018",1,9
"13060030014","2020",1,9
"13060030019","2007",1,2
"13060030019","2010",1,8
"13060031008","2019",1,7
"13060053001","2020",22,35
"13060053005","2013",1,12
"13060053005","2014",1,6
"13060053008","2011",1,17
"13060053008","2020",8,19
"13060053009","2019",1,17
"13060053010","2020",1,6
"13060053013","2007",1,1
"13060053013","2011",1,2
"13060053013","2014",1,14
"13060053014","2019",1,5
"13060054011","2020",1,4
"13060054013","2021",1,8
"13060055012","2007",1,1
"13060056007","2018",1,4
"13060056008","2019",1,4
"13060056010","2019",5,22
"13060056010","2020",2,10
"13060056011","2014",1,17
"13060056011","2019",2,51
"13060056011","2020",6,19
"13060056011","2021",11,18
"13060056012","2018",1,22
"13060056012","2019",1,6
"13060056012","2020",2,11
"13060056016","2019",1,5
"13060056016","2020",1,6
"13060057001","2011",1,2
"13060057004","2012",3,50
"13060057004","2013",1,6
"13060057004","2014",2,13
"13060057004","2015",1,32
"13060057004","2016",1,6
"13060057004","2017",3,27
"13060057004","2018",6,42
"13060057004","2019",6,39
"13060057004","2020",10,64
"13060057007","2013",2,11
"13060057007","2015",1,7
"13060057007","2016",3,20
"13060057007","2017",3,24
"13060057007","2018",1,17
"13060057007","2019",1,17
"13060057007","2020",2,15
"13060057007","2021",2,7
"13060058004","2017",2,26
"13060058004","2019",3,29
"13060058007","2019",2,20
"13060058007","2020",2,8
"13060058009","2020",2,31
"13060059008","2007",1,1
"13060059008","2008",1,1
"13060059008","2011",4,46
"13060059008","2012",3,22
"13060059008","2013",6,44
"13060059008","2014",1,25
"13060059008","2015",2,37
"13060059008","2016",7,50
"13060059008","2017",18,69
"13060059008","2018",30,95
"13060059008","2019",34,89
"13060059008","2020",32,90
"13060059008","2021",1,4
"13060060001","2019",1,4
"13060060004","2020",1,4
"13060060004","2021",1,4
"13060060008","2015",1,17
"13060060008","2017",1,10
"13060060012","2018",3,19
"13060060013","2015",1,14
"13060060014","2012",1,20
"13060060014","2014",1,15
"13060060014","2015",2,16
"13060060014","2017",1,3
"13060060014","2019",1,16
"13060060014","2021",1,4
"13060061003","2014",1,2
