"DBUID","year","n_checklists","species_richness"
"35180075001","2016",1,2
"35180075001","2018",2,10
"35180075001","2019",1,2
"35180075001","2021",1,17
"35180075005","2010",1,3
"35180075005","2012",8,13
"35180075005","2013",3,3
"35180075005","2014",3,5
"35180075005","2015",2,9
"35180075005","2016",1,15
"35180075005","2017",1,3
"35180075005","2018",1,2
"35180075005","2020",3,23
"35180075005","2021",1,3
"35180075008","2013",1,3
"35180075008","2014",2,13
"35180075008","2016",1,3
"35180075008","2017",2,5
"35180075008","2018",9,23
"35180075008","2019",5,6
"35180075008","2021",2,3
"35180075011","2012",1,1
"35180075011","2016",2,11
"35180075011","2017",4,14
"35180075011","2018",5,11
"35180075011","2019",2,6
"35180075011","2020",1,7
"35180075012","2013",3,7
"35180075012","2014",2,4
"35180075012","2015",3,4
"35180075012","2016",2,11
"35180075012","2017",4,22
"35180075012","2018",7,38
"35180075012","2020",2,14
"35180075013","2015",2,4
"35180075013","2016",1,3
"35180075016","2013",1,15
"35180075016","2014",1,1
"35180075016","2015",24,46
"35180075016","2016",143,112
"35180075016","2017",123,119
"35180075016","2018",60,123
"35180075016","2019",46,112
"35180075016","2020",44,123
"35180075016","2021",7,28
"35180075017","2012",1,23
"35180075017","2014",4,14
"35180075017","2015",1,13
"35180075017","2016",3,20
"35180075017","2017",6,32
"35180075017","2018",7,33
"35180075017","2019",7,27
"35180075017","2020",3,3
"35180091003","2018",2,4
"35180091003","2019",1,3
"35180091003","2020",1,5
"35180094001","2018",1,10
"35180094001","2019",8,11
"35180094001","2020",4,3
"35180094001","2021",2,4
"35180097003","2019",2,14
"35180097005","2016",1,5
"35180097005","2018",14,21
"35180097005","2019",20,25
"35180097005","2020",3,6
"35180097005","2021",2,7
"35180098001","2009",1,1
"35180098001","2011",6,13
"35180098001","2012",2,7
"35180098001","2015",1,5
"35180098001","2016",7,14
"35180098001","2017",160,30
"35180098001","2018",126,36
"35180098001","2019",214,47
"35180098001","2020",232,42
"35180098001","2021",10,17
"35180099001","2019",8,24
"35180099001","2020",8,22
"35180099001","2021",1,2
"35180101001","2019",3,18
"35180101001","2020",4,18
"35180103001","2014",1,11
"35180104001","2019",1,6
"35180107002","2019",1,11
"35180109001","2017",1,1
"35180109001","2020",25,29
"35180109003","2011",1,5
"35180109003","2021",1,6
"35180114003","2021",1,12
"35180115003","2011",5,12
"35180115003","2012",28,18
"35180115003","2013",90,38
"35180115003","2014",44,25
"35180115003","2017",3,7
"35180115003","2018",1,2
