"DBUID","year","n_checklists","species_richness"
"35020064002","2018",1,26
"35020064007","2017",1,3
"35020064008","2020",1,10
"35020064012","2018",4,28
"35020064012","2019",1,12
"35020064012","2020",3,13
"35020064013","2020",1,1
"35020065007","2015",1,1
"35020075001","2016",2,19
"35020075001","2017",1,15
"35020075001","2018",10,36
"35020075001","2019",1,3
"35020075001","2020",8,24
"35020075006","2020",1,10
"35020076008","2007",1,13
"35020076008","2008",1,4
"35020076008","2009",1,1
"35020076008","2010",4,2
"35020076008","2011",1,1
"35020076008","2012",1,1
"35020076008","2014",4,27
"35020076008","2017",3,14
"35020076008","2018",2,9
"35020076008","2020",6,49
"35020076011","2021",1,5
"35020076012","2012",1,1
"35020076015","2020",2,12
"35020077005","2020",1,3
"35020077007","2020",1,2
"35020078001","2018",7,15
"35020078001","2019",2,4
"35020078001","2020",1,3
"35020091020","2015",2,14
"35020091020","2016",1,9
"35020110004","2020",10,15
"35020110012","2014",1,29
"35020110012","2020",2,6
"35020110016","2016",1,9
"35020110016","2019",1,11
"35020110016","2020",2,24
"35020110017","2020",1,8
"35020110018","2017",1,8
"35020110018","2018",1,8
"35020110018","2019",1,3
"35020110018","2020",7,44
"35020111007","2020",49,36
"35020111007","2021",5,12
"35020111009","2020",3,13
"35020111010","2013",1,4
"35020111016","2007",1,1
"35020111016","2008",1,2
"35020111016","2010",2,2
"35020111016","2013",1,2
"35020111017","2014",2,9
"35020112004","2007",2,3
"35020112004","2009",1,1
"35020112004","2010",3,3
"35020112004","2013",1,1
"35020112004","2020",1,2
"35020113002","2018",1,2
"35020113002","2019",1,7
"35020113002","2021",1,4
"35020113004","2020",7,10
"35020113005","2017",1,7
"35020113005","2018",2,22
"35020113005","2019",3,11
"35020113005","2020",2,18
"35020113006","2019",1,4
"35020113006","2020",2,33
"35020113006","2021",1,4
"35020115001","2020",1,7
"35020115002","2011",1,1
"35020115003","2015",1,8
"35020115004","2019",1,15
"35020116004","2021",2,11
"35020116005","2016",1,6
"35020116005","2018",1,7
"35020116005","2020",3,53
"35020116006","2020",6,12
"35020117001","2021",1,7
"35020117002","2014",1,15
"35020117002","2021",1,8
"35020117003","2018",2,9
"35020118001","2017",1,4
