"DBUID","year","n_checklists","species_richness"
"35580029010","2013",1,1
"35580029010","2014",1,1
"35580029010","2015",2,1
"35580030003","2018",1,5
"35580030003","2020",1,15
"35580030012","2017",1,5
"35580030012","2018",2,14
"35580030012","2019",1,10
"35580030012","2020",1,2
"35580031001","2018",1,10
"35580031001","2019",3,10
"35580031001","2020",16,24
"35580032005","2018",1,9
"35580032006","2013",3,3
"35580032006","2017",1,1
"35580032006","2018",1,4
"35580032006","2020",2,4
"35580033002","2010",1,10
"35580033002","2011",1,2
"35580033002","2013",1,3
"35580033002","2014",1,6
"35580033002","2015",1,13
"35580033002","2016",5,17
"35580033002","2017",13,34
"35580033002","2018",13,23
"35580033002","2019",6,22
"35580033002","2020",18,28
"35580033002","2021",8,18
"35580038001","2013",1,1
"35580038001","2015",2,3
"35580038001","2016",1,1
"35580038001","2019",1,12
"35580038003","2020",1,3
"35580038009","2011",2,22
"35580038009","2012",7,15
"35580038009","2013",1,1
"35580038009","2020",2,2
"35580038011","2013",1,1
"35580038011","2015",3,9
"35580038011","2017",2,9
"35580038011","2018",4,17
"35580038011","2019",1,1
"35580038011","2020",1,2
"35580040004","2017",4,14
"35580041007","2018",1,4
"35580041007","2019",1,15
"35580043003","2017",2,12
"35580043006","2010",1,1
"35580043006","2018",3,20
"35580043006","2019",1,1
"35580044001","2014",1,2
"35580044001","2015",1,5
"35580044002","2017",1,5
"35580044003","2020",1,5
"35580044008","2013",1,8
"35580044011","2017",2,20
"35580044011","2018",3,6
"35580044011","2019",3,6
"35580044011","2020",12,5
"35580044011","2021",1,1
"35580045002","2013",1,4
"35580046002","2018",1,9
"35580047008","2014",2,11
"35580047008","2015",1,8
"35580047008","2016",2,11
"35580047008","2017",4,10
"35580047008","2018",6,15
"35580047008","2019",8,20
"35580047008","2020",2,4
"35580048001","2020",3,13
"35580049002","2016",1,3
"35580050001","2020",2,13
"35580050004","2020",1,4
"35580052002","2016",2,12
"35580057001","2016",1,5
"35580058001","2007",1,18
"35580058001","2009",2,19
"35580058001","2015",1,3
"35580058005","2014",5,8
"35580058005","2015",10,18
"35580058005","2016",32,31
"35580058005","2017",10,23
"35580058005","2018",2,11
"35580058005","2019",1,4
"35580059009","2014",1,1
"35580059009","2015",3,11
"35580059009","2016",3,14
"35580059009","2017",4,14
"35580059009","2018",3,12
"35580059009","2019",2,7
"35580060002","2018",1,17
"35580061006","2013",1,7
"35580062012","2016",1,5
"35580062012","2017",1,5
"35580064001","2018",1,5
"35580066001","2018",6,13
"35580066001","2019",1,3
"35580068008","2010",1,9
"35580069008","2013",1,1
"35580069008","2014",1,15
"35580076005","2013",1,1
"35580077010","2018",1,1
"35580077014","2019",1,4
"35580077016","2018",1,2
"35580079010","2020",3,2
"35580081004","2015",2,7
"35580081005","2014",1,1
"35580084001","2017",1,9
"35580086012","2020",1,4
"35580086015","2013",1,1
"35580088023","2013",6,12
"35580088023","2014",11,22
"35580088023","2015",7,10
"35580088023","2016",11,26
"35580088023","2017",14,29
"35580088023","2018",9,43
"35580088023","2019",16,41
"35580088023","2020",7,27
"35580088026","2014",3,6
"35580088026","2015",3,8
"35580092002","2016",1,4
"35580094001","2015",1,15
"35580094001","2020",2,19
"35580094005","2013",13,20
"35580094005","2014",11,16
"35580094005","2015",1,4
"35580094005","2016",3,9
"35580094005","2017",2,8
"35580094005","2018",1,5
"35580095003","2018",1,9
"35580095003","2019",1,7
"35580095005","2018",2,21
"35580095005","2019",1,8
"35580095005","2020",14,52
"35580095005","2021",6,15
"35580095007","2016",1,11
"35580095007","2018",3,33
"35580095007","2020",1,6
"35580098002","2020",1,12
"35580102003","2016",1,2
"35580102004","2016",1,4
"35580103002","2021",1,2
"35580103003","2021",1,3
"35580105006","2017",1,4
"35580105011","2018",3,4
"35580105018","2020",1,8
"35580105019","2014",1,1
"35580105020","2018",2,7
"35580105029","2014",3,4
"35580105029","2015",3,20
"35580105029","2016",4,16
"35580105029","2017",12,24
"35580105029","2018",8,16
"35580105029","2019",2,11
"35580105029","2020",1,6
"35580105035","2019",1,6
"35580105043","2015",1,1
"35580105043","2016",1,3
"35580105043","2017",1,6
"35580105043","2018",1,3
"35580105044","2016",3,15
"35580105044","2017",1,7
"35580105044","2018",2,11
"35580105044","2019",2,11
"35580105046","2017",10,31
"35580105046","2018",133,55
"35580105046","2019",93,43
"35580105046","2020",1,3
"35580105049","2015",1,5
"35580105049","2018",1,17
"35580105049","2019",1,10
"35580105049","2020",8,29
"35580105052","2014",1,1
"35580105053","2014",2,9
"35580105053","2019",1,4
"35580105053","2020",1,6
"35580105055","2019",1,1
"35580105057","2018",4,25
"35580105057","2019",4,18
"35580106006","2016",1,2
"35580108001","2015",1,8
"35580108002","2018",54,25
"35580108002","2019",82,29
"35580114004","2020",1,1
"35580114005","2015",1,5
"35580114005","2017",2,7
"35580114005","2020",2,6
"35580114005","2021",2,14
"35580115002","2018",1,18
"35580115003","2017",3,15
"35580116004","2021",3,14
"35580119001","2020",3,17
"35580119002","2020",2,32
"35580120008","2020",1,5
"35580121005","2012",1,2
"35580121005","2017",1,15
"35580121005","2019",1,2
"35580123002","2019",1,3
"35580124003","2013",1,2
"35580125002","2018",2,4
"35580125002","2019",2,2
"35580125002","2020",1,5
"35580126003","2017",1,4
"35580126007","2014",1,2
"35580129002","2012",1,1
"35580129002","2017",1,1
"35580129002","2020",1,2
"35580129008","2017",1,4
"35580129008","2020",1,7
"35580130002","2018",1,4
"35580136001","2020",1,6
"35580138006","2014",1,9
"35580138006","2016",1,6
"35580138006","2020",1,3
"35580138008","2020",1,2
"35580140008","2020",3,8
"35580142004","2020",4,16
"35580142005","2020",20,22
"35580142005","2021",1,2
"35580143002","2020",1,10
"35580144003","2021",1,8
"35580144007","2019",2,11
"35580144007","2020",2,7
"35580144008","2019",1,11
"35580144008","2020",1,9
"35580145001","2015",1,6
"35580146002","2014",1,3
"35580146002","2015",1,3
"35580146002","2016",2,6
"35580146002","2017",1,3
"35580146002","2018",2,4
"35580146002","2019",1,1
"35580146002","2020",3,10
"35580146006","2020",21,18
"35580146006","2021",14,13
"35580146010","2019",1,8
"35580146010","2020",1,4
"35580147006","2017",1,7
"35580148001","2014",1,4
"35580148001","2017",1,10
"35580148001","2020",2,5
"35580148004","2018",27,42
"35580148004","2019",42,47
"35580148007","2014",1,1
"35580149009","2014",3,17
"35580149009","2019",4,16
"35580149010","2015",1,5
"35580149010","2020",2,8
"35580149014","2018",1,5
"35580149014","2019",2,10
"35580149014","2020",1,8
"35580150002","2020",1,6
"35580152002","2020",1,4
"35580153019","2008",1,13
"35580153019","2009",3,31
"35580153019","2012",2,3
"35580153019","2013",3,15
"35580153019","2014",2,13
"35580153019","2015",2,8
"35580153019","2016",34,60
"35580153019","2017",75,87
"35580153019","2018",66,82
"35580153019","2019",73,81
"35580153019","2020",75,111
"35580153019","2021",5,9
"35580153020","2020",1,1
"35580154006","2015",1,4
"35580154006","2016",1,2
"35580154021","2019",1,3
"35580154022","2014",1,8
"35580154022","2018",1,2
"35580154022","2019",6,18
"35580154022","2020",3,11
"35580154024","2013",1,2
"35580154026","2012",1,1
"35580154026","2018",1,3
"35580154026","2020",1,3
"35580154027","2019",1,9
"35580154027","2020",2,24
"35580154028","2018",1,9
"35580154029","2015",1,14
"35580154029","2018",3,8
"35580154029","2020",1,8
"35580154032","2010",1,1
"35580154032","2013",1,2
"35580154032","2015",4,32
"35580154032","2016",2,4
"35580154032","2017",1,3
"35580154032","2018",6,20
"35580154032","2019",1,4
"35580154032","2020",1,6
"35580155019","2008",1,12
"35580155019","2014",11,17
"35580155019","2015",5,18
"35580155019","2016",19,31
"35580155019","2017",17,45
"35580155019","2018",22,58
"35580155019","2019",7,23
"35580155019","2020",37,58
"35580155019","2021",4,9
"35580157001","2013",8,46
"35580157001","2014",2,9
"35580157001","2015",1,10
"35580157001","2016",11,64
"35580157001","2017",11,39
"35580157001","2018",9,40
"35580157001","2019",45,99
"35580157001","2020",54,91
"35580158005","2013",8,26
"35580158005","2018",3,1
"35580158005","2019",3,5
"35580161007","2020",1,3
"35580161009","2020",1,7
"35580164006","2018",1,2
"35580164008","2019",1,5
"35580165004","2019",1,4
"35580166002","2019",1,9
"35580166003","2016",2,2
"35580166003","2017",1,2
"35580166003","2021",1,4
"35580166004","2014",33,33
"35580166004","2015",55,38
"35580166004","2016",19,26
"35580167003","2020",2,2
"35580169004","2014",1,15
"35580169004","2015",1,2
"35580169004","2017",5,20
"35580169004","2018",11,66
"35580169004","2019",22,66
"35580169004","2020",2,35
"35580171003","2017",1,8
"35580172001","2016",1,6
"35580172001","2021",1,2
"35580172002","2014",1,13
"35580172002","2016",9,26
"35580172002","2018",10,40
"35580172002","2019",6,26
"35580172002","2020",2,10
"35580172002","2021",5,7
"35580172003","2018",1,16
"35580174076","2018",1,5
"35580174076","2019",1,5
"35580174076","2020",3,29
"35580174076","2021",4,8
"35580174080","2018",1,3
"35580174080","2020",1,14
"35580174087","2011",1,1
"35580174087","2013",8,40
"35580174087","2014",7,22
"35580174087","2015",16,56
"35580174087","2016",18,25
"35580174087","2017",20,56
"35580174087","2018",24,53
