"DBUID","year","n_checklists","species_richness"
"24370018007","2020",5,2
"24370022011","2021",1,1
"24370026008","2019",1,4
"24370026008","2020",2,3
"24370028001","2020",1,2
"24370029004","2017",1,4
"24370036002","2017",1,8
"24370037003","2012",6,13
"24370037003","2017",1,22
"24370037003","2020",5,18
"24370037012","2017",10,31
"24370037012","2019",7,28
"24370037012","2020",22,25
"24370040002","2020",1,1
"24370040003","2016",1,10
"24370040005","2019",5,12
"24370040006","2007",5,27
"24370040006","2008",5,24
"24370040006","2016",6,35
"24370040006","2017",4,17
"24370040006","2018",1,8
"24370040006","2019",6,33
"24370040006","2020",5,26
"24370041009","2011",1,1
"24370041009","2012",1,1
"24370041009","2014",1,1
"24370041012","2020",1,10
"24370042004","2016",1,2
"24370042004","2020",1,1
"24370045005","2020",1,1
"24370046006","2009",1,1
"24370046006","2020",1,6
"24370046006","2021",4,11
"24370047009","2018",2,45
"24370051001","2019",2,1
"24370052011","2019",1,2
"24370052011","2020",11,17
"24370052011","2021",8,15
"24370052013","2020",1,1
"24370052014","2020",24,13
"24370059002","2014",1,1
"24370062009","2013",2,1
"24370062009","2014",1,2
"24370063012","2007",3,17
"24370063012","2008",3,18
"24370063012","2009",6,24
"24370063012","2010",5,20
"24370063012","2011",1,12
"24370063012","2012",18,30
"24370063012","2013",20,35
"24370063012","2014",32,47
"24370063012","2015",33,42
"24370063012","2016",31,40
"24370063012","2017",48,55
"24370063012","2018",20,42
"24370063012","2019",37,55
"24370063012","2020",32,48
"24370063012","2021",15,20
"24370066003","2014",1,1
"24370068010","2013",1,8
"24370068016","2007",1,3
"24370068016","2008",1,4
"24370068016","2010",2,12
"24370068016","2012",1,6
"24370068016","2013",4,11
"24370068016","2015",8,18
"24370068016","2016",2,13
"24370068016","2017",19,63
"24370068016","2018",11,25
"24370068016","2019",14,46
"24370068016","2020",17,32
"24370068016","2021",9,14
"24370069005","2017",1,1
"24370070019","2015",1,11
"24370071006","2020",1,6
"24370074011","2013",2,3
"24370081009","2009",1,10
"24370081009","2013",1,8
"24370081009","2014",2,26
"24370081009","2018",5,30
"24370081009","2019",2,9
"24370081009","2020",2,31
"24370081012","2018",1,12
"24370084003","2017",1,6
"24370084010","2014",1,9
"24370084010","2015",1,12
"24370084010","2018",1,6
"24370084010","2019",2,39
"24370084010","2020",2,27
"24370085001","2021",1,4
"24370085011","2020",1,4
"24370085011","2021",1,9
"24370085014","2020",1,2
"24370085020","2009",1,2
"24370085020","2017",1,34
"24370085020","2018",1,11
"24370085020","2019",6,14
"24370085020","2020",4,12
"24370085020","2021",7,14
"24370087003","2007",1,1
"24370087003","2009",1,6
"24370087003","2014",4,21
"24370087003","2015",2,15
"24370087003","2016",2,11
"24370087003","2017",66,41
"24370087003","2018",1,5
"24370087003","2019",38,51
"24370087003","2020",32,41
"24370087003","2021",3,14
"24370088001","2019",1,3
"24370089002","2017",1,4
"24370092005","2018",3,9
"24370092005","2019",5,16
"24370092005","2020",13,26
"24370092005","2021",1,9
"24370093003","2007",1,1
"24370093003","2014",1,2
"24370093003","2015",1,9
"24370093003","2016",7,17
"24370093003","2017",1,1
"24370093003","2018",1,11
"24370093009","2018",1,2
"24370093009","2020",1,1
"24370099005","2017",1,1
"24370102004","2012",1,6
"24370102006","2020",3,7
"24370102010","2007",1,3
"24370103001","2019",1,5
"24370103003","2013",1,2
"24370103003","2014",1,2
"24370103003","2016",6,15
"24370103003","2017",1,6
"24370103003","2019",1,1
"24370106004","2018",14,20
"24370106004","2019",50,32
"24370106004","2020",65,34
"24370106004","2021",11,16
"24370106005","2019",1,1
"24370109005","2013",1,2
"24370109005","2014",4,6
"24370109005","2016",1,6
"24370110018","2008",1,3
"24370110018","2014",3,19
"24370110018","2015",3,10
"24370110018","2016",14,28
"24370110018","2017",12,22
"24370110018","2018",6,16
"24370110018","2019",6,21
"24370110019","2019",1,1
"24370113017","2014",1,6
"24370113017","2016",1,1
"24370113022","2021",1,2
"24370114005","2015",3,8
"24370116002","2012",2,9
"24370116002","2013",2,5
"24370116002","2014",1,1
"24370116002","2015",1,23
"24370116002","2017",1,10
"24370116002","2020",2,7
"24370116005","2016",2,8
"24370124002","2017",1,2
"24370124003","2016",1,11
"24370124005","2020",1,1
"24370124006","2020",1,1
"24370124008","2020",1,2
"24370125003","2020",2,2
"24370125005","2020",3,4
"24370127014","2020",1,1
"24370132006","2013",4,13
"24370132007","2015",1,4
"24370132022","2019",1,2
"24370132022","2020",1,2
"24370133012","2018",1,2
"24370133017","2016",2,6
"24370133017","2018",1,4
"24370133017","2019",2,10
"24370133017","2020",1,5
"24370133017","2021",1,1
"24370133018","2007",2,4
"24370133018","2008",4,20
"24370133018","2009",4,9
"24370133018","2010",1,1
"24370133018","2011",3,20
"24370133018","2016",2,11
"24370133018","2021",1,4
"24370133021","2012",1,11
"24370133021","2019",2,9
"24370134002","2015",1,1
"24370134006","2016",1,2
"24370134007","2016",1,12
"24370134007","2018",1,11
"24370134007","2019",1,4
"24370134007","2020",1,3
"24370135003","2009",2,6
"24370135008","2016",1,2
"24370135010","2017",1,25
"24370135017","2007",2,6
"24370135017","2008",10,45
"24370135017","2009",4,29
"24370135017","2012",1,3
"24370135017","2014",9,47
"24370135017","2015",39,72
"24370135017","2016",93,84
"24370135017","2017",66,72
"24370135017","2018",46,64
"24370135017","2019",63,85
"24370135017","2020",26,54
"24370135017","2021",9,16
"24370136001","2007",6,17
"24370136001","2008",3,12
"24370136001","2009",17,13
"24370136001","2011",11,23
"24370136001","2012",4,14
"24370136001","2015",15,24
"24370136001","2016",22,25
"24370136001","2017",5,19
"24370136001","2018",8,16
"24370136001","2019",12,15
"24370136001","2020",4,5
"24370139007","2013",1,1
"24370140002","2016",1,1
"24370140004","2012",3,11
"24370140004","2015",9,10
"24370140004","2016",315,40
"24370140004","2017",299,46
"24370140004","2018",152,30
"24370140004","2019",61,42
"24370140008","2018",1,6
"24370140011","2015",1,6
"24370140011","2019",1,3
"24370141001","2014",1,2
"24370141001","2015",1,2
"24370141002","2013",1,1
"24370142002","2021",1,2
"24370143007","2013",2,15
"24370143008","2013",1,8
"24370144007","2019",1,4
"24370145031","2015",2,6
"24370146003","2014",1,1
"24370146010","2019",3,6
"24370146010","2020",1,8
"24370146012","2016",1,10
"24370146012","2019",1,20
"24370146012","2020",2,14
"24370147019","2012",1,1
"24370148003","2020",19,14
"24370148006","2017",2,12
"24370148006","2018",3,12
"24370148006","2020",7,14
"24370149005","2018",1,6
"24370149005","2019",1,5
