"DBUID","year","n_checklists","species_richness"
"59170033005","2014",5,56
"59170033005","2016",1,21
"59170033005","2017",3,33
"59170033005","2018",2,34
"59170033005","2020",5,24
"59170033009","2015",2,37
"59170033009","2017",4,20
"59170033009","2019",2,11
"59170033009","2020",2,19
"59170033011","2015",1,21
"59170033011","2018",1,16
"59170033011","2019",1,14
"59170033011","2020",1,19
"59170033012","2007",2,11
"59170033012","2011",1,20
"59170033012","2015",1,23
"59170033012","2016",2,25
"59170033012","2017",2,25
"59170033012","2018",6,44
"59170033012","2019",5,37
"59170033012","2020",8,48
"59170033012","2021",1,3
"59170033013","2014",1,10
"59170033013","2015",1,11
"59170033013","2016",1,28
"59170033013","2017",3,39
"59170033013","2019",16,35
"59170033013","2020",2,21
"59170033014","2010",1,4
"59170033014","2019",1,12
"59170033014","2020",1,12
"59170033015","2007",1,8
"59170033015","2008",3,10
"59170033015","2009",4,7
"59170033015","2010",5,13
"59170033015","2011",5,14
"59170033015","2012",24,63
"59170033015","2013",16,48
"59170033015","2014",20,51
"59170033015","2015",35,78
"59170033015","2016",30,57
"59170033015","2017",86,79
"59170033015","2018",63,64
"59170033015","2019",70,69
"59170033015","2020",52,59
"59170033015","2021",6,19
"59170033016","2011",1,13
"59170033016","2012",1,23
"59170033016","2017",1,14
"59170033016","2019",1,21
"59170033016","2020",4,36
"59170033017","2009",1,7
"59170033017","2010",1,14
"59170033017","2017",2,24
"59170033017","2019",4,36
"59170033017","2021",3,24
"59170034008","2007",1,32
"59170034008","2008",4,50
"59170034008","2009",4,40
"59170034008","2010",1,7
"59170034008","2011",1,5
"59170034008","2012",17,38
"59170034008","2013",4,30
"59170034008","2014",4,31
"59170034008","2015",7,63
"59170034008","2016",21,50
"59170034008","2017",45,55
"59170034008","2018",21,42
"59170034008","2019",24,43
"59170034008","2020",41,63
"59170034008","2021",7,30
"59170035001","2009",2,9
"59170035001","2014",30,54
"59170035001","2015",4,32
"59170035001","2016",41,62
"59170035001","2017",50,69
"59170035001","2018",56,71
"59170035001","2019",34,61
"59170035001","2020",174,84
"59170035001","2021",23,51
"59170036001","2009",2,6
"59170036001","2017",1,10
"59170036001","2021",1,8
"59170036002","2019",3,4
"59170036002","2020",1,8
"59170037003","2013",8,31
"59170037003","2015",1,16
"59170038001","2020",2,14
"59170038001","2021",1,8
"59170040004","2010",2,13
"59170042007","2012",1,3
"59170042007","2017",2,9
"59170042008","2007",1,10
"59170042008","2008",3,23
"59170042008","2009",3,16
"59170042008","2010",2,52
"59170042008","2011",3,20
"59170042008","2012",2,28
"59170042008","2014",3,20
"59170042008","2015",3,21
"59170042008","2017",1,5
"59170042008","2018",1,3
"59170042008","2019",5,36
"59170042008","2020",2,6
"59170042008","2021",1,17
"59170043001","2013",2,4
"59170043001","2014",5,6
"59170043001","2015",2,3
"59170043001","2016",1,1
"59170043001","2017",2,1
"59170043001","2018",1,9
"59170043001","2019",2,3
"59170043001","2020",3,3
"59170043001","2021",2,2
"59170043005","2012",1,1
"59170043005","2020",1,12
"59170043006","2017",11,23
"59170043006","2020",1,12
"59170044005","2012",1,1
"59170044005","2014",2,13
"59170044005","2016",1,11
"59170044005","2021",2,10
"59170045011","2009",1,2
"59170045011","2012",2,14
"59170045011","2013",1,4
"59170045011","2015",1,4
"59170045011","2018",2,7
"59170045013","2018",20,13
"59170045015","2013",1,5
"59170045015","2015",1,6
"59170045019","2018",1,2
"59170046010","2017",1,9
"59170046011","2007",2,34
"59170046011","2008",1,1
"59170046011","2009",1,4
"59170046011","2011",3,27
"59170046011","2012",3,18
"59170046011","2013",6,42
"59170046011","2014",9,47
"59170046011","2015",13,50
"59170046011","2016",14,38
"59170046011","2017",18,52
"59170046011","2018",21,58
"59170046011","2019",22,60
"59170046011","2020",38,60
"59170046011","2021",8,37
"59170046012","2015",1,4
"59170047010","2018",6,20
"59170047010","2020",2,4
"59170047013","2015",1,8
"59170047013","2018",1,1
"59170047013","2019",1,3
"59170048004","2014",1,3
"59170048004","2015",1,8
"59170048004","2016",3,19
"59170048004","2017",5,31
"59170048004","2018",4,19
"59170048004","2019",1,1
"59170048004","2020",5,33
"59170048004","2021",1,14
"59170048005","2008",1,4
"59170048005","2016",4,9
"59170048005","2020",1,7
"59170049001","2011",1,5
"59170049001","2012",1,6
"59170049001","2013",1,1
"59170051003","2018",1,13
"59170051005","2013",1,24
"59170051005","2020",2,16
"59170051012","2017",2,13
"59170051012","2018",1,12
"59170051012","2019",1,8
"59170051012","2020",4,4
"59170052002","2014",1,22
"59170052002","2015",1,5
"59170052002","2018",1,41
"59170052002","2019",6,35
"59170052002","2020",2,16
"59170052002","2021",1,2
"59170052005","2010",3,12
"59170052005","2011",1,42
"59170052005","2012",1,26
"59170052005","2014",4,45
"59170052005","2015",7,41
"59170052005","2016",9,42
"59170052005","2017",12,59
"59170052005","2018",58,82
"59170052005","2019",59,86
"59170052005","2020",85,100
"59170052005","2021",18,50
"59170052008","2015",1,5
"59170052008","2016",4,24
"59170052008","2017",2,12
"59170052008","2018",1,2
"59170052008","2019",1,1
"59170052008","2020",1,2
"59170052008","2021",1,1
"59170052010","2007",1,9
"59170052010","2012",1,1
"59170052010","2013",2,1
"59170052010","2014",2,3
"59170052010","2015",2,17
"59170052010","2016",5,22
"59170052010","2017",8,38
"59170052010","2018",2,7
"59170052010","2019",3,11
"59170052010","2021",2,11
"59170053001","2016",1,6
"59170053001","2017",1,10
"59170053001","2019",2,19
"59170053003","2017",1,14
"59170053003","2018",1,8
"59170053003","2019",3,35
"59170053003","2020",2,17
"59170053008","2020",1,20
"59170053012","2018",1,3
"59170053012","2019",1,17
"59170053012","2020",1,1
"59170053013","2014",1,7
"59170053014","2020",2,3
"59170053014","2021",2,1
"59170054001","2015",1,29
"59170054001","2018",1,19
"59170054001","2019",1,9
"59170054001","2020",10,26
"59170054004","2017",1,18
"59170054004","2019",5,12
"59170054004","2020",2,25
"59170055001","2016",1,5
"59170055002","2014",1,13
"59170055002","2015",1,18
"59170055002","2016",4,25
"59170055002","2020",4,27
"59170056001","2007",5,16
"59170056001","2008",1,3
"59170056001","2012",1,5
"59170056001","2014",1,8
"59170056001","2017",1,5
"59170056001","2018",3,20
"59170056001","2019",4,33
"59170056001","2020",5,30
"59170056002","2016",1,16
"59170056002","2017",1,11
"59170056002","2019",4,24
"59170056002","2020",5,25
"59170056002","2021",1,6
"59170063007","2016",1,2
"59170063007","2020",2,15
"59170066003","2007",1,15
"59170066003","2009",1,22
"59170066003","2010",2,41
"59170066003","2011",13,81
"59170066003","2012",23,114
"59170066003","2013",26,117
"59170066003","2014",51,119
"59170066003","2015",148,147
"59170066003","2016",186,158
"59170066003","2017",197,164
"59170066003","2018",103,150
"59170066003","2019",101,145
"59170066003","2020",25,131
"59170066003","2021",2,11
"59170066004","2010",1,2
"59170066004","2014",1,2
"59170066004","2016",1,1
"59170066004","2019",1,7
"59170066007","2009",2,13
"59170066007","2010",3,27
"59170066007","2013",2,6
"59170066007","2014",3,7
"59170066007","2015",3,9
"59170066007","2016",3,7
"59170066007","2017",3,6
"59170066007","2018",12,23
"59170066007","2019",2,6
"59170066007","2020",7,26
"59170066007","2021",11,42
"59170066011","2017",2,9
"59170066011","2020",1,1
"59170066011","2021",1,3
"59170070003","2019",1,5
"59170071003","2021",1,2
"59170072005","2020",2,16
"59170074005","2014",1,2
"59170074005","2021",1,8
"59170074007","2016",1,1
"59170074007","2020",2,6
"59170074016","2009",1,7
"59170074016","2011",1,28
"59170074016","2012",1,7
"59170074016","2013",5,37
"59170074016","2014",5,42
"59170074016","2015",6,47
"59170074016","2016",17,69
"59170074016","2017",18,74
"59170074016","2018",6,33
"59170074016","2019",42,76
"59170074016","2020",33,77
"59170074016","2021",4,24
"59170075001","2009",1,12
"59170075001","2015",2,23
"59170075001","2016",3,29
"59170075001","2017",11,54
"59170075001","2018",9,38
"59170075001","2019",1,17
"59170075001","2021",1,8
"59170075003","2011",2,43
"59170075003","2012",3,56
"59170075003","2013",2,36
"59170075003","2014",2,40
"59170075003","2015",1,21
"59170075003","2016",2,40
"59170075003","2018",1,29
"59170075003","2021",1,14
"59170075006","2007",4,55
"59170075006","2008",3,50
"59170075006","2011",2,51
"59170075006","2012",6,42
"59170075006","2013",5,55
"59170075006","2014",13,73
"59170075006","2015",21,78
"59170075006","2016",9,77
"59170075006","2017",26,92
"59170075006","2018",23,71
"59170075006","2019",6,65
"59170075006","2020",33,84
"59170075006","2021",11,36
"59170076002","2017",5,41
"59170076002","2018",3,17
"59170076002","2020",4,22
"59170076002","2021",1,7
"59170076003","2009",1,5
"59170076003","2010",1,3
"59170076003","2012",1,16
"59170076003","2014",3,24
"59170076003","2015",2,11
"59170076003","2016",4,30
"59170076003","2017",2,8
"59170076003","2019",1,3
"59170076003","2020",6,42
"59170076003","2021",1,5
"59170077002","2019",1,10
"59170077002","2020",1,1
"59170077004","2021",6,12
"59170077007","2014",1,4
"59170077007","2017",1,11
"59170077008","2009",1,8
"59170077008","2020",4,4
"59170077008","2021",1,3
"59170079001","2013",1,1
"59170079001","2019",1,11
"59170079002","2013",1,19
"59170079002","2014",5,30
"59170079002","2016",6,19
"59170079002","2018",1,1
"59170079002","2020",4,22
"59170079002","2021",2,12
"59170081003","2015",3,2
"59170081003","2016",2,12
"59170081003","2018",2,17
"59170081003","2020",1,10
"59170081004","2012",1,23
"59170081004","2018",1,7
"59170081005","2014",1,7
"59170081005","2015",16,27
"59170081005","2017",5,21
"59170081005","2018",11,47
"59170081005","2019",18,45
"59170081005","2020",1,16
"59170081006","2013",1,16
"59170081006","2014",2,11
"59170081006","2016",1,14
