"DAUID","year","n_checklists","species_richness"
"59090049","2013",1,18
"59090051","2021",1,11
"59090055","2007",16,51
"59090055","2008",43,73
"59090055","2009",50,64
"59090055","2010",83,78
"59090055","2011",77,89
"59090055","2012",78,85
"59090055","2013",91,98
"59090055","2014",80,98
"59090055","2015",135,100
"59090055","2016",129,110
"59090055","2017",136,132
"59090055","2018",183,125
"59090055","2019",236,121
"59090055","2020",259,121
"59090055","2021",48,59
"59090056","2014",2,12
"59090059","2007",134,39
"59090059","2008",116,40
"59090059","2009",58,32
"59090059","2010",45,35
"59090059","2011",50,33
"59090059","2016",5,32
"59090059","2018",4,25
"59090059","2019",3,10
"59090059","2020",113,23
"59090059","2021",11,18
"59090060","2014",1,5
"59090060","2016",1,4
"59090060","2018",1,6
"59090061","2017",1,1
"59090062","2021",3,9
"59090063","2009",2,5
"59090063","2015",3,7
"59090063","2016",4,3
"59090063","2017",6,17
"59090063","2018",1,1
"59090063","2019",2,4
"59090063","2020",8,14
"59090066","2015",2,6
"59090067","2021",1,3
"59090069","2008",1,3
"59090069","2010",1,1
"59090069","2012",7,16
"59090069","2013",5,15
"59090069","2014",6,35
"59090069","2016",4,25
"59090069","2017",2,16
"59090069","2018",2,9
"59090069","2019",6,16
"59090069","2020",43,48
"59090069","2021",23,23
"59090070","2010",2,7
"59090070","2011",5,2
"59090070","2012",1,1
"59090070","2013",2,38
"59090070","2016",6,30
"59090070","2017",15,46
"59090070","2018",3,36
"59090070","2019",9,27
"59090070","2020",1,1
"59090070","2021",1,2
"59090072","2021",2,4
"59090073","2015",1,10
"59090073","2018",1,5
"59090073","2019",1,2
"59090073","2020",1,4
"59090075","2020",1,6
"59090078","2014",1,4
"59090078","2017",2,14
"59090078","2018",1,16
"59090078","2019",5,17
"59090078","2020",2,21
"59090080","2014",1,1
"59090080","2020",1,7
"59090080","2021",7,8
"59090083","2007",5,30
"59090083","2008",4,37
"59090083","2009",8,48
"59090083","2010",3,40
"59090083","2011",9,46
"59090083","2012",16,52
"59090083","2013",31,60
"59090083","2014",46,71
"59090083","2015",64,67
"59090083","2016",37,67
"59090083","2017",62,83
"59090083","2018",59,79
"59090083","2019",226,90
"59090083","2020",110,91
"59090083","2021",33,61
"59090084","2017",1,1
"59090085","2013",1,3
"59090086","2014",1,3
"59090090","2008",8,19
"59090090","2013",1,5
"59090090","2016",3,23
"59090090","2017",19,38
"59090092","2007",4,16
"59090092","2021",1,3
"59090093","2012",1,1
"59090095","2016",1,3
"59090095","2017",2,4
"59090099","2013",1,2
"59090099","2015",1,10
"59090099","2017",1,8
"59090099","2018",2,14
"59090100","2018",1,4
"59090100","2019",1,8
"59090103","2014",17,11
"59090103","2015",8,16
"59090103","2018",1,3
"59090103","2019",1,2
"59090105","2021",1,4
"59090107","2016",1,3
"59090107","2017",1,9
"59090110","2015",1,12
"59090111","2017",1,24
"59090111","2018",1,24
"59090111","2019",5,24
"59090113","2008",1,12
"59090113","2012",1,3
"59090113","2017",1,16
"59090113","2018",6,14
"59090113","2019",2,14
"59090113","2020",6,24
"59090114","2018",36,25
"59090114","2019",12,24
"59090114","2020",4,17
"59090114","2021",1,5
"59090115","2019",1,9
"59090115","2020",2,14
"59090120","2012",1,4
"59090120","2013",1,4
"59090120","2016",5,22
"59090120","2017",1,10
"59090120","2018",1,6
"59090120","2020",1,2
"59090121","2013",75,39
"59090121","2014",67,36
"59090121","2015",40,35
"59090121","2016",15,26
"59090121","2017",12,28
"59090121","2018",15,25
"59090121","2019",23,34
"59090121","2020",16,28
