"DAUID","year","n_checklists","species_richness"
"35430639","2011",1,8
"35430639","2012",5,17
"35430639","2013",6,8
"35430639","2014",16,42
"35430639","2015",7,52
"35430639","2016",5,32
"35430639","2017",10,87
"35430639","2018",49,108
"35430639","2019",61,123
"35430639","2020",105,128
"35430639","2021",27,26
"35430640","2012",1,4
"35430641","2015",1,1
"35430641","2020",1,4
"35430641","2021",1,2
"35430642","2013",2,2
"35430643","2013",5,15
"35430643","2014",2,7
"35430643","2016",6,15
"35430643","2017",4,8
"35430643","2018",4,19
"35430643","2019",1,11
"35430643","2020",7,11
"35430643","2021",12,14
"35430644","2014",4,12
"35430644","2016",1,11
"35430644","2018",9,25
"35430644","2019",1,18
"35430645","2012",1,8
"35430645","2018",1,1
"35430645","2019",11,58
"35430645","2020",5,43
"35430645","2021",1,4
"35430646","2009",1,5
"35430646","2010",1,13
"35430646","2011",2,17
"35430646","2012",4,13
"35430646","2013",4,6
"35430646","2015",2,14
"35430646","2016",10,49
"35430646","2017",6,44
"35430646","2018",9,49
"35430646","2019",26,66
"35430646","2020",53,110
"35430646","2021",4,10
"35430647","2018",1,2
"35430647","2019",6,13
"35430648","2018",1,6
"35430651","2013",1,4
"35430651","2019",1,2
"35430653","2016",1,1
"35430653","2019",6,7
"35430653","2020",1,1
"35430653","2021",1,8
"35430654","2012",1,6
"35430655","2019",1,10
"35430655","2020",3,14
"35430657","2014",1,1
"35430657","2015",1,1
"35430657","2018",1,8
"35430657","2019",1,11
"35430659","2013",1,1
"35430659","2014",28,23
"35430659","2015",19,20
"35430659","2016",14,17
"35430659","2017",20,18
"35430659","2018",16,19
"35430659","2019",7,11
"35430659","2020",6,14
"35430661","2012",1,7
"35430661","2013",1,13
"35430661","2014",22,53
"35430661","2015",4,16
"35430661","2016",1,3
"35430661","2018",2,10
"35430661","2020",9,44
"35430661","2021",1,10
"35430662","2021",3,13
"35430664","2019",3,33
"35430664","2020",1,14
"35430665","2011",1,10
"35430665","2012",3,13
"35430665","2013",20,46
"35430665","2014",80,96
"35430665","2015",12,37
"35430665","2016",4,45
"35430665","2017",1,5
"35430665","2018",1,2
"35430665","2020",4,28
"35430665","2021",1,4
"35430666","2017",2,6
"35430669","2012",1,4
"35430669","2013",19,49
"35430669","2014",17,61
"35430669","2015",13,45
"35430669","2016",17,50
"35430669","2017",13,51
"35430669","2018",18,70
"35430669","2019",16,68
"35430669","2020",112,110
"35430669","2021",19,23
"35430670","2012",3,50
"35430670","2013",1,1
"35430670","2014",3,17
"35430670","2017",1,4
"35430670","2018",1,10
"35430670","2020",1,1
"35430673","2017",1,4
