"DAUID","year","n_checklists","species_richness"
"35290008","2018",1,8
"35290009","2012",1,8
"35290010","2018",1,1
"35290011","2015",5,18
"35290011","2019",1,5
"35290012","2018",1,1
"35290019","2020",18,11
"35290021","2007",10,39
"35290021","2012",4,15
"35290021","2016",2,7
"35290022","2019",1,1
"35290023","2018",1,4
"35290023","2019",1,4
"35290029","2020",1,3
"35290030","2014",1,16
"35290031","2018",6,8
"35290031","2020",1,3
"35290032","2013",2,5
"35290032","2019",2,8
"35290033","2017",14,10
"35290033","2018",1,3
"35290034","2013",2,8
"35290034","2018",2,13
"35290034","2019",4,10
"35290034","2020",1,14
"35290035","2014",1,1
"35290035","2016",2,14
"35290035","2017",4,17
"35290035","2018",10,38
"35290035","2019",9,45
"35290035","2020",56,86
"35290035","2021",9,17
"35290036","2019",2,2
"35290037","2017",1,1
"35290037","2020",1,8
"35290039","2014",10,16
"35290042","2020",1,3
"35290043","2011",1,1
"35290044","2015",1,9
"35290044","2017",1,9
"35290044","2018",2,4
"35290044","2020",9,11
"35290047","2013",1,1
"35290047","2014",2,9
"35290047","2016",4,5
"35290047","2018",1,17
"35290047","2020",1,2
"35290047","2021",1,11
"35290050","2008",1,39
"35290050","2010",2,46
"35290050","2011",1,14
"35290050","2012",16,69
"35290050","2013",6,41
"35290050","2014",18,51
"35290050","2015",4,40
"35290050","2016",13,96
"35290050","2017",27,98
"35290050","2018",31,112
"35290050","2019",55,128
"35290050","2020",92,137
"35290050","2021",32,49
"35290051","2017",1,9
"35290051","2021",1,3
"35290052","2021",2,7
"35290054","2015",6,17
"35290054","2016",2,13
"35290054","2018",2,4
"35290057","2014",1,1
"35290057","2015",1,12
"35290057","2019",1,5
"35290057","2020",5,16
"35290057","2021",20,14
"35290066","2012",6,44
"35290066","2014",1,25
"35290067","2015",1,6
"35290067","2020",7,48
"35290067","2021",3,19
"35290068","2014",1,3
"35290068","2018",12,25
"35290068","2019",11,40
"35290068","2020",41,55
"35290068","2021",27,25
