"DAUID","year","n_checklists","species_richness"
"48060057","2015",1,1
"48060060","2013",4,6
"48060060","2014",18,20
"48060060","2015",246,61
"48060060","2016",155,54
"48060060","2017",208,57
"48060060","2018",204,56
"48060060","2019",268,57
"48060060","2020",338,58
"48060060","2021",51,18
"48060062","2017",1,3
"48060062","2020",2,4
"48060063","2020",1,1
"48060066","2014",9,22
"48060066","2015",55,34
"48060066","2016",21,26
"48060066","2017",6,13
"48060066","2018",4,11
"48060066","2019",2,7
"48060066","2020",2,11
"48060066","2021",1,3
"48060067","2019",3,3
"48060067","2020",2,2
"48060070","2015",4,10
"48060070","2016",2,10
"48060070","2017",1,6
"48060070","2018",1,5
"48060070","2019",1,4
"48060070","2020",1,7
"48060071","2015",1,3
"48060071","2018",1,3
"48060071","2020",1,4
"48060072","2012",1,4
"48060072","2016",1,7
"48060072","2017",5,11
"48060072","2019",1,5
"48060072","2020",1,3
"48060072","2021",1,5
"48060074","2020",4,4
"48060076","2015",1,2
"48060076","2019",1,1
"48060076","2021",1,1
"48060077","2019",1,1
"48060078","2021",2,5
"48060079","2020",2,5
"48060080","2019",1,1
"48060080","2021",1,2
"48060086","2019",5,12
"48060086","2020",2,7
"48060086","2021",1,7
"48060087","2018",1,1
"48060089","2012",1,1
"48060089","2014",53,32
"48060089","2015",181,48
"48060089","2016",94,42
"48060089","2017",18,29
"48060089","2018",44,40
"48060089","2019",38,42
"48060089","2020",14,21
"48060089","2021",5,12
"48060090","2013",1,3
"48060090","2014",1,6
"48060090","2020",1,1
"48060091","2016",2,9
"48060091","2018",4,9
"48060092","2014",1,8
"48060093","2017",1,5
"48060093","2020",1,8
"48060094","2020",1,3
"48060095","2016",1,4
"48060096","2010",1,4
"48060097","2019",3,14
"48060097","2021",1,8
"48060098","2015",11,12
"48060098","2016",8,8
"48060098","2018",2,5
"48060098","2020",19,22
"48060099","2013",1,1
"48060099","2017",15,29
"48060099","2018",18,34
"48060099","2019",10,25
"48060099","2020",147,67
"48060099","2021",28,16
"48060100","2020",6,7
"48060101","2015",4,18
"48060101","2018",5,21
"48060101","2019",3,35
"48060101","2020",12,37
"48060101","2021",1,9
"48060102","2009",1,5
"48060102","2011",1,6
"48060102","2012",4,24
"48060102","2013",1,12
"48060102","2014",2,11
"48060102","2015",1,3
"48060102","2018",2,16
"48060102","2019",5,28
"48060102","2020",2,7
"48060104","2009",2,3
"48060104","2010",3,4
"48060104","2011",9,12
"48060104","2012",1,1
"48060104","2019",1,4
"48060104","2020",1,9
"48060105","2014",1,1
"48060105","2020",6,19
"48060106","2016",1,2
"48060106","2019",1,9
"48060106","2020",3,8
"48060108","2020",21,18
"48060109","2017",1,9
"48060110","2012",1,1
"48060110","2017",1,11
"48060110","2018",7,20
"48060110","2019",4,6
"48060110","2020",23,26
"48060110","2021",2,6
"48060112","2018",1,17
"48060113","2020",1,8
"48060114","2014",1,1
"48060114","2020",12,8
"48060115","2016",1,2
"48060116","2008",1,7
"48060116","2009",1,14
"48060116","2012",1,3
"48060116","2019",1,2
"48060116","2021",1,3
"48060117","2019",2,8
"48060117","2020",3,11
"48060118","2012",1,2
"48060118","2013",3,9
"48060118","2015",34,35
"48060118","2016",24,39
"48060118","2017",29,38
"48060118","2018",13,36
"48060118","2019",28,35
"48060118","2020",42,53
"48060118","2021",2,13
"48060119","2013",1,1
"48060119","2019",1,2
"48060119","2020",2,7
"48060120","2012",49,26
"48060120","2013",48,36
"48060120","2014",14,20
