"DAUID","year","n_checklists","species_richness"
"35230052","2020",2,9
"35230052","2021",1,2
"35230054","2019",4,23
"35230056","2012",1,1
"35230056","2019",3,13
"35230056","2020",1,16
"35230057","2014",1,10
"35230057","2016",1,11
"35230057","2018",1,7
"35230057","2019",16,24
"35230057","2020",252,61
"35230057","2021",58,21
"35230059","2018",1,1
"35230059","2019",3,15
"35230059","2020",16,21
"35230059","2021",2,4
"35230060","2019",3,13
"35230060","2020",3,3
"35230061","2011",1,6
"35230061","2012",3,19
"35230061","2013",25,46
"35230061","2014",8,37
"35230061","2015",8,55
"35230061","2016",5,32
"35230061","2017",28,57
"35230061","2018",56,66
"35230061","2019",16,45
"35230061","2020",33,68
"35230061","2021",10,31
"35230062","2019",7,20
"35230063","2012",1,6
"35230063","2013",4,17
"35230063","2014",1,4
"35230063","2015",1,9
"35230063","2017",1,1
"35230064","2021",1,10
"35230065","2019",1,10
"35230067","2015",1,6
"35230068","2019",2,6
"35230069","2019",1,5
"35230070","2021",5,11
"35230071","2008",2,6
"35230071","2009",2,16
"35230071","2011",4,38
"35230071","2012",7,35
"35230071","2013",4,21
"35230071","2014",6,31
"35230071","2015",11,38
"35230071","2016",10,35
"35230071","2017",9,56
"35230071","2018",13,48
"35230071","2019",6,24
"35230071","2020",8,44
"35230071","2021",3,7
"35230074","2012",1,29
"35230074","2013",5,42
"35230074","2014",5,36
"35230074","2015",5,34
"35230074","2016",8,56
"35230074","2017",6,71
"35230074","2018",10,84
"35230074","2019",16,88
"35230074","2020",135,140
"35230074","2021",6,11
"35230076","2008",1,10
"35230076","2011",1,1
"35230076","2012",5,25
"35230076","2013",95,84
"35230076","2014",93,98
"35230076","2015",64,100
"35230076","2016",46,82
"35230076","2017",68,85
"35230076","2018",62,100
"35230076","2019",119,100
"35230076","2020",200,103
"35230076","2021",35,33
"35230077","2012",5,19
"35230077","2013",5,24
"35230077","2014",2,22
"35230077","2016",6,32
"35230077","2017",11,17
"35230077","2018",16,30
"35230077","2019",14,31
"35230077","2020",5,17
"35230078","2014",1,6
"35230078","2015",1,3
"35230078","2017",3,7
"35230078","2018",1,1
"35230078","2020",1,17
"35230079","2020",1,3
"35230080","2018",1,1
"35230080","2019",1,2
"35230080","2020",6,21
"35230080","2021",3,13
"35230081","2012",22,31
"35230081","2013",1,1
"35230081","2014",4,7
"35230081","2020",1,2
"35230082","2012",1,9
"35230082","2013",2,7
"35230082","2016",1,4
"35230082","2018",1,2
"35230082","2019",9,19
"35230082","2020",6,9
"35230083","2009",1,11
"35230083","2013",1,21
"35230083","2015",2,16
"35230083","2016",3,21
"35230083","2017",1,30
"35230083","2018",1,6
"35230083","2019",1,4
"35230083","2020",5,30
"35230083","2021",1,7
"35230084","2020",4,21
"35230084","2021",1,12
"35230085","2008",1,31
"35230085","2011",1,12
"35230085","2012",3,6
"35230085","2013",16,72
"35230085","2014",58,96
"35230085","2015",10,46
"35230085","2016",8,23
"35230085","2017",2,45
"35230085","2018",36,70
"35230085","2019",46,84
"35230085","2020",72,89
"35230085","2021",17,29
"35230086","2013",1,3
"35230086","2017",1,7
"35230086","2020",5,8
"35230086","2021",4,8
"35230087","2014",3,13
"35230087","2019",3,13
"35230087","2020",27,32
"35230088","2007",1,1
"35230088","2012",1,7
"35230088","2014",1,7
"35230088","2015",1,3
"35230088","2016",4,10
"35230088","2017",1,7
"35230088","2018",5,12
"35230088","2019",2,7
"35230088","2020",7,30
"35230088","2021",11,23
"35230089","2012",1,3
"35230089","2013",7,20
"35230089","2014",3,3
"35230089","2015",1,10
"35230089","2016",1,10
"35230089","2017",2,7
"35230089","2020",2,6
"35230090","2008",1,2
"35230090","2011",1,14
"35230090","2013",1,11
"35230090","2014",1,9
"35230090","2016",2,14
"35230090","2017",2,2
"35230090","2018",9,14
"35230090","2019",4,16
"35230090","2020",1,16
"35230090","2021",6,9
"35230091","2018",1,3
"35230092","2008",1,2
"35230092","2010",1,1
"35230092","2013",2,10
"35230092","2014",1,1
"35230092","2015",1,5
"35230092","2016",6,23
"35230092","2017",5,18
"35230092","2018",8,23
"35230092","2019",8,22
"35230092","2020",22,37
"35230092","2021",4,9
"35230093","2017",2,6
"35230093","2018",16,21
"35230093","2019",9,24
"35230093","2020",4,17
"35230094","2012",1,11
"35230094","2013",1,1
"35230094","2014",3,6
"35230094","2016",1,14
"35230094","2018",1,6
"35230094","2020",4,25
"35230094","2021",2,9
"35230095","2013",4,12
"35230095","2014",2,11
"35230095","2016",1,7
"35230095","2018",1,1
"35230095","2020",2,17
"35230095","2021",1,17
"35230096","2018",1,5
"35230097","2012",1,2
"35230097","2014",9,30
"35230097","2015",2,15
"35230097","2016",3,39
"35230097","2018",2,19
"35230097","2020",1,2
"35230100","2020",21,33
"35230100","2021",2,5
"35230103","2017",1,5
"35230104","2013",2,7
"35230104","2014",1,1
"35230106","2015",1,1
"35230106","2020",1,1
"35230108","2019",3,21
"35230108","2020",8,27
"35230110","2020",46,67
"35230110","2021",5,13
"35230111","2014",1,1
"35230112","2011",1,2
"35230112","2013",4,12
"35230112","2021",1,7
"35230113","2017",1,4
"35230113","2019",1,4
"35230113","2020",2,16
"35230114","2013",1,18
"35230117","2016",3,15
"35230117","2019",1,11
"35230117","2020",1,16
"35230117","2021",2,3
"35230119","2020",7,16
"35230119","2021",13,12
"35230120","2017",1,7
"35230121","2015",2,15
"35230121","2017",1,2
"35230121","2020",23,11
"35230122","2017",1,9
"35230124","2021",1,2
"35230139","2012",4,24
"35230139","2013",1,5
"35230139","2015",2,16
"35230139","2018",11,17
"35230139","2019",1,4
"35230139","2020",3,9
"35230139","2021",1,3
"35230141","2012",13,35
"35230141","2013",11,47
"35230141","2014",10,44
"35230141","2015",6,34
"35230141","2016",8,29
"35230141","2017",5,39
"35230141","2018",6,38
"35230141","2019",12,34
"35230141","2020",9,42
"35230142","2012",3,7
"35230142","2016",2,16
"35230142","2019",5,14
"35230142","2021",3,11
"35230143","2013",3,12
"35230143","2016",1,1
"35230143","2018",1,7
"35230143","2019",4,11
"35230143","2020",54,47
"35230143","2021",11,22
"35230144","2011",2,10
"35230144","2014",2,5
"35230144","2015",5,14
"35230144","2016",7,21
"35230144","2017",9,39
"35230144","2018",44,47
"35230144","2019",73,65
"35230144","2020",132,69
"35230144","2021",34,25
"35230145","2007",1,1
"35230145","2011",2,25
"35230145","2012",20,39
"35230145","2013",19,31
"35230145","2014",33,58
"35230145","2015",17,32
"35230145","2016",31,48
"35230145","2017",14,33
"35230145","2018",9,39
"35230145","2019",13,43
"35230145","2020",110,92
"35230145","2021",9,20
"35230146","2013",1,1
"35230146","2016",1,9
"35230147","2013",5,10
"35230147","2014",39,38
"35230147","2019",3,17
"35230147","2020",2,9
"35230148","2011",5,19
"35230148","2012",62,49
"35230148","2013",73,65
"35230148","2014",96,66
"35230148","2015",59,50
"35230148","2016",145,73
"35230148","2017",92,68
"35230148","2018",300,75
"35230148","2019",216,99
"35230148","2020",323,121
"35230148","2021",94,33
"35230149","2012",1,1
"35230149","2013",1,3
"35230149","2014",1,1
"35230149","2017",1,15
"35230149","2019",2,3
"35230149","2020",5,23
"35230149","2021",19,15
"35230150","2012",2,2
"35230150","2013",1,5
"35230150","2019",3,16
"35230150","2020",14,31
"35230150","2021",2,8
"35230151","2012",1,5
"35230151","2016",1,11
"35230151","2019",3,13
"35230151","2020",1,1
"35230152","2021",1,9
"35230153","2018",1,6
"35230153","2019",3,19
"35230154","2012",3,4
"35230154","2013",2,1
"35230154","2016",1,1
"35230154","2017",4,1
"35230154","2018",18,20
"35230154","2019",31,21
"35230154","2020",14,17
"35230155","2008",2,2
"35230156","2009",1,10
"35230156","2010",10,13
"35230156","2011",3,16
"35230156","2012",5,15
"35230156","2013",11,26
"35230156","2014",8,24
"35230156","2015",2,10
"35230156","2016",1,1
"35230156","2017",2,11
"35230156","2018",7,25
"35230156","2019",15,37
"35230156","2020",5,41
"35230156","2021",7,20
"35230157","2012",1,7
"35230157","2013",2,28
"35230157","2014",3,30
"35230157","2016",2,11
"35230157","2017",1,14
"35230157","2018",1,4
"35230157","2019",9,47
"35230157","2020",25,72
"35230157","2021",3,11
"35230158","2016",3,11
"35230158","2017",2,9
"35230158","2018",2,13
"35230158","2019",5,12
"35230158","2020",8,20
"35230158","2021",5,13
"35230159","2012",11,33
"35230159","2013",15,17
"35230159","2014",11,25
"35230159","2015",4,21
"35230159","2016",2,14
"35230159","2017",2,22
"35230159","2018",1,6
"35230159","2019",3,16
"35230159","2020",8,47
"35230159","2021",2,5
"35230160","2014",3,18
"35230160","2015",4,21
"35230160","2016",4,20
"35230160","2018",4,21
"35230160","2019",3,18
"35230160","2020",2,4
"35230161","2013",41,24
"35230161","2014",5,14
"35230161","2015",1,1
"35230161","2016",2,4
"35230161","2017",6,16
"35230161","2018",4,8
"35230161","2019",22,31
"35230161","2020",14,24
"35230161","2021",40,18
"35230163","2019",3,16
"35230163","2020",1,2
"35230164","2013",1,12
"35230164","2016",1,25
"35230164","2021",2,18
"35230165","2009",1,18
"35230165","2015",1,4
"35230165","2017",3,9
"35230165","2018",31,33
"35230165","2019",16,33
"35230165","2020",34,39
"35230165","2021",5,15
"35230166","2009",2,37
"35230166","2011",1,6
"35230166","2012",6,32
"35230166","2013",2,14
"35230166","2015",5,22
"35230166","2016",4,46
"35230166","2017",8,44
"35230166","2018",12,60
"35230166","2019",39,71
"35230166","2020",55,101
"35230166","2021",10,29
"35230167","2007",41,70
"35230167","2008",3,55
"35230167","2009",5,55
"35230167","2010",19,86
"35230167","2011",111,131
"35230167","2012",351,152
"35230167","2013",404,158
"35230167","2014",367,159
"35230167","2015",344,143
"35230167","2016",374,136
"35230167","2017",439,141
"35230167","2018",346,144
"35230167","2019",624,153
"35230167","2020",833,171
"35230167","2021",243,48
"35230168","2013",4,21
"35230168","2014",1,5
"35230168","2016",1,15
"35230168","2017",2,21
"35230168","2018",186,39
"35230168","2019",160,40
"35230168","2020",93,28
"35230168","2021",7,17
"35230169","2013",2,2
"35230169","2014",1,15
"35230169","2017",1,14
"35230169","2018",16,21
"35230169","2019",9,28
"35230169","2021",5,15
"35230170","2015",1,10
"35230170","2017",8,15
"35230170","2018",3,8
"35230170","2019",4,17
"35230170","2020",7,14
"35230170","2021",6,12
"35230171","2012",2,4
"35230171","2013",8,30
"35230171","2018",1,4
"35230171","2019",1,1
"35230171","2020",1,3
"35230173","2009",10,11
"35230173","2010",34,19
"35230173","2012",23,26
"35230173","2013",29,31
"35230173","2014",33,22
"35230173","2015",2,9
"35230173","2017",1,22
"35230173","2018",8,18
"35230173","2019",3,21
"35230175","2013",1,6
"35230175","2016",1,2
