"DAUID","year","n_checklists","species_richness"
"12090103","2019",8,11
"12090103","2020",3,13
"12090105","2019",2,11
"12090106","2018",7,10
"12090108","2014",1,4
"12090108","2019",1,4
"12090108","2020",11,21
"12090114","2020",18,26
"12090115","2017",3,9
"12090115","2019",5,13
"12090115","2020",1,10
"12090116","2012",2,18
"12090116","2014",1,1
"12090116","2016",3,23
"12090116","2019",1,1
"12090116","2020",50,72
"12090116","2021",22,30
"12090117","2011",1,3
"12090117","2012",1,1
"12090117","2013",3,26
"12090117","2014",1,5
"12090117","2015",1,22
"12090117","2016",17,33
"12090117","2017",16,22
"12090117","2018",7,29
"12090117","2019",5,21
"12090117","2020",17,26
"12090117","2021",6,14
"12090118","2016",1,9
"12090118","2017",1,7
"12090118","2018",1,21
"12090118","2019",2,8
"12090118","2020",1,4
"12090119","2007",1,27
"12090119","2008",1,29
"12090119","2015",52,17
"12090119","2016",3,14
"12090119","2017",5,12
"12090119","2018",1,12
"12090119","2019",4,16
"12090119","2020",2,8
"12090120","2012",5,14
"12090120","2013",5,27
"12090120","2014",1,13
"12090120","2015",2,20
"12090120","2016",7,19
"12090120","2017",10,19
"12090120","2018",7,15
"12090120","2019",1,12
"12090120","2020",10,43
"12090120","2021",5,14
"12090121","2018",1,2
"12090121","2020",2,5
"12090122","2016",1,4
"12090122","2017",1,3
"12090122","2018",1,7
"12090123","2014",1,1
"12090123","2015",3,23
"12090123","2017",2,6
"12090123","2018",2,1
"12090123","2019",8,6
"12090123","2020",6,12
"12090123","2021",2,7
"12090128","2012",1,10
"12090128","2015",1,1
"12090128","2017",2,14
"12090128","2018",1,6
"12090130","2014",1,1
"12090130","2015",5,15
"12090130","2016",2,12
"12090130","2018",2,4
"12090130","2019",7,15
"12090130","2021",4,9
"12090131","2015",1,4
"12090134","2018",1,2
"12090135","2020",2,8
"12090136","2013",1,1
"12090136","2014",2,14
"12090136","2016",5,26
"12090136","2017",5,23
"12090138","2009",1,5
"12090138","2010",3,6
"12090138","2011",5,8
"12090138","2012",26,29
"12090138","2013",21,29
"12090138","2014",15,25
"12090138","2015",20,29
"12090138","2016",27,36
"12090138","2017",19,41
"12090138","2018",28,36
"12090138","2019",14,27
"12090138","2020",24,38
"12090138","2021",8,13
"12090139","2015",1,1
"12090139","2016",1,1
"12090140","2016",1,5
"12090141","2012",3,16
"12090141","2013",6,35
"12090141","2015",2,14
"12090141","2016",17,32
"12090141","2017",9,23
"12090141","2018",10,33
"12090141","2019",5,15
"12090141","2020",3,20
"12090141","2021",1,4
"12090143","2015",1,10
"12090143","2016",36,32
"12090143","2017",5,25
"12090143","2018",7,31
"12090143","2019",4,12
"12090143","2020",6,33
"12090144","2013",1,2
"12090144","2019",1,7
"12090147","2018",1,15
"12090147","2019",10,19
"12090147","2020",26,27
"12090148","2012",1,14
"12090149","2010",1,4
"12090149","2012",1,5
"12090149","2014",3,14
"12090149","2018",2,8
"12090149","2019",2,6
"12090149","2020",17,40
"12090150","2017",2,4
"12090150","2020",1,5
"12090153","2019",2,5
"12090158","2013",1,5
"12090158","2015",4,16
"12090158","2016",17,27
"12090158","2017",21,24
"12090158","2018",39,27
"12090158","2019",29,26
"12090158","2020",17,18
"12090158","2021",11,17
"12090161","2013",1,1
"12090161","2014",1,1
"12090161","2015",7,6
"12090161","2016",1,4
"12090161","2017",16,8
"12090161","2018",7,6
"12090161","2019",3,7
"12090161","2020",1,6
"12090161","2021",1,15
"12090162","2016",1,4
"12090162","2018",1,12
"12090162","2019",1,6
"12090162","2020",4,10
"12090165","2014",1,2
"12090165","2019",2,13
"12090165","2020",7,16
"12090165","2021",6,9
"12090166","2014",1,6
"12090166","2016",4,9
"12090166","2017",3,13
"12090166","2018",3,14
"12090166","2019",10,28
"12090166","2020",6,39
"12090166","2021",2,10
"12090167","2013",1,3
"12090167","2015",3,11
"12090167","2016",1,8
"12090167","2017",2,15
"12090167","2018",1,9
"12090167","2019",2,18
"12090167","2021",2,14
"12090168","2014",1,4
"12090168","2015",4,22
"12090168","2016",2,13
"12090168","2017",7,26
"12090168","2018",21,37
"12090168","2019",19,33
"12090168","2020",19,46
"12090168","2021",7,22
"12090169","2016",1,1
"12090169","2017",7,13
"12090169","2018",2,10
"12090169","2019",4,9
"12090169","2020",2,12
"12090170","2013",1,10
"12090170","2016",1,4
"12090171","2015",1,5
"12090171","2017",1,12
"12090171","2018",1,2
"12090171","2019",1,8
"12090171","2020",7,21
"12090171","2021",4,15
"12090172","2007",3,26
"12090172","2008",2,25
"12090172","2009",1,14
"12090172","2010",4,18
"12090172","2011",9,25
"12090172","2012",14,32
"12090172","2013",53,51
"12090172","2014",64,44
"12090172","2015",159,69
"12090172","2016",99,55
"12090172","2017",156,59
"12090172","2018",161,61
"12090172","2019",152,75
"12090172","2020",165,59
"12090172","2021",74,37
"12090175","2010",2,11
"12090175","2013",1,7
"12090175","2018",3,12
"12090175","2019",2,9
"12090175","2020",3,12
"12090176","2014",1,5
"12090176","2018",2,10
"12090176","2019",1,5
"12090176","2020",1,4
"12090177","2011",1,1
"12090177","2012",3,15
"12090177","2013",5,9
"12090177","2014",2,2
"12090177","2015",2,28
"12090177","2016",2,14
"12090177","2018",14,21
"12090177","2019",5,17
"12090177","2020",30,29
"12090177","2021",1,8
"12090178","2015",4,15
"12090178","2016",3,18
"12090178","2017",1,9
"12090178","2018",1,9
"12090179","2007",1,1
"12090179","2008",1,1
"12090179","2011",1,3
"12090179","2012",1,2
"12090182","2017",3,17
"12090182","2018",1,11
"12090182","2019",1,6
"12090182","2020",1,7
"12090182","2021",1,4
"12090183","2012",1,7
"12090183","2014",1,11
"12090183","2015",7,25
"12090183","2016",10,27
"12090183","2017",6,16
"12090183","2018",4,11
"12090183","2019",1,13
"12090183","2020",2,7
"12090184","2010",15,42
"12090184","2011",86,66
"12090184","2012",96,70
"12090184","2013",75,71
"12090184","2014",94,68
"12090184","2015",79,68
"12090184","2016",160,82
"12090184","2017",142,86
"12090184","2018",159,78
"12090184","2019",159,82
"12090184","2020",131,80
"12090184","2021",26,39
"12090185","2016",2,9
"12090185","2017",2,5
"12090185","2018",3,9
"12090186","2011",1,1
"12090186","2012",26,22
"12090186","2013",10,19
"12090186","2014",2,6
"12090186","2015",1,3
"12090186","2016",2,6
"12090186","2020",1,4
"12090187","2012",3,13
"12090187","2013",2,9
"12090187","2014",8,27
"12090187","2015",4,33
"12090187","2016",7,20
"12090187","2017",7,28
"12090187","2018",7,35
"12090187","2019",7,45
"12090187","2020",6,38
"12090188","2016",1,3
"12090189","2010",4,19
"12090189","2011",8,23
"12090189","2012",8,46
"12090189","2013",34,58
"12090189","2014",26,55
"12090189","2015",25,55
"12090189","2016",42,58
"12090189","2017",36,56
"12090189","2018",130,80
"12090189","2019",47,68
"12090189","2020",110,77
"12090189","2021",15,28
"12090190","2012",4,9
"12090190","2013",1,1
"12090190","2014",2,9
"12090190","2016",1,7
"12090190","2021",2,6
"12090192","2021",1,6
"12090193","2007",3,8
"12090193","2009",1,10
"12090193","2011",13,27
"12090193","2012",11,20
"12090193","2013",10,42
"12090193","2014",9,43
"12090193","2015",10,26
"12090193","2016",15,23
"12090193","2017",83,82
"12090193","2018",84,70
"12090193","2019",19,58
"12090193","2020",17,53
"12090194","2010",1,12
"12090194","2012",1,8
"12090194","2013",4,18
"12090194","2014",2,2
"12090194","2015",6,22
"12090194","2016",4,26
"12090194","2017",9,28
"12090194","2018",23,30
"12090194","2019",13,26
"12090194","2020",17,52
"12090194","2021",1,9
"12090195","2016",1,6
"12090197","2015",1,8
"12090197","2016",3,12
"12090197","2017",1,8
"12090197","2018",3,20
"12090197","2019",5,28
"12090197","2020",12,33
"12090197","2021",4,12
"12090200","2009",1,17
"12090200","2011",2,29
"12090200","2012",1,26
"12090200","2013",8,45
"12090200","2014",5,33
"12090200","2015",3,40
"12090200","2017",3,30
"12090200","2018",6,26
"12090200","2020",6,24
"12090200","2021",1,18
"12090202","2017",2,4
"12090202","2019",1,1
"12090204","2007",2,5
"12090204","2011",2,14
"12090204","2012",1,2
"12090204","2013",1,15
"12090204","2014",5,20
"12090204","2015",3,27
"12090204","2016",10,25
"12090204","2017",4,21
"12090204","2018",3,16
"12090204","2019",3,27
"12090204","2020",1,6
"12090205","2013",1,8
"12090205","2014",4,17
"12090205","2015",3,17
"12090205","2019",1,1
"12090205","2020",2,8
"12090206","2014",2,4
"12090209","2021",2,12
"12090210","2017",1,6
"12090220","2017",2,15
"12090220","2018",1,1
"12090220","2020",1,9
