"DAUID","year","n_checklists","species_richness"
"35240317","2018",1,2
"35240318","2021",1,1
"35240319","2021",1,7
"35240320","2011",1,1
"35240320","2014",1,3
"35240320","2018",1,3
"35240321","2010",2,25
"35240321","2015",2,19
"35240321","2019",1,4
"35240321","2020",1,1
"35240322","2014",106,21
"35240322","2020",42,30
"35240322","2021",1,4
"35240323","2014",1,3
"35240324","2020",1,5
"35240327","2021",1,2
"35240328","2020",2,5
"35240330","2020",3,9
"35240331","2009",1,1
"35240331","2020",1,1
"35240335","2007",1,4
"35240335","2013",4,10
"35240335","2014",3,12
"35240335","2015",1,7
"35240335","2018",1,2
"35240335","2019",1,5
"35240337","2013",1,1
"35240337","2014",2,8
"35240337","2016",9,12
"35240337","2017",1,7
"35240337","2019",1,4
"35240337","2020",6,13
"35240338","2020",1,6
"35240340","2019",10,21
"35240340","2020",20,18
"35240340","2021",2,8
"35240341","2016",1,18
"35240342","2010",5,27
"35240342","2011",7,25
"35240342","2013",14,32
"35240342","2014",7,23
"35240342","2016",238,87
"35240342","2019",1,8
"35240345","2014",1,7
"35240347","2020",1,1
"35240348","2016",1,4
"35240349","2011",1,1
"35240349","2017",46,25
"35240349","2019",1,4
"35240349","2020",111,51
"35240351","2012",5,8
"35240351","2013",127,33
"35240351","2014",68,25
"35240351","2015",37,14
"35240351","2016",13,17
"35240352","2020",3,12
"35240352","2021",2,3
"35240353","2010",4,5
"35240353","2014",4,11
"35240353","2016",1,10
"35240353","2020",3,8
"35240353","2021",2,6
"35240354","2014",1,1
"35240357","2014",2,10
"35240358","2016",1,6
"35240358","2020",1,5
"35240363","2012",1,2
"35240363","2013",3,15
"35240363","2014",1,11
"35240366","2015",1,8
"35240369","2012",2,12
"35240370","2018",1,1
"35240371","2019",3,12
"35240374","2013",1,1
"35240374","2021",1,3
"35240378","2015",5,33
"35240378","2016",1,9
"35240380","2011",54,24
"35240380","2012",11,38
"35240380","2013",117,62
"35240380","2014",122,42
"35240380","2015",70,38
"35240380","2021",1,6
"35240381","2007",1,20
"35240381","2009",1,26
"35240381","2010",18,43
"35240381","2011",10,47
"35240381","2012",19,72
"35240381","2013",133,115
"35240381","2014",182,143
"35240381","2015",241,135
"35240381","2016",130,121
"35240381","2017",154,130
"35240381","2018",127,119
"35240381","2019",58,95
"35240381","2020",254,136
"35240381","2021",2,13
"35240384","2013",8,9
"35240384","2014",51,19
"35240384","2015",59,23
"35240384","2016",14,14
"35240384","2017",3,12
"35240385","2013",1,6
"35240385","2014",1,12
"35240385","2020",1,7
"35240385","2021",5,15
"35240386","2012",1,1
"35240386","2014",2,2
"35240387","2017",1,1
"35240387","2019",1,2
"35240387","2020",3,16
"35240388","2011",1,4
"35240388","2012",3,19
"35240388","2013",11,16
"35240388","2014",3,32
"35240388","2015",22,74
"35240388","2016",22,62
"35240388","2017",29,89
"35240388","2018",35,102
"35240388","2019",27,98
"35240388","2020",24,66
"35240388","2021",8,21
"35240392","2021",1,3
"35240393","2008",3,25
"35240393","2009",1,7
"35240393","2018",1,13
"35240393","2019",1,15
"35240393","2020",4,28
"35240394","2012",3,45
"35240394","2013",1,7
"35240394","2014",1,1
"35240394","2021",1,10
"35240395","2013",1,1
"35240395","2017",1,13
"35240395","2018",5,17
"35240395","2021",2,1
"35240396","2013",1,2
"35240397","2018",2,5
"35240397","2019",1,1
"35240397","2020",1,12
"35240398","2007",25,71
"35240398","2008",26,67
"35240398","2009",16,66
"35240398","2010",23,74
"35240398","2011",51,89
"35240398","2012",221,126
"35240398","2013",318,135
"35240398","2014",248,133
"35240398","2015",249,139
"35240398","2016",277,120
"35240398","2017",365,148
"35240398","2018",580,145
"35240398","2019",417,159
"35240398","2020",526,165
"35240398","2021",249,81
"35240399","2017",7,40
"35240399","2018",22,47
"35240399","2019",14,35
"35240400","2007",1,12
"35240400","2008",2,10
"35240400","2009",2,13
"35240400","2010",55,99
"35240400","2011",41,100
"35240400","2012",91,121
"35240400","2013",119,119
"35240400","2014",147,147
"35240400","2015",141,141
"35240400","2016",177,150
"35240400","2017",136,143
"35240400","2018",148,146
"35240400","2019",228,166
"35240400","2020",279,157
"35240400","2021",54,46
"35240401","2007",4,45
"35240401","2008",4,16
"35240401","2009",3,39
"35240401","2010",3,38
"35240401","2011",5,40
"35240401","2012",59,125
"35240401","2013",85,111
"35240401","2014",95,104
"35240401","2015",76,95
"35240401","2016",132,118
"35240401","2017",74,100
"35240401","2018",174,142
"35240401","2019",115,126
"35240401","2020",172,147
"35240401","2021",19,40
"35240402","2009",1,5
"35240402","2010",5,26
"35240402","2011",6,39
"35240402","2012",12,69
"35240402","2013",52,56
"35240402","2014",47,56
"35240402","2015",8,32
"35240402","2016",42,54
"35240402","2017",25,57
"35240402","2018",7,51
"35240402","2019",45,43
"35240402","2020",125,99
"35240402","2021",13,18
"35240403","2007",1,31
"35240403","2009",1,17
"35240403","2011",2,13
"35240403","2012",5,31
"35240403","2013",11,55
"35240403","2014",5,47
"35240403","2015",6,29
"35240403","2016",3,55
"35240403","2017",6,28
"35240403","2018",5,20
"35240403","2019",2,17
"35240403","2020",18,67
"35240403","2021",5,16
"35240404","2008",1,18
"35240404","2009",1,9
"35240404","2010",2,9
"35240404","2011",5,26
"35240404","2012",14,69
"35240404","2013",22,38
