"DAUID","year","n_checklists","species_richness"
"59350022","2007",2,46
"59350022","2011",3,27
"59350022","2012",3,44
"59350022","2013",3,32
"59350022","2014",9,45
"59350022","2015",6,84
"59350022","2016",12,64
"59350022","2017",2,29
"59350022","2018",24,68
"59350022","2019",22,106
"59350022","2020",68,124
"59350022","2021",7,27
"59350023","2012",2,20
"59350023","2014",8,42
"59350023","2015",9,38
"59350023","2016",8,39
"59350023","2017",3,25
"59350023","2018",15,72
"59350023","2019",47,112
"59350023","2020",113,151
"59350023","2021",10,23
"59350024","2020",2,4
"59350025","2015",3,15
"59350025","2018",1,4
"59350025","2020",3,3
"59350026","2015",2,38
"59350026","2018",1,5
"59350026","2019",9,65
"59350026","2020",63,93
"59350026","2021",30,33
"59350027","2020",1,1
"59350029","2013",5,24
"59350029","2014",11,38
"59350029","2015",7,47
"59350029","2018",1,10
"59350029","2020",10,12
"59350029","2021",3,20
"59350030","2014",1,4
"59350030","2020",5,22
"59350030","2021",6,10
"59350031","2007",9,62
"59350031","2008",3,18
"59350031","2009",28,93
"59350031","2010",22,69
"59350031","2011",7,48
"59350031","2012",18,81
"59350031","2013",40,105
"59350031","2014",78,121
"59350031","2015",80,117
"59350031","2016",55,104
"59350031","2017",21,81
"59350031","2018",21,74
"59350031","2019",60,122
"59350031","2020",113,122
"59350031","2021",4,15
"59350032","2012",4,19
"59350032","2013",1,9
"59350032","2014",5,29
"59350032","2015",1,13
"59350032","2016",3,12
"59350032","2017",1,2
"59350032","2018",1,1
"59350032","2019",2,12
"59350032","2020",15,46
"59350032","2021",1,9
"59350035","2014",1,17
"59350035","2016",1,17
"59350035","2019",2,9
"59350035","2020",6,23
"59350035","2021",6,18
"59350037","2008",1,1
"59350037","2012",5,33
"59350037","2013",60,91
"59350037","2014",27,69
"59350037","2015",1,9
"59350037","2018",1,14
"59350037","2019",6,29
"59350037","2020",3,21
"59350037","2021",3,12
"59350038","2018",1,3
"59350038","2020",5,22
"59350039","2017",1,63
"59350040","2009",1,13
"59350040","2013",1,10
"59350040","2014",3,14
"59350040","2015",1,18
"59350040","2016",2,24
"59350040","2017",2,19
"59350040","2018",2,12
"59350040","2019",2,24
"59350040","2020",8,19
"59350040","2021",7,19
"59350041","2012",2,3
"59350041","2013",1,3
"59350042","2019",1,4
"59350042","2021",2,4
"59350043","2014",5,20
"59350043","2015",2,11
"59350048","2010",1,4
"59350048","2015",1,1
"59350048","2016",1,6
"59350049","2014",1,7
"59350049","2017",1,12
"59350049","2021",1,3
"59350052","2007",2,52
"59350052","2008",2,30
"59350052","2009",14,48
"59350052","2010",10,15
"59350052","2011",18,21
"59350052","2012",8,15
"59350052","2013",1,3
"59350052","2014",3,12
"59350052","2015",1,2
"59350052","2017",3,26
"59350052","2018",2,3
"59350052","2019",9,45
"59350052","2020",3,5
"59350052","2021",1,9
"59350053","2008",2,59
"59350054","2012",1,1
"59350055","2009",1,9
"59350055","2018",1,1
"59350055","2019",1,1
"59350056","2019",1,1
"59350058","2007",71,77
"59350058","2008",17,74
"59350058","2009",58,94
"59350058","2010",63,77
"59350058","2011",13,54
"59350058","2012",13,60
"59350058","2013",29,79
"59350058","2014",46,83
"59350058","2015",23,72
"59350058","2016",25,71
"59350058","2017",20,68
"59350058","2018",46,96
"59350058","2019",117,130
"59350058","2020",212,145
"59350058","2021",88,67
"59350059","2007",1,22
"59350059","2011",1,5
"59350059","2018",1,4
"59350059","2019",2,6
"59350059","2020",12,18
"59350059","2021",1,3
"59350060","2009",2,22
"59350060","2012",1,22
"59350060","2013",1,5
"59350060","2015",12,19
"59350060","2016",17,31
"59350060","2017",1,4
"59350060","2019",12,19
"59350060","2020",2,8
"59350061","2019",1,2
"59350062","2007",2,10
"59350062","2012",1,1
"59350066","2013",1,2
"59350066","2014",2,13
"59350066","2015",1,7
"59350068","2010",2,18
"59350068","2011",1,29
"59350068","2012",6,45
"59350068","2013",2,30
"59350068","2015",1,7
"59350068","2017",1,22
"59350068","2018",1,35
"59350068","2020",3,55
"59350069","2007",6,25
"59350069","2008",2,26
"59350069","2009",6,36
"59350069","2010",7,26
"59350069","2013",1,26
"59350069","2014",1,2
"59350069","2015",4,40
"59350069","2017",1,24
"59350069","2019",9,34
"59350071","2009",2,10
"59350071","2014",6,82
"59350071","2015",2,48
"59350071","2016",1,1
"59350071","2017",3,18
"59350071","2018",6,32
"59350071","2019",12,29
"59350071","2020",9,47
"59350071","2021",2,16
