"DAUID","year","n_checklists","species_richness"
"35340021","2013",2,1
"35340021","2014",2,6
"35340021","2017",1,1
"35340021","2018",1,3
"35340022","2010",1,2
"35340022","2019",1,2
"35340025","2017",2,8
"35340031","2020",1,1
"35340033","2019",4,4
"35340033","2021",8,9
"35340034","2014",1,10
"35340039","2016",1,7
"35340039","2018",1,4
"35340039","2019",4,14
"35340039","2020",7,22
"35340045","2020",2,11
"35340051","2007",3,23
"35340051","2009",3,25
"35340051","2013",2,6
"35340051","2015",1,5
"35340051","2016",7,7
"35340051","2017",2,3
"35340051","2018",1,12
"35340051","2019",3,10
"35340051","2020",5,22
"35340052","2012",1,21
"35340052","2014",1,6
"35340052","2016",27,53
"35340052","2017",9,38
"35340052","2018",8,65
"35340052","2019",3,19
"35340052","2020",10,24
"35340052","2021",9,26
"35340056","2008",1,4
"35340056","2016",4,20
"35340056","2018",2,10
"35340056","2019",4,43
"35340056","2020",24,84
"35340056","2021",3,21
"35340058","2016",1,2
"35340058","2017",1,6
"35340058","2019",18,38
"35340058","2020",7,41
"35340059","2016",1,8
"35340061","2010",1,10
"35340061","2013",1,10
"35340061","2014",1,4
"35340061","2018",3,20
"35340061","2019",5,26
"35340061","2020",2,19
"35340061","2021",3,14
"35340062","2014",1,1
"35340095","2012",1,16
"35340095","2014",1,15
"35340098","2021",2,11
"35340100","2014",1,9
"35340102","2020",1,5
"35340103","2011",1,18
"35340103","2015",2,34
"35340103","2018",9,21
"35340103","2019",10,27
"35340103","2020",20,34
"35340103","2021",11,17
"35340104","2018",1,3
"35340104","2019",1,4
"35340104","2020",31,30
"35340104","2021",3,6
"35340123","2017",1,22
"35340123","2020",4,28
"35340130","2020",1,2
"35340172","2008",1,38
"35340172","2009",1,53
"35340172","2010",2,54
"35340172","2011",3,61
"35340172","2012",1,32
"35340172","2013",6,38
"35340172","2014",5,49
"35340172","2015",4,51
"35340172","2016",14,79
"35340172","2017",15,100
"35340172","2018",43,120
"35340172","2019",43,134
"35340172","2020",66,160
"35340172","2021",51,53
"35340173","2007",1,1
"35340173","2008",2,36
"35340173","2009",1,22
"35340173","2010",39,87
"35340173","2011",14,105
"35340173","2012",9,100
"35340173","2013",16,117
"35340173","2014",17,110
"35340173","2015",20,109
"35340173","2016",29,120
"35340173","2017",30,111
"35340173","2018",56,132
"35340173","2019",55,143
"35340173","2020",223,154
"35340173","2021",9,27
"35340174","2011",2,35
"35340174","2012",1,13
"35340174","2013",8,38
"35340174","2014",15,57
"35340174","2015",4,44
"35340174","2017",2,45
"35340174","2018",5,42
"35340174","2019",4,22
"35340174","2020",19,70
"35340174","2021",9,28
"35340175","2017",1,3
"35340175","2019",189,41
"35340175","2020",93,36
"35340176","2012",1,1
"35340176","2013",2,4
"35340176","2014",1,6
"35340176","2015",1,21
"35340176","2016",2,21
"35340176","2017",1,1
"35340176","2018",4,9
"35340176","2019",1,8
"35340176","2020",2,25
"35340176","2021",2,6
"35340177","2013",3,11
"35340177","2014",3,15
"35340177","2015",14,78
"35340177","2016",4,49
"35340177","2017",8,61
"35340177","2018",17,71
"35340177","2019",23,95
"35340177","2020",32,103
"35340177","2021",3,17
"35340178","2008",1,12
"35340178","2010",2,15
"35340178","2013",1,2
"35340178","2014",7,68
"35340178","2015",3,28
"35340178","2016",4,34
"35340178","2017",5,53
"35340178","2018",2,7
"35340178","2019",2,5
"35340178","2020",14,76
"35340178","2021",4,8
"35340179","2016",1,2
"35340179","2017",2,49
"35340179","2018",3,26
"35340179","2019",2,11
"35340179","2020",2,39
"35340180","2007",2,35
"35340180","2015",1,8
"35340180","2017",3,21
"35340180","2018",3,19
"35340180","2019",6,20
"35340180","2020",4,18
"35340180","2021",1,12
"35340181","2008",1,12
"35340181","2014",8,35
"35340181","2015",1,7
"35340181","2016",5,16
"35340181","2017",1,8
"35340181","2021",1,9
"35340182","2007",3,34
"35340182","2013",1,3
"35340182","2014",3,55
"35340182","2015",1,10
"35340182","2018",1,6
"35340182","2019",3,15
"35340182","2020",27,97
"35340182","2021",4,21
"35340183","2019",1,4
"35340183","2020",4,23
"35340183","2021",1,4
"35340184","2014",1,13
"35340184","2015",1,12
"35340184","2018",3,9
"35340184","2019",1,7
"35340184","2020",5,21
"35340184","2021",13,18
"35340185","2016",2,20
"35340185","2017",1,5
"35340185","2018",3,21
"35340185","2019",5,23
"35340185","2020",2,18
"35340186","2018",6,21
"35340186","2019",5,16
"35340186","2020",1,9
"35340187","2011",1,1
"35340187","2012",1,38
"35340187","2015",1,5
"35340187","2019",1,5
"35340187","2020",1,7
"35340188","2007",6,47
"35340188","2014",1,1
"35340189","2011",1,6
"35340189","2012",3,42
"35340189","2017",2,24
"35340189","2018",9,69
"35340189","2019",4,29
"35340189","2020",7,58
"35340189","2021",10,16
"35340190","2010",1,2
"35340190","2013",2,9
"35340190","2014",5,13
"35340190","2015",1,4
"35340190","2016",2,15
"35340190","2017",2,12
"35340190","2018",6,8
"35340190","2019",11,45
"35340190","2020",15,64
"35340190","2021",3,4
"35340191","2007",1,10
"35340191","2008",1,1
"35340191","2011",5,4
"35340191","2012",4,20
"35340191","2013",3,10
"35340191","2014",6,36
"35340191","2015",11,58
"35340191","2016",11,30
"35340191","2017",5,39
"35340191","2018",14,29
"35340191","2019",9,34
"35340191","2020",9,30
"35340191","2021",3,13
"35340192","2009",2,15
"35340192","2012",5,42
"35340192","2013",8,50
"35340192","2014",5,24
"35340192","2016",1,12
"35340192","2017",4,32
"35340192","2018",6,31
"35340192","2019",4,12
"35340192","2020",16,67
"35340193","2011",4,4
"35340193","2013",2,5
"35340193","2015",1,20
"35340193","2017",2,40
"35340193","2018",2,7
"35340193","2019",4,14
"35340193","2020",2,5
"35340193","2021",1,12
"35340194","2010",1,1
"35340194","2011",38,13
"35340194","2012",64,28
"35340194","2013",40,30
"35340194","2014",9,21
"35340194","2015",6,23
"35340194","2016",4,15
"35340194","2017",1,3
"35340194","2018",5,28
"35340194","2019",7,44
"35340194","2020",6,24
"35340195","2007",4,34
"35340195","2008",6,55
"35340195","2009",21,85
"35340195","2010",24,101
"35340195","2011",33,112
"35340195","2012",39,126
"35340195","2013",61,129
"35340195","2014",51,116
"35340195","2015",48,130
"35340195","2016",66,150
"35340195","2017",87,160
"35340195","2018",113,173
"35340195","2019",106,136
"35340195","2020",198,167
"35340195","2021",20,35
"35340196","2009",1,7
"35340196","2010",2,20
"35340196","2011",1,36
"35340196","2012",7,74
"35340196","2013",5,35
"35340196","2014",2,18
"35340196","2015",1,4
"35340196","2016",10,40
"35340196","2017",9,29
"35340196","2018",23,74
"35340196","2019",37,87
"35340196","2020",45,105
"35340196","2021",11,26
"35340197","2012",8,60
"35340197","2014",1,2
"35340197","2017",1,20
"35340197","2018",3,30
"35340197","2019",2,7
"35340197","2020",5,25
"35340197","2021",1,4
"35340198","2013",1,2
"35340198","2014",1,1
"35340198","2017",2,5
"35340198","2018",2,6
"35340198","2019",1,4
"35340198","2021",3,18
"35340199","2010",10,62
"35340199","2011",3,23
"35340199","2012",2,37
"35340199","2014",4,16
"35340199","2015",2,15
"35340199","2016",25,83
"35340199","2017",21,41
"35340199","2018",10,56
"35340199","2019",6,41
"35340199","2020",19,85
"35340199","2021",43,56
"35340200","2010",1,1
"35340200","2014",3,53
"35340200","2015",5,23
"35340200","2016",3,16
"35340200","2017",4,20
"35340200","2018",2,21
"35340200","2019",7,21
"35340200","2020",11,78
"35340200","2021",5,20
"35340201","2007",6,76
"35340201","2008",8,64
"35340201","2009",8,88
"35340201","2010",15,82
"35340201","2011",27,111
"35340201","2012",23,137
"35340201","2013",39,127
"35340201","2014",55,143
"35340201","2015",47,154
"35340201","2016",80,142
"35340201","2017",101,153
"35340201","2018",76,145
"35340201","2019",78,145
"35340201","2020",124,168
"35340201","2021",36,44
"35340202","2007",3,14
"35340202","2008",1,4
"35340202","2009",2,9
"35340202","2011",2,42
"35340202","2012",1,6
"35340202","2014",3,28
"35340202","2015",2,23
"35340202","2016",8,20
"35340202","2017",12,38
"35340202","2018",6,26
"35340202","2019",3,19
"35340202","2020",13,33
"35340202","2021",21,30
"35340203","2007",5,42
"35340203","2015",1,1
"35340203","2016",1,4
"35340203","2017",4,13
"35340203","2018",4,33
"35340203","2020",1,10
"35340204","2008",2,26
"35340204","2009",2,19
"35340204","2010",1,18
"35340204","2011",1,23
"35340204","2012",4,33
"35340204","2015",24,53
"35340204","2016",2,18
"35340204","2017",7,51
"35340204","2018",6,46
"35340204","2019",6,46
"35340204","2020",8,43
"35340204","2021",3,4
"35340221","2007",8,53
"35340221","2008",4,17
"35340221","2010",1,1
"35340221","2013",1,6
"35340221","2014",2,19
"35340221","2015",2,23
"35340221","2016",14,54
"35340221","2017",5,35
"35340221","2018",15,69
"35340221","2019",45,117
"35340221","2020",56,109
"35340221","2021",8,18
"35340222","2011",2,38
"35340222","2016",2,23
"35340222","2017",1,7
"35340222","2019",1,11
"35340222","2020",4,26
"35340222","2021",2,8
"35340223","2013",1,4
"35340223","2016",6,17
"35340223","2017",3,11
"35340223","2018",1,4
"35340223","2019",16,24
"35340223","2020",9,32
"35340223","2021",3,8
"35390010","2018",1,2
"35390010","2020",1,1
"35390011","2014",1,1
"35390011","2016",6,31
"35390011","2017",2,11
"35390011","2018",1,1
"35390011","2019",4,4
"35390011","2020",60,43
"35390011","2021",15,18
"35390012","2008",1,7
"35390012","2009",1,8
"35390012","2010",5,10
"35390012","2020",2,10
"35390013","2013",1,4
"35390013","2014",1,7
"35390014","2018",2,21
"35390014","2020",1,7
"35390023","2016",1,6
"35390023","2017",12,29
"35390023","2018",12,26
"35390023","2019",27,34
"35390023","2020",11,34
"35390023","2021",1,11
"35390026","2012",1,3
"35390026","2019",2,16
"35390027","2018",1,6
"35390031","2019",1,20
"35390031","2020",11,30
"35390031","2021",5,14
"35390032","2015",1,19
"35390032","2016",1,14
"35390032","2018",1,10
"35390032","2019",5,31
"35390032","2020",4,44
"35390032","2021",32,46
"35390033","2016",1,3
"35390034","2012",7,67
"35390034","2013",2,38
"35390034","2014",1,34
"35390034","2015",4,48
"35390034","2016",4,18
"35390034","2017",6,26
"35390034","2018",3,26
"35390034","2019",2,58
"35390034","2020",115,90
"35390034","2021",6,30
"35390035","2009",1,7
"35390035","2012",1,3
"35390035","2013",5,32
"35390035","2014",4,23
"35390035","2015",8,52
"35390035","2016",5,26
"35390035","2017",12,49
"35390035","2018",4,49
"35390035","2019",56,87
"35390035","2020",104,93
"35390035","2021",155,59
"35390036","2015",4,33
"35390036","2016",1,10
"35390036","2017",1,2
"35390036","2019",1,25
"35390036","2021",1,3
"35390037","2017",1,6
"35390038","2019",2,25
"35390038","2020",109,73
"35390038","2021",7,13
"35390039","2017",1,4
"35390040","2018",2,2
"35390040","2020",4,11
"35390041","2020",2,10
"35390041","2021",11,16
"35390042","2017",1,16
"35390043","2020",1,5
"35390043","2021",2,3
"35390044","2013",2,9
"35390044","2014",1,5
"35390044","2017",1,3
"35390044","2019",1,5
"35390045","2018",3,23
"35390045","2019",1,7
"35390046","2017",1,4
"35390046","2018",3,3
"35390046","2019",1,1
"35390047","2015",1,8
"35390047","2016",5,21
"35390047","2017",2,11
"35390047","2018",1,3
"35390047","2019",1,4
"35390047","2020",4,16
"35390048","2020",1,10
"35390049","2020",1,7
"35390050","2018",1,4
"35390050","2019",3,15
"35390050","2020",14,13
"35390050","2021",2,13
"35390052","2008",1,11
"35390052","2020",1,1
"35390056","2014",1,1
"35390056","2016",1,11
"35390056","2018",2,10
"35390056","2019",2,17
"35390056","2020",3,14
"35390057","2016",1,6
"35390057","2018",1,3
"35390058","2014",1,3
"35390060","2019",1,10
"35390065","2014",2,7
"35390067","2014",1,12
"35390067","2017",1,10
"35390067","2019",2,9
"35390067","2020",64,51
"35390067","2021",15,21
"35390068","2018",2,16
"35390068","2020",4,11
"35390070","2009",1,4
"35390071","2007",37,32
"35390071","2008",41,41
"35390071","2009",43,40
"35390071","2010",33,31
"35390071","2011",28,29
"35390071","2012",26,39
"35390071","2013",17,30
"35390071","2020",1,7
"35390072","2018",1,3
"35390073","2019",13,9
"35390073","2020",4,10
"35390073","2021",1,4
"35390074","2018",1,4
"35390074","2019",8,18
"35390074","2020",1,1
"35390074","2021",2,5
"35390075","2019",2,10
"35390075","2020",2,8
"35390075","2021",7,11
"35390076","2017",1,4
"35390077","2016",1,5
"35390077","2019",15,17
"35390077","2020",109,31
"35390077","2021",23,17
"35390092","2015",2,14
"35390092","2017",1,17
"35390092","2018",1,2
"35390092","2019",3,13
"35390092","2020",3,13
"35390093","2014",1,5
"35390093","2016",1,1
"35390093","2017",2,10
"35390093","2018",15,25
"35390093","2019",26,37
"35390093","2020",68,37
"35390093","2021",23,12
"35390094","2020",16,21
"35390094","2021",4,12
"35390095","2014",3,22
"35390095","2016",2,15
"35390095","2017",3,28
"35390095","2018",4,28
"35390095","2019",4,32
"35390095","2020",15,58
"35390095","2021",2,10
"35390098","2021",1,5
"35390099","2018",1,7
