"DAUID","year","n_checklists","species_richness"
"13060001","2009",4,16
"13060001","2010",2,9
"13060001","2011",1,17
"13060001","2013",3,31
"13060001","2014",6,42
"13060001","2015",1,3
"13060001","2016",2,6
"13060001","2017",25,61
"13060001","2018",11,54
"13060001","2019",28,72
"13060001","2020",11,40
"13060001","2021",16,24
"13060003","2019",2,2
"13060004","2016",1,56
"13060004","2018",8,62
"13060004","2019",5,22
"13060004","2020",2,9
"13060006","2016",1,1
"13060006","2020",10,25
"13060007","2011",1,8
"13060007","2014",1,7
"13060007","2015",1,4
"13060007","2016",3,30
"13060007","2017",1,8
"13060007","2018",2,21
"13060007","2019",27,39
"13060007","2020",12,16
"13060007","2021",10,17
"13060008","2014",3,8
"13060008","2015",3,6
"13060008","2019",1,1
"13060008","2021",1,7
"13060009","2015",1,5
"13060009","2020",1,1
"13060009","2021",1,4
"13060010","2018",1,12
"13060010","2019",330,42
"13060010","2020",363,44
"13060010","2021",60,28
"13060011","2018",1,15
"13060012","2011",1,2
"13060014","2011",1,4
"13060014","2012",3,9
"13060014","2014",2,8
"13060014","2019",4,16
"13060014","2020",4,11
"13060014","2021",2,12
"13060019","2014",1,8
"13060019","2015",1,6
"13060027","2020",1,3
"13060028","2013",1,26
"13060028","2014",4,39
"13060028","2015",1,30
"13060028","2017",6,52
"13060028","2018",1,10
"13060028","2019",2,13
"13060028","2020",2,6
"13060029","2014",4,22
"13060029","2015",1,29
"13060029","2016",1,10
"13060029","2017",5,7
"13060029","2018",16,53
"13060029","2019",17,34
"13060029","2020",11,24
"13060030","2007",1,2
"13060030","2010",1,8
"13060030","2018",1,9
"13060030","2020",1,9
"13060031","2019",1,7
"13060053","2007",1,1
"13060053","2011",2,19
"13060053","2013",1,12
"13060053","2014",2,19
"13060053","2019",2,22
"13060053","2020",31,44
"13060054","2020",1,4
"13060054","2021",1,8
"13060055","2007",1,1
"13060056","2014",1,17
"13060056","2018",2,25
"13060056","2019",10,64
"13060056","2020",11,25
"13060056","2021",11,18
"13060057","2011",1,2
"13060057","2012",3,50
"13060057","2013",3,12
"13060057","2014",2,13
"13060057","2015",2,36
"13060057","2016",4,24
"13060057","2017",6,33
"13060057","2018",7,47
"13060057","2019",7,41
"13060057","2020",12,65
"13060057","2021",2,7
"13060058","2017",2,26
"13060058","2019",5,40
"13060058","2020",4,34
"13060059","2007",1,1
"13060059","2008",1,1
"13060059","2011",4,46
"13060059","2012",3,22
"13060059","2013",6,44
"13060059","2014",1,25
"13060059","2015",2,37
"13060059","2016",7,50
"13060059","2017",18,69
"13060059","2018",30,95
"13060059","2019",34,89
"13060059","2020",32,90
"13060059","2021",1,4
"13060060","2012",1,20
"13060060","2014",1,15
"13060060","2015",4,28
"13060060","2017",2,12
"13060060","2018",3,19
"13060060","2019",2,19
"13060060","2020",1,4
"13060060","2021",2,6
"13060061","2011",1,20
"13060061","2013",2,10
"13060061","2014",1,2
"13060061","2015",4,14
"13060061","2017",5,17
"13060061","2018",2,15
"13060061","2019",1,13
"13060061","2020",2,21
"13060061","2021",2,19
"13060062","2007",8,47
"13060062","2008",3,14
"13060062","2009",3,28
"13060062","2010",1,4
"13060062","2011",10,36
"13060062","2012",11,50
"13060062","2013",19,72
"13060062","2014",20,72
"13060062","2015",16,64
"13060062","2016",18,48
"13060062","2017",39,81
"13060062","2018",45,96
"13060062","2019",50,104
"13060062","2020",8,54
"13060062","2021",5,18
"13060067","2010",1,1
"13060067","2012",9,43
"13060067","2013",6,41
"13060067","2014",11,47
"13060067","2015",3,30
"13060067","2016",9,38
"13060067","2017",5,43
"13060067","2018",10,39
"13060067","2019",12,30
"13060067","2020",6,40
"13060068","2009",2,33
"13060068","2010",7,28
"13060068","2012",9,47
"13060068","2013",4,49
"13060068","2014",6,37
"13060068","2015",5,29
"13060068","2016",3,25
"13060068","2017",5,36
"13060068","2018",10,54
