"DAUID","year","n_checklists","species_richness"
"24520101","2008",1,39
"24520101","2010",1,25
"24520101","2011",1,3
"24520101","2012",1,19
"24520101","2013",1,18
"24520101","2016",1,9
"24520101","2017",5,13
"24520101","2018",5,34
"24520101","2019",3,13
"24520101","2020",2,18
"24520102","2018",2,3
"24520102","2019",1,4
"24520102","2020",2,4
"24520103","2020",1,1
"24520104","2020",1,2
"24520105","2014",1,7
"24520105","2018",2,2
"24520105","2020",2,11
"24520106","2008",2,22
"24520106","2019",1,3
"24520106","2020",4,34
"24520107","2007",1,20
"24520107","2008",5,13
"24520107","2009",1,12
"24520107","2010",4,19
"24520107","2011",1,10
"24520107","2012",2,1
"24520107","2013",1,39
"24520107","2014",1,6
"24520108","2007",4,60
"24520108","2008",2,12
"24520108","2009",2,15
"24520108","2010",1,3
"24520108","2011",4,16
"24520108","2012",2,7
"24520108","2013",4,35
"24520108","2014",3,20
"24520108","2015",4,34
"24520108","2016",6,25
"24520108","2017",7,36
"24520108","2018",53,72
"24520108","2019",21,46
"24520108","2020",8,40
"24520109","2015",1,18
"24520109","2016",3,35
"24520109","2017",3,47
"24520109","2018",1,15
"24520109","2019",1,18
"24520112","2007",1,3
"24520112","2008",1,15
"24520112","2014",4,5
"24520112","2015",23,52
"24520112","2016",1,17
"24520112","2017",7,36
"24520112","2018",74,46
"24520112","2019",15,63
"24520112","2020",28,40
"24520112","2021",6,15
"24520113","2007",1,4
"24520113","2009",1,2
"24520113","2012",2,8
"24520113","2013",1,3
"24520113","2014",1,1
"24520113","2019",1,4
"24520113","2020",5,16
"24520114","2020",26,14
"24520115","2013",1,2
"24520115","2014",1,1
"24520115","2017",2,32
"24520115","2018",2,29
"24520115","2019",1,2
"24520115","2020",7,30
"24520115","2021",2,13
"24520116","2012",1,3
"24520116","2013",1,1
"24520116","2014",4,7
"24520116","2015",2,4
"24520116","2016",13,40
"24520116","2017",4,29
"24520116","2018",1,10
"24520116","2019",4,27
"24520116","2020",13,43
"24520116","2021",2,6
"24520117","2018",8,11
"24520117","2020",1,3
"24550075","2012",1,1
"24550075","2013",1,4
"24550075","2014",4,15
"24550075","2015",2,2
"24550075","2016",1,12
"24550075","2018",1,3
"24550075","2019",1,1
"24550075","2020",2,7
"24550075","2021",2,5
"24550076","2008",2,11
"24550076","2012",2,8
"24550076","2013",5,10
"24550076","2014",9,34
"24550076","2015",20,40
"24550076","2016",19,34
"24550076","2017",16,32
"24550076","2018",31,53
"24550076","2019",32,42
"24550076","2020",40,58
"24550076","2021",12,23
"24550078","2018",2,2
"24550078","2020",7,13
"24550078","2021",2,12
"24550079","2020",14,33
"24550080","2007",1,7
"24550080","2013",1,4
"24550080","2014",1,2
"24550080","2017",1,11
"24550080","2020",2,6
"24550081","2015",1,1
"24550081","2016",1,3
"24550081","2020",3,20
"24550082","2010",4,27
"24550082","2011",1,16
"24550082","2012",4,26
"24550082","2013",2,5
"24550082","2014",4,11
"24550082","2015",21,45
"24550082","2016",6,16
"24550082","2017",18,33
"24550082","2018",38,50
"24550082","2019",35,48
"24550082","2020",40,47
"24550082","2021",9,22
"24550083","2007",4,20
"24550083","2008",1,2
"24550083","2009",2,7
"24550083","2010",2,41
"24550083","2011",9,42
"24550083","2012",32,76
"24550083","2013",23,70
"24550083","2014",21,55
"24550083","2015",121,95
"24550083","2016",272,116
"24550083","2017",168,107
"24550083","2018",368,126
"24550083","2019",312,104
"24550083","2020",288,118
"24550083","2021",5,9
