"DAUID","year","n_checklists","species_richness"
"24800069","2007",10,85
"24800069","2008",17,118
"24800069","2009",24,109
"24800069","2010",19,100
"24800069","2011",21,113
"24800069","2012",21,129
"24800069","2013",22,129
"24800069","2014",46,134
"24800069","2015",59,140
"24800069","2016",57,147
"24800069","2017",55,142
"24800069","2018",74,154
"24800069","2019",75,161
"24800069","2020",140,158
"24800069","2021",4,21
"24800070","2007",4,64
"24800070","2008",2,42
"24800070","2009",2,43
"24800070","2010",3,65
"24800070","2013",1,6
"24800070","2014",1,1
"24800070","2018",1,1
"24800070","2020",1,2
"24800072","2008",2,55
"24800072","2009",2,31
"24800072","2011",1,4
"24800072","2012",1,23
"24800072","2014",3,13
"24800072","2015",1,6
"24800072","2017",1,10
"24800073","2007",3,43
"24800073","2008",12,102
"24800073","2009",11,72
"24800073","2010",10,86
"24800073","2011",6,63
"24800073","2012",5,29
"24800073","2013",1,26
"24800073","2014",1,8
"24800073","2017",5,14
"24800073","2018",1,7
"24800073","2019",4,15
"24800073","2020",4,22
"24800073","2021",1,9
"24800074","2007",6,59
"24800074","2008",3,46
"24800074","2009",1,41
"24800074","2010",1,40
"24800074","2011",3,34
"24800074","2012",6,91
"24800074","2013",4,61
"24800074","2014",10,90
"24800074","2015",7,68
"24800074","2016",6,79
"24800074","2017",12,66
"24800074","2018",9,77
"24800074","2019",16,69
"24800074","2020",58,121
"24800074","2021",3,14
"24800075","2008",3,31
"24800075","2009",6,46
"24800075","2010",13,27
"24800075","2011",35,21
"24800075","2012",37,71
"24800075","2013",14,76
"24800075","2014",7,31
"24800075","2015",8,54
"24800075","2016",6,70
"24800075","2017",7,41
"24800075","2018",6,53
"24800075","2019",11,88
"24800075","2020",94,93
"24800075","2021",10,5
"24800076","2007",4,36
"24800076","2008",9,68
"24800076","2009",6,47
"24800076","2010",4,45
"24800076","2011",4,43
"24800076","2012",13,48
"24800076","2013",12,70
"24800076","2014",14,81
"24800076","2015",11,96
"24800076","2016",4,49
"24800076","2017",5,76
"24800076","2018",5,38
"24800076","2019",11,65
"24800076","2020",28,88
"24800076","2021",3,7
"24800084","2008",1,17
"24800084","2009",1,23
"24800084","2010",2,41
"24800084","2012",2,33
"24800084","2013",1,13
"24800084","2014",6,49
"24800084","2015",3,35
"24800084","2016",3,33
"24800084","2017",6,55
