"DAUID","year","n_checklists","species_richness"
"35150039","2013",7,14
"35150039","2014",45,37
"35150039","2015",1,5
"35150039","2016",5,13
"35150039","2017",7,18
"35150039","2019",8,30
"35150039","2020",11,20
"35150040","2011",4,15
"35150040","2012",13,29
"35150040","2013",20,71
"35150040","2014",46,74
"35150040","2015",11,45
"35150040","2016",9,45
"35150040","2017",7,33
"35150040","2018",18,58
"35150040","2019",22,67
"35150040","2020",39,80
"35150040","2021",26,29
"35150041","2014",13,23
"35150041","2015",4,14
"35150041","2018",1,4
"35150041","2019",4,20
"35150041","2020",4,20
"35150043","2012",1,1
"35150043","2013",5,15
"35150043","2017",1,39
"35150043","2018",1,1
"35150043","2020",6,8
"35150045","2012",11,35
"35150045","2013",45,73
"35150045","2014",87,100
"35150045","2015",49,84
"35150045","2016",49,70
"35150045","2017",3,10
"35150045","2018",9,36
"35150045","2019",28,42
"35150045","2020",37,38
"35150045","2021",8,23
"35150046","2014",16,34
"35150046","2019",2,7
"35150047","2007",1,7
"35150047","2008",1,5
"35150047","2009",1,6
"35150047","2013",10,32
"35150047","2014",8,24
"35150047","2015",6,18
"35150047","2019",1,1
"35150047","2020",6,18
"35150048","2008",2,1
"35150048","2012",1,1
"35150048","2013",2,4
"35150048","2017",3,3
"35150048","2018",5,13
"35150048","2019",2,7
"35150048","2020",8,12
"35150048","2021",1,4
"35150049","2009",1,1
"35150049","2012",2,2
"35150049","2014",28,36
"35150049","2015",11,13
"35150049","2016",4,9
"35150049","2017",7,15
"35150049","2018",7,22
"35150049","2019",11,31
"35150049","2020",19,38
"35150049","2021",5,14
"35150050","2008",1,9
"35150050","2012",3,7
"35150050","2013",67,49
"35150050","2014",154,87
"35150050","2015",286,124
"35150050","2016",170,105
"35150050","2017",177,106
"35150050","2018",260,84
"35150050","2019",257,111
"35150050","2020",261,96
"35150050","2021",82,26
"35150051","2012",10,29
"35150051","2014",8,25
"35150051","2015",8,27
"35150051","2017",2,4
"35150051","2018",2,5
"35150051","2019",2,14
"35150051","2020",8,25
"35150052","2012",6,9
"35150052","2013",2,3
"35150052","2014",4,12
"35150052","2015",1,3
"35150052","2017",4,4
"35150052","2018",2,5
"35150052","2020",11,11
"35150052","2021",1,6
"35150053","2012",2,4
"35150053","2013",3,5
"35150053","2014",17,18
"35150053","2015",2,4
"35150053","2017",2,15
"35150053","2018",12,16
"35150053","2019",33,36
"35150053","2020",27,27
"35150053","2021",2,7
"35150054","2012",2,4
"35150054","2014",1,1
"35150054","2017",2,11
"35150054","2018",3,6
"35150054","2020",5,14
"35150055","2012",2,6
"35150055","2013",3,5
"35150055","2014",18,24
"35150055","2015",1,9
"35150055","2016",1,12
"35150055","2018",2,2
"35150055","2020",2,13
"35150056","2014",5,6
"35150056","2020",6,17
"35150057","2013",1,1
"35150057","2016",1,1
"35150057","2019",2,3
"35150058","2018",1,3
"35150058","2019",2,21
"35150058","2020",9,20
"35150059","2015",3,29
"35150059","2017",3,11
"35150059","2018",9,30
"35150059","2019",13,19
"35150059","2020",94,78
"35150059","2021",8,18
"35150060","2012",6,46
"35150060","2013",4,57
"35150060","2014",17,35
"35150060","2015",3,31
"35150060","2016",18,39
"35150060","2017",22,55
"35150060","2018",40,59
"35150060","2019",89,98
"35150060","2020",84,63
"35150060","2021",2,10
"35150061","2008",1,38
"35150061","2009",5,56
"35150061","2010",1,10
"35150061","2012",59,110
"35150061","2013",17,40
"35150061","2014",63,60
"35150061","2015",18,77
"35150061","2016",36,76
"35150061","2017",41,59
"35150061","2018",33,67
"35150061","2019",94,101
"35150061","2020",170,109
"35150061","2021",20,22
