"DAUID","year","n_checklists","species_richness"
"24190051","2007",5,6
"24190051","2008",4,5
"24190051","2009",4,3
"24190051","2010",6,7
"24190051","2011",13,12
"24190051","2012",10,16
"24190051","2013",25,23
"24190051","2014",2,11
"24190051","2015",3,14
"24190051","2016",93,92
"24190051","2017",104,89
"24190051","2018",149,85
"24190051","2019",160,77
"24190051","2020",178,82
"24190051","2021",1,3
"24190052","2008",3,16
"24190052","2012",2,24
"24190052","2013",6,16
"24190052","2014",5,31
"24190052","2015",10,48
"24190052","2016",13,41
"24190052","2017",13,34
"24190052","2018",8,57
"24190052","2019",2,11
"24190052","2020",6,31
"24190052","2021",2,4
"24190053","2007",2,5
"24190053","2008",2,28
"24190053","2009",2,12
"24190053","2010",4,33
"24190053","2011",2,13
"24190053","2012",4,31
"24190053","2013",3,28
"24190053","2014",2,9
"24190053","2015",3,24
"24190053","2016",7,46
"24190053","2017",4,37
"24190053","2018",10,47
"24190053","2019",14,41
"24190053","2020",17,25
"24190053","2021",2,10
"24190054","2007",1,9
"24190054","2013",1,12
"24190054","2014",2,3
"24190054","2015",3,31
"24190054","2016",11,43
"24190054","2017",11,35
"24190054","2018",5,20
"24190054","2019",25,50
"24190054","2020",23,84
"24190054","2021",5,14
"24190078","2007",6,39
"24190078","2008",6,9
"24190078","2009",2,2
"24190078","2010",3,6
"24190078","2011",6,14
"24190078","2012",2,9
"24190078","2013",14,28
"24190078","2014",23,48
"24190078","2015",15,41
"24190078","2016",24,64
"24190078","2017",39,59
"24190078","2018",61,70
"24190078","2019",57,63
"24190078","2020",87,69
"24190078","2021",72,27
"24190079","2014",9,37
"24190079","2015",15,51
"24190079","2016",10,54
"24190079","2017",12,18
"24190079","2018",8,16
"24190079","2019",9,11
"24190079","2020",8,22
"24190079","2021",11,11
"24190080","2009",1,7
"24190080","2010",1,49
"24190080","2013",4,18
"24190080","2014",4,29
"24190080","2015",9,41
"24190080","2016",6,29
"24190080","2017",5,25
"24190080","2018",2,14
"24190080","2019",2,10
"24190080","2020",1,12
"24190081","2007",4,37
"24190081","2008",2,38
"24190081","2009",6,45
"24190081","2010",1,14
"24190081","2011",5,24
"24190081","2012",3,42
"24190081","2013",5,24
"24190081","2014",9,52
"24190081","2016",5,44
"24190081","2017",2,45
"24190081","2018",11,42
"24190081","2019",1,10
"24190081","2020",5,20
