"DAUID","year","n_checklists","species_richness"
"47060129","2012",2,12
"47060129","2013",42,18
"47060129","2014",98,24
"47060129","2015",1,2
"47060129","2016",3,13
"47060129","2017",1,9
"47060129","2018",6,24
"47060129","2019",5,6
"47060129","2020",6,20
"47060129","2021",1,5
"47060130","2014",1,2
"47060130","2016",4,3
"47060130","2017",13,23
"47060130","2018",8,23
"47060130","2019",16,28
"47060130","2020",34,35
"47060130","2021",1,3
"47060131","2014",1,1
"47060131","2016",2,30
"47060131","2017",4,22
"47060131","2020",1,5
"47060131","2021",1,8
"47060132","2013",49,17
"47060132","2014",112,22
"47060132","2015",4,22
"47060132","2017",1,9
"47060132","2018",2,13
"47060132","2019",1,13
"47060132","2021",1,5
"47060133","2010",1,29
"47060133","2013",46,53
"47060133","2014",63,36
"47060133","2015",88,51
"47060133","2016",66,66
"47060133","2017",64,59
"47060133","2018",94,80
"47060133","2019",85,70
"47060133","2020",268,100
"47060133","2021",62,18
"47060134","2013",1,7
"47060134","2014",3,4
"47060134","2015",2,4
"47060134","2016",3,11
"47060134","2017",7,21
"47060134","2018",6,28
"47060134","2019",7,31
"47060134","2020",2,6
"47060135","2013",2,4
"47060135","2014",4,6
"47060135","2015",1,1
"47060136","2012",1,13
"47060136","2013",3,2
"47060136","2014",25,16
"47060136","2015",5,12
"47060136","2017",4,16
"47060136","2018",3,9
"47060136","2019",9,16
"47060136","2020",7,17
"47060136","2021",19,18
"47060137","2015",3,4
"47060137","2016",21,33
"47060137","2017",22,42
"47060137","2018",53,71
"47060137","2019",37,63
"47060137","2020",59,58
"47060137","2021",43,11
"47060138","2013",20,10
"47060138","2014",7,5
"47060139","2010",1,7
"47060139","2011",3,10
"47060139","2014",6,8
"47060139","2015",71,45
"47060139","2016",26,31
"47060139","2017",22,28
"47060139","2018",11,26
"47060139","2019",11,36
"47060139","2020",8,31
"47060139","2021",22,12
"47060140","2013",1,1
"47060140","2014",39,12
"47060140","2015",348,73
"47060140","2016",345,70
"47060140","2017",282,61
"47060140","2018",252,62
"47060140","2019",295,64
"47060140","2020",352,73
"47060140","2021",71,17
"47060141","2009",1,7
"47060141","2010",2,9
"47060141","2014",67,23
"47060141","2015",277,72
"47060141","2016",193,52
"47060141","2017",265,64
"47060141","2018",300,62
"47060141","2019",257,53
"47060141","2020",300,66
"47060141","2021",89,10
"47060142","2012",1,3
"47060142","2014",2,2
"47060142","2015",1,3
"47060142","2017",1,6
"47060143","2014",1,1
"47060143","2015",1,4
"47060143","2016",1,1
"47060143","2017",8,14
"47060143","2018",1,2
"47060144","2014",2,2
"47060145","2016",1,14
"47060145","2019",21,12
"47060145","2020",3,8
"47060146","2016",1,6
"47060146","2020",3,7
"47060146","2021",2,6
"47060147","2014",1,6
"47060147","2015",1,1
"47060147","2016",1,11
"47060147","2017",5,11
"47060147","2018",12,25
"47060147","2019",67,23
"47060147","2020",4,9
"47060147","2021",1,2
"47060148","2018",2,6
"47060148","2020",1,1
"47060149","2017",1,5
"47060149","2018",1,6
"47060149","2020",2,7
"47060150","2007",11,7
"47060150","2011",2,9
"47060150","2014",1,6
"47060150","2015",2,5
"47060150","2016",1,6
"47060151","2014",1,1
"47060151","2018",2,5
"47060153","2018",1,1
"47060154","2012",1,1
"47060155","2013",2,3
"47060155","2015",1,2
"47060156","2008",3,16
"47060156","2009",1,7
"47060156","2010",7,17
"47060156","2011",5,18
"47060156","2012",4,16
"47060156","2013",8,29
"47060156","2014",6,14
"47060156","2015",1,7
"47060156","2016",4,12
"47060156","2017",6,20
"47060156","2018",4,8
"47060156","2019",6,17
"47060156","2020",2,11
"47060156","2021",1,3
"47060160","2017",2,3
"47060160","2020",1,6
"47060161","2009",2,6
"47060161","2011",1,2
"47060161","2012",1,7
"47060161","2013",2,11
"47060161","2014",1,4
"47060161","2015",1,9
"47060161","2016",13,18
"47060161","2017",8,22
"47060161","2018",1,11
"47060161","2019",14,27
"47060161","2020",6,21
"47060162","2013",1,7
"47060163","2016",12,17
