"DAUID","year","n_checklists","species_richness"
"13010010","2007",1,6
"13010010","2010",8,15
"13010010","2011",14,19
"13010010","2012",3,14
"13010010","2013",7,19
"13010010","2014",1,12
"13010010","2015",1,18
"13010010","2016",1,3
"13010010","2020",1,10
"13010012","2016",1,40
"13010012","2018",6,39
"13010012","2019",7,60
"13010012","2020",6,50
"13010013","2012",2,4
"13010013","2018",2,6
"13010013","2021",5,8
"13010021","2019",1,2
"13010024","2016",2,16
"13010024","2017",1,6
"13010024","2019",1,3
"13010025","2018",1,1
"13010025","2019",1,11
"13010027","2011",2,12
"13010027","2019",2,8
"13010028","2014",1,11
"13010033","2012",1,5
"13010035","2012",1,1
"13010036","2019",1,12
"13010037","2012",1,30
"13010037","2013",5,38
"13010037","2014",1,19
"13010037","2019",2,5
"13010037","2020",2,13
"13010037","2021",5,14
"13010038","2007",24,31
"13010038","2008",13,28
"13010038","2009",1,12
"13010038","2010",3,14
"13010038","2011",4,25
"13010038","2012",6,38
"13010038","2013",13,41
"13010038","2014",9,38
"13010038","2015",13,41
"13010038","2016",12,45
"13010038","2017",18,41
"13010038","2018",25,52
"13010038","2019",46,63
"13010038","2020",34,53
"13010038","2021",9,23
"13010039","2011",1,1
"13010039","2013",1,1
"13010039","2016",1,18
"13010039","2017",5,33
"13010039","2018",5,17
"13010039","2019",13,40
"13010042","2019",1,12
"13010043","2021",1,2
"13010044","2015",1,6
"13010044","2016",1,4
"13010044","2019",7,15
"13010044","2020",2,1
"13010048","2007",1,2
"13010048","2008",3,22
"13010048","2010",1,10
"13010048","2012",1,3
"13010048","2014",2,15
"13010048","2016",1,43
"13010048","2020",1,28
"13010048","2021",2,3
"13010051","2019",1,4
"13010053","2019",1,5
"13010054","2019",1,6
"13010055","2007",12,17
"13010055","2008",7,16
"13010055","2011",1,15
"13010055","2012",1,16
"13010055","2013",4,37
"13010055","2014",3,30
"13010055","2015",2,16
"13010055","2016",3,23
"13010055","2017",1,6
"13010055","2018",11,36
"13010055","2019",26,48
"13010055","2020",11,33
"13010055","2021",3,8
"13010056","2020",1,1
"13010057","2009",1,25
"13010057","2012",3,49
"13010057","2013",4,28
"13010057","2014",5,68
"13010057","2015",4,28
"13010057","2017",9,37
"13010057","2018",24,56
"13010057","2019",73,76
"13010057","2020",37,94
"13010057","2021",1,9
"13010060","2011",1,2
"13010060","2012",3,10
"13010060","2016",1,3
"13010060","2017",2,8
"13010060","2018",1,7
"13010063","2012",1,8
"13010064","2008",1,3
"13010064","2010",2,3
"13010064","2012",3,12
"13010064","2013",7,18
"13010064","2014",2,12
"13010064","2016",4,11
"13010065","2010",2,8
"13010065","2011",14,16
"13010065","2012",5,19
"13010065","2015",1,4
"13010065","2016",3,12
"13010065","2018",1,5
"13010066","2009",1,8
"13010066","2019",1,3
"13010066","2020",3,27
"13010068","2016",1,2
"13010069","2012",1,4
"13010071","2018",1,2
"13010073","2007",1,1
"13010073","2010",1,9
"13010073","2012",2,16
"13010073","2013",1,7
"13010073","2015",1,4
"13010073","2019",2,9
"13010075","2016",1,9
"13010076","2007",2,14
"13010076","2008",2,11
"13010076","2012",1,5
"13010076","2013",1,6
"13010076","2015",1,2
"13010076","2017",2,16
"13010077","2008",1,11
"13010080","2011",2,28
"13010080","2012",27,139
"13010080","2013",54,148
"13010080","2014",27,122
"13010080","2015",1,2
"13010080","2018",1,1
"13010080","2019",2,7
"13010080","2020",1,5
"13010081","2011",1,2
"13010082","2019",1,2
"13010082","2020",1,4
"13010083","2012",1,5
"13010083","2013",1,1
"13010083","2017",1,2
"13010083","2019",2,5
"13010085","2021",1,3
"13010087","2015",1,8
"13010087","2019",1,2
"13010090","2007",19,82
"13010090","2008",13,60
"13010090","2009",4,41
"13010090","2011",15,67
"13010090","2012",65,166
"13010090","2013",75,161
"13010090","2014",28,111
"13010090","2015",42,130
"13010090","2016",37,111
"13010090","2017",67,124
"13010090","2018",64,124
"13010090","2019",90,129
"13010090","2020",33,93
"13010090","2021",6,12
"13010091","2013",8,36
"13010091","2014",9,55
"13010091","2015",2,9
"13010091","2016",2,12
"13010091","2017",2,28
"13010092","2007",1,8
"13010092","2013",1,13
"13010092","2017",9,30
"13010092","2018",14,44
"13010092","2019",9,42
"13010092","2020",3,25
"13010092","2021",4,13
"13010094","2019",1,2
"13010095","2012",1,1
"13010095","2018",1,7
"13010095","2019",1,14
"13010097","2020",1,10
"13010098","2007",2,21
"13010098","2008",3,34
"13010098","2011",5,20
"13010098","2012",10,85
"13010098","2013",16,78
"13010098","2014",14,80
"13010098","2015",8,62
"13010098","2016",12,67
"13010098","2017",14,73
"13010098","2018",24,79
"13010098","2019",49,104
"13010098","2020",61,115
"13010098","2021",4,10
"13010099","2007",1,1
"13010099","2008",1,11
"13010099","2011",1,32
"13010099","2013",3,31
"13010099","2014",6,51
"13010099","2015",9,47
"13010099","2016",14,57
"13010099","2017",6,66
"13010099","2018",6,54
"13010099","2019",43,103
"13010099","2020",15,66
"13010099","2021",2,6
"13010103","2007",5,16
"13010103","2008",4,10
"13010103","2009",2,5
"13010103","2011",1,2
"13010103","2012",1,14
"13010103","2013",5,27
"13010103","2014",9,20
"13010103","2015",1,4
"13010103","2016",6,20
"13010103","2017",6,20
"13010103","2018",5,17
"13010103","2019",18,45
"13010103","2020",6,23
"13010103","2021",2,8
"13010106","2007",2,26
"13010106","2017",1,9
"13010107","2011",3,17
"13010107","2016",2,14
"13010107","2017",2,11
"13010107","2018",6,17
"13010107","2019",4,24
"13010107","2020",2,8
"13010110","2014",1,19
"13010111","2014",1,16
