"DAUID","year","n_checklists","species_richness"
"47110021","2012",7,33
"47110021","2013",4,30
"47110021","2014",2,6
"47110021","2015",1,7
"47110021","2017",6,41
"47110021","2018",9,77
"47110021","2019",11,82
"47110021","2020",56,143
"47110021","2021",13,18
"47110022","2012",1,8
"47110027","2019",2,5
"47110027","2020",1,2
"47110030","2018",1,15
"47110030","2019",40,49
"47110030","2020",71,72
"47110030","2021",24,14
"47110035","2019",1,9
"47110035","2020",1,11
"47110039","2016",2,6
"47110042","2015",1,1
"47110042","2020",1,5
"47110044","2016",1,10
"47110044","2017",28,21
"47110044","2018",2,6
"47110044","2019",28,23
"47110044","2020",24,21
"47110044","2021",10,8
"47110046","2016",5,16
"47110046","2017",1,11
"47110046","2018",1,7
"47110046","2019",2,6
"47110046","2020",1,1
"47110049","2011",1,17
"47110049","2013",1,17
"47110049","2014",1,6
"47110049","2015",1,17
"47110049","2016",1,8
"47110049","2017",3,23
"47110049","2018",3,17
"47110049","2019",6,16
"47110049","2020",9,40
"47110049","2021",1,2
"47110051","2012",2,4
"47110051","2015",2,4
"47110051","2016",4,15
"47110051","2017",1,11
"47110051","2020",4,27
"47110052","2008",3,26
"47110052","2009",1,8
"47110052","2010",1,3
"47110052","2015",1,7
"47110052","2018",1,28
"47110052","2019",2,8
"47110052","2020",9,30
"47110054","2013",1,1
"47110054","2015",1,4
"47110055","2009",2,8
"47110055","2018",1,7
"47110055","2020",4,11
"47110056","2014",1,5
"47110056","2015",1,3
"47110056","2016",7,8
"47110056","2020",1,6
"47110057","2012",1,4
"47110057","2013",1,1
"47110057","2019",4,8
"47110057","2020",6,22
"47110058","2007",2,5
"47110058","2008",4,17
"47110058","2009",3,14
"47110058","2010",2,16
"47110058","2011",2,7
"47110058","2012",11,32
"47110058","2013",8,46
"47110058","2014",11,41
"47110058","2015",27,42
"47110058","2016",25,59
"47110058","2017",48,88
"47110058","2018",130,106
"47110058","2019",122,97
"47110058","2020",145,114
"47110058","2021",10,18
"47110060","2007",1,25
"47110060","2019",81,28
"47110062","2016",1,3
"47110062","2018",1,3
"47110064","2013",1,1
"47110064","2017",1,3
"47110064","2019",1,12
"47110065","2016",1,1
"47110065","2017",1,5
"47110065","2019",1,4
"47110065","2020",1,2
"47110066","2010",1,3
"47110066","2012",5,30
"47110066","2013",2,3
"47110066","2014",5,7
"47110066","2015",1,9
"47110066","2016",6,52
"47110066","2017",20,51
"47110066","2018",23,62
"47110066","2019",49,62
"47110066","2020",59,64
"47110066","2021",3,7
"47110067","2019",1,17
"47110068","2012",2,16
"47110068","2014",1,1
"47110068","2017",3,10
"47110068","2018",3,17
"47110068","2019",3,16
"47110068","2020",2,9
"47110069","2018",1,4
"47110070","2008",2,5
"47110070","2010",2,9
"47110070","2012",1,3
"47110070","2015",1,20
"47110070","2017",4,18
"47110070","2018",10,43
"47110070","2019",22,35
"47110070","2020",62,60
"47110070","2021",4,10
"47110074","2008",1,4
"47110074","2009",5,54
"47110074","2012",1,4
"47110074","2014",2,23
"47110074","2015",2,20
"47110074","2016",11,66
"47110074","2017",25,84
"47110074","2018",33,89
"47110074","2019",41,76
"47110074","2020",51,76
"47110074","2021",10,19
"47110075","2013",2,20
"47110075","2016",1,4
"47110075","2017",1,9
"47110075","2018",1,13
"47110075","2019",4,23
"47110075","2020",2,31
"47110076","2018",4,11
"47110076","2020",1,3
"47110077","2011",1,11
"47110077","2013",11,23
"47110077","2015",1,1
"47110077","2019",1,9
"47110077","2020",1,3
"47110079","2019",4,19
"47110079","2020",6,11
"47110079","2021",1,4
"47110080","2013",1,22
"47110081","2016",1,3
"47110081","2019",2,9
"47110081","2020",2,6
"47110082","2017",2,7
"47110082","2018",12,28
"47110082","2019",4,13
"47110082","2020",9,20
"47110082","2021",1,3
"47110083","2018",1,7
"47110083","2019",1,4
"47110083","2020",1,4
"47110083","2021",1,3
"47110085","2016",2,2
"47110085","2020",2,13
"47110086","2020",1,2
"47110087","2016",4,9
"47110087","2017",8,22
"47110087","2018",28,31
"47110087","2019",12,16
"47110087","2020",51,62
"47110087","2021",8,10
"47110088","2013",1,9
"47110088","2019",1,7
"47110088","2020",104,93
"47110088","2021",6,10
"47110089","2012",3,12
"47110089","2013",1,9
"47110089","2017",2,13
"47110089","2018",14,32
"47110089","2019",14,13
"47110089","2020",18,32
"47110089","2021",13,10
"47110090","2019",1,1
"47110090","2020",2,5
"47110091","2019",1,3
"47110091","2020",1,15
"47110092","2007",10,13
"47110092","2009",206,32
"47110092","2010",218,26
"47110092","2011",275,37
"47110092","2012",16,16
"47110092","2013",23,20
"47110092","2014",107,19
"47110092","2015",287,29
"47110092","2016",342,22
"47110092","2017",180,21
"47110092","2018",759,25
"47110092","2019",845,31
"47110092","2020",657,27
"47110092","2021",78,11
"47110093","2018",1,1
"47110094","2016",1,2
"47110094","2018",1,3
"47110094","2019",2,4
"47110095","2020",1,2
"47110096","2016",1,15
"47110097","2018",11,24
"47110097","2019",24,28
"47110097","2020",5,10
"47110098","2007",3,15
"47110098","2008",2,3
"47110098","2009",2,8
"47110098","2010",2,7
"47110098","2011",1,3
"47110098","2013",4,18
"47110098","2014",3,19
"47110098","2015",1,7
"47110098","2017",1,4
"47110098","2019",3,12
"47110098","2020",24,57
"47110099","2014",1,9
"47110099","2015",7,17
"47110099","2016",1,8
"47110099","2018",1,2
"47110099","2019",2,10
"47110099","2021",2,5
"47110100","2017",2,12
"47110100","2018",14,19
"47110100","2019",9,13
"47110100","2020",2,14
"47110101","2008",6,28
"47110101","2009",4,20
"47110101","2010",6,10
"47110101","2011",3,13
"47110101","2012",3,11
"47110101","2013",1,10
"47110101","2014",2,23
"47110101","2015",11,37
"47110101","2016",22,66
"47110101","2017",26,63
"47110101","2018",42,61
"47110101","2019",95,56
"47110101","2020",354,107
"47110101","2021",49,20
"47110102","2017",1,8
"47110102","2018",1,13
"47110102","2019",3,7
"47110102","2020",1,10
"47110103","2008",1,2
"47110103","2015",2,6
"47110103","2016",1,5
"47110103","2017",15,36
"47110103","2018",22,28
"47110103","2019",21,50
"47110103","2020",6,16
"47110104","2008",10,97
"47110104","2009",8,44
"47110104","2011",2,34
"47110104","2012",2,22
"47110104","2013",11,75
"47110104","2014",2,5
"47110104","2015",5,21
"47110104","2016",6,53
"47110104","2017",23,75
"47110104","2018",27,80
"47110104","2019",76,102
"47110104","2020",95,102
"47110104","2021",12,14
"47110105","2017",3,17
"47110105","2019",5,13
"47110105","2020",2,8
"47110105","2021",1,1
"47110106","2008",4,34
"47110106","2009",1,5
"47110106","2011",8,39
"47110106","2012",6,21
"47110106","2013",10,58
"47110106","2014",12,46
"47110106","2015",4,45
"47110106","2016",8,65
"47110106","2017",16,57
"47110106","2018",16,50
"47110106","2019",107,76
"47110106","2020",101,99
"47110106","2021",15,14
"47110107","2011",1,4
"47110107","2017",1,6
"47110107","2018",2,11
"47110107","2019",4,8
"47110107","2020",1,4
"47110108","2014",3,35
"47110108","2015",4,34
"47110108","2016",3,11
"47110108","2017",5,21
"47110108","2018",1,11
"47110108","2019",12,19
"47110108","2020",3,15
"47110108","2021",1,2
"47110109","2008",1,8
"47110109","2017",1,2
"47110110","2016",1,1
"47110110","2019",1,5
"47110111","2015",1,2
"47110112","2015",1,9
"47110112","2020",1,3
"47110114","2019",1,7
"47110123","2016",4,7
"47110123","2019",2,3
"47110126","2017",2,5
"47110126","2019",2,4
"47110127","2014",1,5
"47110127","2018",1,11
"47110127","2019",1,7
"47110129","2009",2,12
"47110129","2010",1,4
"47110129","2012",1,1
"47110130","2016",1,1
"47110130","2020",4,13
"47110132","2012",1,1
"47110132","2016",3,24
"47110134","2007",2,10
"47110134","2008",25,54
"47110134","2009",5,35
"47110134","2010",3,10
"47110134","2014",8,14
"47110134","2015",1,2
"47110134","2016",5,19
"47110134","2017",5,42
"47110134","2018",1,11
"47110134","2019",2,20
"47110134","2020",1,5
"47110134","2021",5,11
"47110144","2019",1,3
"47110147","2018",1,4
"47110151","2012",1,2
"47110151","2019",1,3
"47110151","2020",5,33
"47110152","2018",6,15
"47110152","2019",40,22
"47110152","2020",62,32
"47110152","2021",3,10
"47110153","2020",5,42
"47110153","2021",1,4
"47110154","2020",2,7
"47110157","2008",1,4
"47110157","2009",3,8
"47110157","2018",1,1
"47110157","2019",1,4
"47110157","2020",5,53
"47110161","2009",1,4
"47110161","2011",1,1
"47110161","2016",2,13
"47110161","2017",8,29
"47110161","2018",13,38
"47110161","2019",5,27
"47110161","2020",11,68
"47110163","2007",4,21
"47110163","2009",12,32
"47110163","2013",83,57
"47110163","2014",61,45
"47110163","2015",7,11
"47110163","2018",1,19
"47110163","2019",1,5
"47110163","2020",2,8
"47110163","2021",1,4
"47110164","2017",3,22
"47110164","2018",1,10
"47110165","2020",1,14
"47110165","2021",1,5
"47110166","2019",1,5
"47110167","2007",180,49
"47110167","2008",53,28
"47110168","2010",1,36
"47110168","2011",1,12
"47110168","2013",2,6
"47110168","2016",3,37
"47110168","2017",1,10
"47110168","2018",31,75
"47110168","2019",39,83
"47110168","2020",271,92
"47110168","2021",12,13
"47110169","2017",5,21
"47110169","2018",4,22
"47110169","2019",6,28
"47110169","2020",22,56
"47110169","2021",2,9
"47110170","2016",3,5
"47110170","2017",2,7
"47110170","2018",1,9
"47110170","2019",1,5
"47110179","2018",1,8
"47110179","2019",1,15
"47110179","2020",5,18
"47110180","2016",7,21
"47110180","2020",2,16
"47110180","2021",1,8
"47110182","2013",1,11
"47110182","2016",4,9
"47110182","2018",1,5
"47110183","2013",1,14
"47110183","2014",1,9
"47110183","2018",1,1
"47110183","2020",1,9
"47110184","2007",4,8
"47110184","2008",17,40
"47110184","2009",5,17
"47110184","2014",1,1
"47110186","2008",2,27
"47110186","2009",1,7
"47110186","2014",1,7
"47110186","2015",2,9
"47110186","2016",1,9
"47110186","2017",11,37
"47110186","2018",14,48
"47110186","2019",5,32
"47110186","2020",16,40
"47110186","2021",11,13
"47110187","2013",1,14
"47110187","2017",3,11
"47110187","2018",3,15
"47110187","2019",7,17
"47110187","2020",25,41
"47110187","2021",11,12
"47110188","2020",5,13
"47110189","2014",1,4
"47110190","2008",1,25
"47110190","2009",1,24
"47110190","2012",1,3
"47110190","2013",1,39
"47110190","2016",3,18
"47110190","2017",2,12
"47110190","2019",1,1
"47110190","2020",1,13
"47110193","2019",1,2
"47110193","2021",1,3
"47110194","2010",1,13
"47110194","2012",1,1
"47110194","2014",2,11
"47110194","2016",1,1
"47110194","2017",9,22
"47110194","2018",4,24
"47110194","2019",24,48
"47110194","2020",7,29
"47110290","2017",1,12
"47110290","2020",4,24
"47110292","2007",1,5
"47110292","2015",1,11
"47110292","2016",21,19
"47110292","2017",124,69
"47110292","2018",332,89
"47110292","2019",344,88
"47110292","2020",369,93
"47110292","2021",63,13
"47110293","2017",1,9
"47110293","2018",5,27
"47110293","2019",1,4
"47110293","2020",14,37
"47110296","2014",2,9
"47110296","2016",2,21
"47110296","2019",2,4
"47110296","2020",6,10
"47110296","2021",1,3
"47110300","2017",1,1
"47110305","2019",3,9
"47110305","2020",19,36
"47110305","2021",3,12
"47110306","2007",93,65
"47110306","2008",46,43
"47110306","2011",21,73
"47110306","2012",22,76
"47110306","2013",38,90
"47110306","2014",19,58
"47110306","2015",4,25
"47110306","2016",7,66
"47110306","2017",15,47
"47110306","2018",14,48
"47110306","2019",33,39
"47110306","2020",63,63
"47110306","2021",4,12
"47110307","2017",2,14
"47110307","2019",4,22
"47110307","2020",3,30
"47110307","2021",2,7
"47110308","2008",2,6
"47110308","2017",1,7
"47110308","2019",2,6
"47110308","2020",2,8
"47110308","2021",3,6
"47110309","2017",1,2
"47110310","2012",1,1
"47110310","2019",1,5
"47110311","2015",1,3
"47110311","2019",1,1
"47110313","2014",2,3
"47110313","2019",1,2
"47110314","2007",2,37
"47110314","2008",1,38
"47110314","2009",1,36
"47110314","2012",3,13
"47110314","2013",1,5
"47110314","2015",2,24
"47110314","2016",6,34
"47110314","2017",19,76
"47110314","2018",22,77
"47110314","2019",15,67
"47110314","2020",36,110
"47110314","2021",4,13
"47110315","2012",1,15
"47110315","2014",2,2
"47110315","2015",1,2
"47110315","2019",21,19
"47110315","2020",1,4
"47110317","2018",4,5
"47110318","2018",4,4
"47110318","2021",1,5
"47110319","2020",1,5
"47110323","2009",1,39
"47110323","2019",3,17
"47110324","2019",1,1
"47110324","2020",1,13
"47110325","2012",13,38
"47110325","2014",1,1
"47110325","2015",4,10
"47110325","2017",9,21
"47110325","2018",2,38
"47110325","2019",16,85
"47110325","2020",38,59
"47110325","2021",5,10
"47110326","2012",22,37
"47110326","2015",1,2
"47110326","2016",8,9
"47110326","2017",11,19
"47110326","2019",5,3
"47110326","2020",3,4
"47110326","2021",8,11
"47110327","2010",1,6
"47110327","2012",5,11
"47110327","2015",1,7
"47110327","2016",2,20
"47110327","2017",1,9
"47110327","2018",1,3
"47110329","2019",1,1
"47110329","2020",3,5
"47110330","2018",1,9
"47110330","2019",1,6
"47110330","2020",1,7
"47110331","2015",1,19
"47110331","2017",11,51
"47110331","2018",8,53
"47110331","2019",19,58
"47110331","2020",19,63
"47110340","2015",1,1
"47110344","2013",1,1
"47110344","2014",1,2
"47110354","2018",2,6
"47110354","2019",2,6
"47110354","2020",1,1
"47110355","2020",5,12
"47110356","2020",7,30
"47110365","2019",1,3
"47110369","2017",1,4
"47110374","2016",1,2
"47110374","2017",1,1
"47110374","2020",1,3
"47110375","2015",1,5
"47110375","2018",2,11
"47110375","2020",2,14
"47110375","2021",1,5
"47110380","2018",2,6
"47110380","2019",3,8
"47110380","2020",3,3
"47110380","2021",3,3
"47110382","2018",1,7
"47110382","2019",1,8
"47110388","2013",1,3
"47110388","2018",4,4
"47110388","2019",1,3
"47110388","2020",3,11
"47110390","2015",1,6
"47110391","2008",1,1
"47110391","2020",2,7
"47110392","2013",1,1
"47110395","2019",1,6
"47110396","2019",2,7
"47110396","2020",2,7
"47110397","2013",1,5
"47110397","2014",2,14
"47110397","2015",1,2
"47110397","2016",2,14
"47110397","2017",2,7
"47110397","2018",2,9
"47110397","2019",9,46
"47110397","2020",17,67
"47110401","2011",1,1
"47110401","2019",1,2
"47110401","2020",2,5
"47110405","2016",2,7
"47110406","2018",2,5
"47110406","2019",5,21
"47110407","2015",3,7
"47110407","2016",4,15
"47110407","2017",1,3
"47110407","2018",4,12
"47110407","2019",1,7
"47110407","2020",5,18
"47110408","2020",1,8
"47110411","2021",1,7
"47110413","2021",2,8
"47110434","2020",1,2
"47110436","2020",1,1
"47110443","2010",1,3
"47110443","2017",10,24
"47110443","2019",1,7
"47110445","2011",5,13
"47110445","2020",5,19
"47110445","2021",4,7
"47110446","2011",1,5
"47110446","2014",2,5
"47110446","2015",2,9
"47110446","2016",1,3
"47110446","2017",1,2
"47110446","2018",6,17
"47110446","2020",3,29
"47110446","2021",1,1
"47110447","2011",1,1
"47110447","2017",1,11
"47110447","2018",3,13
"47110449","2014",1,1
"47110449","2021",1,2
"47110450","2019",3,10
"47110450","2020",1,3
"47110450","2021",1,7
"47110451","2016",1,1
"47110451","2017",2,6
"47110451","2018",2,6
"47110451","2019",1,3
"47110452","2017",3,3
"47110452","2018",1,4
"47110455","2019",1,2
"47110455","2020",1,2
"47110460","2020",1,1
"47110461","2018",1,10
"47110461","2020",3,13
"47110461","2021",2,4
"47110469","2014",1,1
"47110469","2017",5,11
"47110469","2020",1,1
"47110471","2011",1,9
"47110475","2008",1,3
"47110475","2017",1,1
"47110476","2020",1,17
"47110477","2013",1,3
"47110477","2015",1,11
"47110477","2019",2,36
"47110478","2011",2,19
"47110478","2012",1,1
"47110478","2013",1,4
"47110478","2014",4,24
"47110478","2016",4,53
"47110478","2017",7,51
"47110478","2018",15,78
"47110478","2019",6,39
"47110478","2020",15,66
"47110479","2013",1,8
"47110479","2014",2,28
"47110479","2015",4,25
"47110479","2018",2,20
"47110479","2019",2,19
"47110479","2020",3,24
"47110480","2017",1,23
"47110481","2010",1,1
"47110481","2014",1,2
"47110481","2017",1,5
"47110481","2018",2,32
"47110481","2020",44,71
"47110482","2012",1,20
"47110482","2013",1,4
"47110482","2020",1,28
"47110483","2014",2,7
"47110483","2015",3,7
"47110483","2016",2,16
"47110483","2018",4,23
"47110483","2019",6,16
"47110483","2020",2,42
"47110484","2014",3,9
"47110484","2015",4,9
"47110484","2016",1,5
"47110484","2018",3,15
"47110485","2008",1,5
"47110485","2017",2,10
"47110485","2019",5,18
"47110485","2020",1,8
"47110487","2015",1,13
"47110487","2016",1,7
"47110488","2008",1,1
"47110488","2009",2,60
"47110488","2014",2,14
"47110488","2015",1,6
"47110488","2016",2,11
"47110488","2017",3,124
"47110488","2018",19,27
"47110488","2019",10,37
"47110488","2020",15,35
"47110489","2011",1,3
"47110489","2017",1,7
"47110489","2019",3,10
"47110489","2020",2,10
"47110491","2018",2,5
"47110491","2019",3,1
"47110491","2020",1,7
"47110492","2020",4,37
"47110495","2011",1,1
"47110495","2012",3,21
"47110495","2017",3,26
"47110495","2018",12,40
"47110495","2019",9,23
"47110495","2020",17,58
"47110495","2021",5,12
"47110496","2018",57,17
"47110496","2019",7,3
"47110496","2020",1,5
"47110497","2012",1,1
"47110497","2014",4,5
"47110497","2015",1,2
"47110497","2016",1,1
"47110497","2017",9,25
"47110497","2018",50,54
"47110497","2019",160,60
"47110497","2020",161,71
"47110497","2021",6,4
"47110498","2018",1,1
"47110498","2019",2,14
"47110500","2013",1,1
"47110500","2014",2,12
"47110500","2016",2,19
"47110500","2017",6,48
"47110500","2018",21,64
"47110500","2019",18,80
"47110500","2020",10,48
"47110502","2011",1,1
"47110502","2013",8,38
"47110502","2014",5,50
"47110502","2015",8,40
"47110502","2016",10,48
"47110502","2017",8,49
"47110502","2018",10,67
"47110502","2019",18,62
"47110502","2020",11,65
"47110502","2021",2,5
"47110503","2013",1,12
"47110503","2015",3,7
"47110503","2016",4,13
"47110503","2020",1,17
"47110504","2011",1,1
"47110504","2013",58,57
"47110504","2014",76,68
"47110504","2015",95,65
"47110504","2016",21,33
"47110504","2017",8,31
"47110504","2018",9,32
"47110504","2019",33,42
"47110504","2020",11,30
"47110506","2014",3,21
"47110506","2015",3,40
"47110506","2016",4,43
"47110506","2017",9,63
"47110506","2018",19,91
"47110506","2019",35,87
"47110506","2020",46,86
"47110506","2021",17,11
"47110507","2016",2,10
"47110507","2017",2,12
"47110508","2019",1,14
"47110508","2020",2,10
"47110508","2021",3,4
"47110509","2014",21,23
"47110511","2013",1,12
"47110511","2014",23,26
"47110511","2016",1,7
"47110511","2017",1,20
"47110511","2019",1,1
"47110511","2020",1,3
"47110512","2008",3,29
"47110512","2009",1,20
"47110512","2010",1,56
"47110512","2012",1,16
"47110512","2013",1,11
"47110512","2014",59,61
"47110512","2015",12,49
"47110512","2016",8,54
"47110512","2017",43,77
"47110512","2018",32,86
"47110512","2019",42,81
"47110512","2020",83,90
"47110512","2021",9,14
"47110513","2014",1,2
"47110514","2017",1,1
"47110515","2018",6,11
"47110515","2019",8,22
"47110515","2020",4,10
"47110518","2014",1,4
"47110519","2019",4,9
"47110520","2014",1,1
"47110521","2019",16,7
"47110521","2020",72,38
"47110521","2021",10,11
"47110523","2014",1,1
"47110524","2008",1,8
"47110524","2011",4,11
"47110524","2016",7,51
"47110524","2017",11,63
"47110524","2018",7,54
"47110524","2019",35,79
"47110524","2020",16,57
"47110524","2021",3,1
"47110525","2007",1,11
"47110525","2009",1,4
"47110525","2013",2,19
"47110525","2014",1,1
"47110525","2016",3,40
"47110525","2017",5,80
