"DAUID","year","n_checklists","species_richness"
"35260001","2007",13,45
"35260001","2008",18,65
"35260001","2009",7,42
"35260001","2010",21,53
"35260001","2011",79,86
"35260001","2012",58,79
"35260001","2013",48,72
"35260001","2014",97,100
"35260001","2015",105,93
"35260001","2016",79,86
"35260001","2017",78,76
"35260001","2018",102,89
"35260001","2019",155,107
"35260001","2020",284,100
"35260001","2021",110,60
"35260002","2007",1,34
"35260002","2008",2,12
"35260002","2011",2,45
"35260002","2013",1,43
"35260002","2014",5,27
"35260002","2016",2,13
"35260002","2017",4,28
"35260002","2019",3,27
"35260002","2021",2,13
"35260003","2008",1,24
"35260003","2010",1,4
"35260003","2013",2,20
"35260003","2016",2,22
"35260003","2018",1,23
"35260003","2019",2,29
"35260003","2020",6,47
"35260003","2021",6,15
"35260004","2009",2,16
"35260004","2010",1,9
"35260004","2012",2,19
"35260004","2014",2,14
"35260004","2015",1,9
"35260004","2016",16,73
"35260004","2018",2,11
"35260004","2019",5,11
"35260005","2007",1,42
"35260005","2009",1,8
"35260005","2011",1,2
"35260005","2012",2,42
"35260005","2014",1,9
"35260005","2015",1,22
"35260005","2017",5,6
"35260005","2018",3,7
"35260005","2019",11,26
"35260005","2020",2,18
"35260006","2008",3,24
"35260006","2009",3,43
"35260006","2010",3,22
"35260006","2011",3,23
"35260006","2012",2,23
"35260006","2013",3,20
"35260006","2014",11,49
"35260006","2015",4,42
"35260006","2016",8,60
"35260006","2017",14,64
"35260006","2018",16,71
"35260006","2019",18,65
"35260006","2020",35,81
"35260006","2021",8,19
"35260007","2007",3,24
"35260007","2008",1,1
"35260007","2010",1,6
"35260007","2011",2,9
"35260007","2012",1,5
"35260007","2013",2,30
"35260007","2014",119,57
"35260007","2015",11,29
"35260007","2016",2,5
"35260007","2017",4,27
"35260007","2018",21,46
"35260007","2019",28,49
"35260007","2020",9,28
"35260007","2021",1,1
"35260008","2013",1,8
"35260008","2015",2,10
"35260008","2020",1,4
"35260008","2021",1,1
"35260009","2009",1,6
"35260009","2010",1,3
"35260009","2011",1,1
"35260009","2012",1,6
"35260009","2014",1,11
"35260009","2015",1,2
"35260009","2016",1,1
"35260009","2018",2,7
"35260009","2019",7,35
"35260009","2020",11,28
"35260009","2021",4,11
"35260010","2008",1,1
"35260010","2010",2,14
"35260010","2011",1,4
"35260010","2012",2,15
"35260010","2013",2,17
"35260010","2014",4,12
"35260010","2015",3,31
"35260010","2018",8,25
"35260010","2019",32,42
"35260010","2020",58,48
"35260010","2021",11,20
"35260011","2007",2,18
"35260011","2008",8,45
"35260011","2009",5,38
"35260011","2010",4,22
"35260011","2011",6,47
"35260011","2012",11,70
"35260011","2013",8,38
"35260011","2014",25,83
"35260011","2015",27,88
"35260011","2016",14,69
"35260011","2017",27,95
"35260011","2018",61,136
"35260011","2019",102,142
"35260011","2020",89,142
"35260011","2021",40,52
"35260012","2008",2,16
"35260012","2009",1,22
"35260012","2010",1,7
"35260012","2013",1,2
"35260012","2014",2,7
"35260012","2016",2,16
"35260012","2018",3,9
"35260012","2019",1,3
"35260013","2015",2,9
"35260013","2018",1,1
"35260014","2021",5,9
"35260015","2014",1,16
"35260015","2016",7,39
"35260015","2017",4,28
"35260015","2018",8,31
"35260015","2019",2,23
"35260015","2021",2,20
"35260016","2011",4,29
"35260016","2012",2,6
"35260016","2013",3,10
"35260016","2016",2,14
"35260016","2017",1,10
"35260016","2018",8,49
"35260016","2019",93,61
"35260016","2020",159,47
"35260016","2021",11,14
"35260022","2007",17,58
"35260022","2008",24,59
"35260022","2009",24,78
"35260022","2010",46,76
"35260022","2011",88,97
"35260022","2012",120,92
"35260022","2013",137,93
"35260022","2014",117,80
"35260022","2015",126,87
"35260022","2016",161,104
"35260022","2017",159,89
"35260022","2018",145,134
"35260022","2019",144,108
"35260022","2020",184,117
"35260022","2021",60,41
"35260023","2016",2,7
"35260023","2017",2,10
"35260023","2018",1,1
"35260023","2020",2,8
"35260025","2020",3,8
"35260030","2013",1,1
"35260030","2014",1,2
"35260031","2016",2,19
"35260031","2017",1,8
"35260031","2018",2,15
"35260035","2013",1,1
"35260036","2018",1,6
"35260036","2019",1,3
"35260036","2020",2,13
"35260040","2019",1,26
"35260042","2007",1,7
"35260044","2014",1,1
"35260048","2021",4,8
"35260049","2013",1,3
"35260049","2017",1,8
"35260049","2018",4,10
"35260049","2019",2,4
"35260049","2020",2,9
"35260049","2021",6,15
"35260052","2019",1,7
"35260053","2015",5,11
"35260053","2018",2,3
"35260053","2019",3,8
"35260053","2020",8,35
"35260055","2021",1,3
"35260056","2014",1,1
"35260056","2017",2,18
"35260056","2020",1,9
"35260060","2016",1,3
"35260060","2017",1,3
"35260060","2018",5,6
"35260060","2019",4,5
