"DAUID","year","n_checklists","species_richness"
"35580029","2013",1,1
"35580029","2014",1,1
"35580029","2015",2,1
"35580030","2017",1,5
"35580030","2018",3,18
"35580030","2019",1,10
"35580030","2020",2,17
"35580031","2018",1,10
"35580031","2019",3,10
"35580031","2020",16,24
"35580032","2013",3,3
"35580032","2017",1,1
"35580032","2018",2,10
"35580032","2020",2,4
"35580033","2010",1,10
"35580033","2011",1,2
"35580033","2013",1,3
"35580033","2014",1,6
"35580033","2015",1,13
"35580033","2016",5,17
"35580033","2017",13,34
"35580033","2018",13,23
"35580033","2019",6,22
"35580033","2020",18,28
"35580033","2021",8,18
"35580038","2011",2,22
"35580038","2012",7,15
"35580038","2013",3,3
"35580038","2015",5,10
"35580038","2016",1,1
"35580038","2017",2,9
"35580038","2018",4,17
"35580038","2019",2,13
"35580038","2020",4,4
"35580040","2017",4,14
"35580041","2018",1,4
"35580041","2019",1,15
"35580043","2010",1,1
"35580043","2017",2,12
"35580043","2018",3,20
"35580043","2019",1,1
"35580044","2013",1,8
"35580044","2014",1,2
"35580044","2015",1,5
"35580044","2017",3,22
"35580044","2018",3,6
"35580044","2019",3,6
"35580044","2020",13,5
"35580044","2021",1,1
"35580045","2013",1,4
"35580046","2018",1,9
"35580047","2014",2,11
"35580047","2015",1,8
"35580047","2016",2,11
"35580047","2017",4,10
"35580047","2018",6,15
"35580047","2019",8,20
"35580047","2020",2,4
"35580048","2020",3,13
"35580049","2016",1,3
"35580050","2020",3,14
"35580052","2016",2,12
"35580057","2016",1,5
"35580058","2007",1,18
"35580058","2009",2,19
"35580058","2014",5,8
"35580058","2015",11,19
"35580058","2016",32,31
"35580058","2017",10,23
"35580058","2018",2,11
"35580058","2019",1,4
"35580059","2014",1,1
"35580059","2015",3,11
"35580059","2016",3,14
"35580059","2017",4,14
"35580059","2018",3,12
"35580059","2019",2,7
"35580060","2018",1,17
"35580061","2013",1,7
"35580062","2016",1,5
"35580062","2017",1,5
"35580064","2018",1,5
"35580066","2018",6,13
"35580066","2019",1,3
"35580068","2010",1,9
"35580069","2013",1,1
"35580069","2014",1,15
"35580076","2013",1,1
"35580077","2018",2,3
"35580077","2019",1,4
"35580079","2020",3,2
"35580081","2014",1,1
"35580081","2015",2,7
"35580084","2017",1,9
"35580086","2013",1,1
"35580086","2020",1,4
"35580088","2013",6,12
"35580088","2014",14,22
"35580088","2015",10,11
"35580088","2016",11,26
"35580088","2017",14,29
"35580088","2018",9,43
"35580088","2019",16,41
"35580088","2020",7,27
"35580092","2016",1,4
"35580094","2013",13,20
"35580094","2014",11,16
"35580094","2015",2,17
"35580094","2016",3,9
"35580094","2017",2,8
"35580094","2018",1,5
"35580094","2020",2,19
"35580095","2016",1,11
"35580095","2018",6,40
"35580095","2019",2,10
"35580095","2020",15,52
"35580095","2021",6,15
"35580098","2020",1,12
"35580102","2016",2,5
"35580103","2021",2,4
"35580105","2014",7,11
"35580105","2015",5,22
"35580105","2016",8,24
"35580105","2017",25,45
"35580105","2018",154,66
"35580105","2019",105,50
"35580105","2020",12,31
"35580106","2016",1,2
"35580108","2015",1,8
"35580108","2018",54,25
"35580108","2019",82,29
"35580114","2015",1,5
"35580114","2017",2,7
"35580114","2020",3,7
"35580114","2021",2,14
"35580115","2017",3,15
"35580115","2018",1,18
"35580116","2021",3,14
"35580119","2020",5,36
"35580120","2020",1,5
"35580121","2012",1,2
"35580121","2017",1,15
"35580121","2019",1,2
"35580123","2019",1,3
"35580124","2013",1,2
"35580125","2018",2,4
"35580125","2019",2,2
"35580125","2020",1,5
"35580126","2014",1,2
"35580126","2017",1,4
"35580129","2012",1,1
"35580129","2017",2,5
"35580129","2020",2,9
"35580130","2018",1,4
"35580136","2020",1,6
"35580138","2014",1,9
"35580138","2016",1,6
"35580138","2020",2,4
"35580140","2020",3,8
"35580142","2020",24,27
"35580142","2021",1,2
"35580143","2020",1,10
"35580144","2019",3,14
"35580144","2020",3,13
"35580144","2021",1,8
"35580145","2015",1,6
"35580146","2014",1,3
"35580146","2015",1,3
"35580146","2016",2,6
"35580146","2017",1,3
"35580146","2018",2,4
"35580146","2019",2,8
"35580146","2020",25,23
"35580146","2021",14,13
"35580147","2017",1,7
"35580148","2014",2,4
"35580148","2017",1,10
"35580148","2018",27,42
"35580148","2019",42,47
"35580148","2020",2,5
"35580149","2014",3,17
"35580149","2015",1,5
"35580149","2018",1,5
"35580149","2019",6,18
"35580149","2020",3,12
"35580150","2020",1,6
"35580152","2020",1,4
"35580153","2008",1,13
"35580153","2009",3,31
"35580153","2012",2,3
"35580153","2013",3,15
"35580153","2014",2,13
"35580153","2015",2,8
"35580153","2016",34,60
"35580153","2017",75,87
"35580153","2018",66,82
"35580153","2019",73,81
"35580153","2020",76,111
"35580153","2021",5,9
"35580154","2010",1,1
"35580154","2012",1,1
"35580154","2013",2,4
"35580154","2014",1,8
"35580154","2015",6,36
"35580154","2016",3,5
"35580154","2017",1,3
"35580154","2018",12,25
"35580154","2019",9,24
"35580154","2020",8,30
"35580155","2008",1,12
"35580155","2014",11,17
"35580155","2015",5,18
"35580155","2016",19,31
"35580155","2017",17,45
"35580155","2018",22,58
"35580155","2019",7,23
"35580155","2020",37,58
"35580155","2021",4,9
"35580157","2013",8,46
"35580157","2014",2,9
"35580157","2015",1,10
"35580157","2016",11,64
"35580157","2017",11,39
"35580157","2018",9,40
"35580157","2019",45,99
"35580157","2020",54,91
"35580158","2013",8,26
"35580158","2018",3,1
"35580158","2019",3,5
"35580161","2020",2,9
"35580164","2018",1,2
"35580164","2019",1,5
"35580165","2019",1,4
"35580166","2014",33,33
"35580166","2015",55,38
"35580166","2016",21,26
"35580166","2017",1,2
"35580166","2019",1,9
"35580166","2021",1,4
"35580167","2020",2,2
"35580169","2014",1,15
"35580169","2015",1,2
"35580169","2017",5,20
"35580169","2018",11,66
"35580169","2019",22,66
"35580169","2020",2,35
"35580171","2017",1,8
"35580172","2014",1,13
"35580172","2016",10,30
"35580172","2018",11,42
"35580172","2019",6,26
"35580172","2020",2,10
"35580172","2021",6,8
"35580174","2008",1,22
"35580174","2009",1,20
"35580174","2010",1,19
"35580174","2011",2,31
"35580174","2013",9,51
"35580174","2014",8,32
"35580174","2015",17,63
"35580174","2016",18,25
"35580174","2017",20,56
"35580174","2018",26,53
"35580174","2019",18,60
"35580174","2020",23,85
"35580174","2021",5,9
"35580175","2018",1,8
"35580175","2021",1,3
"35580176","2017",1,3
"35580176","2018",1,6
"35580176","2019",1,7
"35580176","2020",4,11
"35580176","2021",4,8
"35580177","2017",1,2
"35580177","2019",1,1
"35580177","2021",7,7
"35580178","2020",1,2
"35580179","2011",5,10
"35580179","2012",1,1
"35580179","2013",3,7
"35580179","2014",5,10
"35580179","2020",37,65
"35580179","2021",17,23
"35580180","2017",41,79
"35580180","2018",33,48
"35580180","2019",9,28
"35580180","2020",58,78
"35580180","2021",13,24
"35580181","2013",19,75
"35580181","2014",27,83
"35580181","2015",8,32
"35580181","2016",13,38
"35580181","2017",25,74
"35580181","2018",31,55
"35580181","2019",27,65
"35580181","2020",105,69
"35580181","2021",7,15
"35580184","2017",1,5
"35580186","2008",1,1
"35580186","2011",1,9
"35580186","2012",5,14
"35580186","2013",5,15
"35580186","2014",6,13
"35580186","2015",1,3
"35580186","2016",4,8
"35580186","2017",3,21
"35580186","2018",12,12
"35580186","2019",10,28
"35580186","2020",9,26
"35580186","2021",3,9
"35580194","2011",3,7
