"DAUID","year","n_checklists","species_richness"
"35180018","2012",1,2
"35180018","2014",1,3
"35180018","2015",1,15
"35180018","2016",2,10
"35180018","2017",5,26
"35180018","2018",1,1
"35180018","2019",3,24
"35180018","2020",36,88
"35180018","2021",6,14
"35180019","2012",1,1
"35180019","2013",1,3
"35180019","2015",1,19
"35180019","2018",1,10
"35180019","2019",5,18
"35180019","2020",7,27
"35180019","2021",5,13
"35180021","2019",2,4
"35180021","2020",1,2
"35180022","2010",2,6
"35180022","2011",1,3
"35180022","2013",1,4
"35180022","2017",1,19
"35180022","2018",1,2
"35180022","2019",1,7
"35180022","2020",2,16
"35180022","2021",1,8
"35180024","2008",1,6
"35180024","2010",2,10
"35180024","2012",1,17
"35180024","2013",1,1
"35180024","2015",2,33
"35180024","2016",1,4
"35180024","2017",1,3
"35180024","2018",1,4
"35180024","2020",3,7
"35180025","2017",3,19
"35180025","2018",1,2
"35180025","2021",3,8
"35180026","2010",2,15
"35180026","2012",2,5
"35180026","2013",1,6
"35180026","2014",4,23
"35180026","2015",3,14
"35180026","2016",2,24
"35180026","2017",7,26
"35180026","2018",23,39
"35180026","2019",5,32
"35180026","2020",27,79
"35180026","2021",17,25
"35180027","2007",1,8
"35180027","2016",1,1
"35180027","2020",1,9
"35180028","2020",4,26
"35180035","2007",1,20
"35180035","2008",12,30
"35180035","2009",6,15
"35180035","2010",19,72
"35180035","2011",25,99
"35180035","2012",3,30
"35180035","2013",2,40
"35180035","2014",15,69
"35180035","2015",14,71
"35180035","2016",10,39
"35180035","2017",13,64
"35180035","2018",22,80
"35180035","2019",16,72
"35180035","2020",132,136
"35180035","2021",7,15
"35180038","2012",2,30
"35180038","2013",1,5
"35180038","2015",2,14
"35180038","2016",3,16
"35180038","2017",5,39
"35180038","2018",3,40
"35180038","2019",19,48
"35180038","2020",42,45
"35180356","2012",1,3
"35180356","2013",3,6
"35180356","2015",2,7
"35180356","2016",1,3
"35180356","2017",2,6
"35180356","2018",6,7
"35180356","2019",4,10
"35180356","2020",1,6
"35180359","2019",69,21
"35180359","2020",84,27
"35180360","2017",1,6
"35180361","2014",2,1
"35180366","2015",1,1
"35180368","2017",1,1
"35180371","2017",1,11
"35180372","2020",1,1
"35180373","2016",2,12
"35180380","2009",6,39
"35180380","2011",1,28
"35180381","2020",1,5
"35180381","2021",2,12
"35180382","2016",1,5
"35180392","2014",5,11
"35180392","2016",2,5
"35180393","2020",4,8
"35180394","2017",3,13
"35180394","2020",5,20
"35180397","2020",3,6
"35180399","2016",2,6
"35180404","2019",1,6
"35180404","2020",1,6
"35180405","2009",1,5
"35180405","2015",2,4
"35180405","2017",1,1
"35180405","2019",3,11
"35180405","2020",4,30
"35180406","2012",2,6
"35180406","2014",1,1
"35180406","2016",3,8
"35180406","2017",1,9
"35180406","2018",1,9
"35180406","2019",3,9
"35180406","2020",4,33
"35180407","2014",4,18
"35180407","2015",11,19
"35180407","2016",2,15
"35180407","2017",1,3
"35180407","2018",3,4
"35180407","2019",1,9
"35180407","2020",1,17
"35180412","2018",1,13
"35180418","2016",1,8
"35180423","2017",3,19
"35180423","2019",1,15
"35180423","2020",9,69
"35180424","2019",3,3
"35180429","2009",1,3
"35180429","2020",1,1
"35180431","2016",3,8
"35180431","2020",1,4
"35180431","2021",1,2
"35180432","2015",24,34
"35180432","2016",1,3
"35180432","2017",2,13
"35180432","2020",3,31
"35180437","2015",1,6
"35180438","2020",1,1
"35180438","2021",1,8
"35180439","2016",4,10
"35180439","2017",1,11
"35180442","2014",1,4
"35180442","2016",1,14
"35180442","2018",1,1
"35180450","2010",2,4
"35180450","2011",3,4
"35180450","2012",18,9
"35180450","2013",7,7
"35180450","2014",2,2
"35180450","2017",1,2
"35180450","2018",4,7
"35180454","2011",1,5
"35180454","2012",1,4
"35180454","2014",3,4
"35180454","2017",2,5
"35180454","2018",8,17
"35180454","2019",7,10
"35180454","2020",8,21
"35180456","2016",1,6
"35180456","2017",2,12
"35180458","2010",9,29
"35180459","2019",6,17
"35180459","2020",3,8
"35180463","2008",1,4
"35180463","2009",2,18
"35180463","2010",4,41
"35180463","2012",3,23
"35180463","2013",6,23
"35180463","2014",2,31
"35180463","2015",2,26
"35180463","2016",3,26
"35180463","2017",2,21
"35180463","2018",17,48
"35180463","2019",21,58
"35180463","2020",24,85
"35180463","2021",10,41
"35180464","2011",1,6
"35180464","2018",1,4
"35180465","2007",3,31
"35180465","2008",2,13
"35180465","2009",9,60
"35180465","2010",27,91
"35180465","2011",34,88
"35180465","2012",51,106
"35180465","2013",62,86
"35180465","2014",32,95
"35180465","2015",38,117
"35180465","2016",65,115
"35180465","2017",68,88
"35180465","2018",114,131
"35180465","2019",149,121
"35180465","2020",231,168
"35180465","2021",84,74
"35180467","2017",2,10
"35180467","2020",11,29
"35180467","2021",1,8
"35180468","2017",2,14
"35180469","2009",1,5
"35180469","2012",1,4
"35180469","2013",6,36
"35180469","2014",6,11
"35180469","2015",5,34
"35180469","2016",3,31
"35180469","2017",10,48
"35180469","2018",30,73
"35180469","2019",51,95
"35180469","2020",61,97
"35180469","2021",23,55
"35180472","2013",1,1
"35180472","2016",1,6
"35180472","2017",1,7
"35180472","2020",10,7
"35180472","2021",1,1
"35180474","2011",18,17
"35180474","2012",16,14
"35180474","2013",19,12
"35180474","2015",2,6
"35180474","2016",1,4
"35180474","2017",1,5
"35180474","2018",5,9
"35180474","2019",1,6
"35180475","2012",2,1
"35180475","2013",2,2
"35180475","2014",1,1
"35180475","2018",1,3
"35180476","2019",1,1
"35180477","2021",4,6
"35180481","2020",1,14
"35180482","2016",1,5
"35180482","2017",23,26
"35180482","2018",13,23
"35180482","2019",5,14
"35180482","2020",2,7
"35180485","2013",2,9
"35180485","2014",1,1
"35180490","2016",1,4
"35180492","2019",1,1
"35180495","2015",2,5
"35180495","2016",3,12
"35180495","2018",1,4
"35180496","2013",2,7
"35180496","2014",2,7
"35180496","2016",1,3
"35180497","2010",1,2
"35180497","2016",1,1
"35180497","2020",5,28
"35180497","2021",1,13
"35180498","2018",1,1
"35180499","2013",1,35
"35180499","2016",1,1
"35180499","2017",2,8
"35180500","2018",1,3
"35180501","2020",1,1
"35180503","2016",2,8
"35180506","2009",3,9
"35180506","2012",1,2
"35180506","2013",2,14
"35180506","2015",2,8
"35180506","2016",7,41
"35180506","2017",3,62
"35180506","2018",2,9
"35180506","2020",26,59
"35180507","2013",1,9
"35180507","2015",1,19
"35180507","2016",1,4
"35180507","2017",3,16
"35180507","2020",2,13
"35180508","2017",1,1
"35180508","2020",1,7
"35180511","2013",1,2
"35180517","2020",31,36
"35180517","2021",7,10
"35180518","2018",1,1
"35180518","2020",2,13
"35180518","2021",1,3
"35180520","2013",5,42
"35180520","2015",1,15
"35180520","2016",2,4
"35180520","2018",1,7
"35180520","2019",1,10
"35180520","2020",4,22
"35180520","2021",1,7
"35180525","2012",1,2
"35180525","2017",1,2
"35180525","2021",4,9
"35180538","2010",1,14
"35180538","2012",3,10
"35180538","2013",4,13
"35180538","2014",3,11
"35180538","2015",3,20
"35180538","2016",2,13
"35180538","2017",3,28
"35180538","2018",3,22
"35180538","2019",10,35
"35180538","2020",6,46
"35180538","2021",3,15
"35180539","2017",1,3
"35180539","2020",2,8
"35180540","2021",2,13
"35180541","2010",2,22
"35180541","2012",4,52
"35180541","2013",2,17
"35180541","2014",1,1
"35180541","2015",3,48
"35180541","2016",6,55
"35180541","2017",10,50
"35180541","2018",25,108
"35180541","2019",33,121
"35180541","2020",38,101
"35180541","2021",3,22
"35180545","2008",3,7
"35180545","2009",2,17
"35180545","2010",1,13
"35180545","2011",13,45
"35180545","2012",17,70
"35180545","2013",21,89
"35180545","2014",19,103
"35180545","2015",20,101
"35180545","2016",21,116
"35180545","2017",35,116
"35180545","2018",35,110
"35180545","2019",58,108
"35180545","2020",70,153
"35180545","2021",23,53
"35180546","2016",1,12
"35180547","2020",2,4
"35180548","2008",6,20
"35180548","2009",9,68
"35180548","2010",11,63
"35180548","2011",17,94
"35180548","2012",43,109
"35180548","2013",33,83
"35180548","2014",43,104
"35180548","2015",52,111
"35180548","2016",40,97
"35180548","2017",59,102
"35180548","2018",91,143
"35180548","2019",123,174
"35180548","2020",219,193
"35180548","2021",12,38
"35180551","2020",1,1
"35180551","2021",1,5
"35180553","2021",1,9
"35180555","2012",1,48
"35180555","2015",1,23
"35180555","2020",2,18
"35180555","2021",3,10
"35180556","2016",1,2
"35180556","2020",1,6
"35180562","2013",1,11
"35180563","2020",1,7
"35180566","2009",1,1
"35180566","2012",1,11
"35180566","2013",3,19
"35180566","2014",1,8
"35180566","2015",1,10
"35180566","2017",3,24
"35180566","2018",1,14
"35180566","2019",2,12
"35180566","2020",1,7
"35180568","2017",3,14
"35180570","2012",11,7
"35180573","2018",1,4
"35180573","2019",1,3
"35180583","2013",1,3
"35180583","2015",1,6
"35180583","2017",1,5
"35180584","2017",1,29
"35180586","2007",1,4
"35180586","2010",1,1
"35180586","2011",3,80
"35180586","2012",2,4
"35180586","2013",14,16
"35180586","2014",5,19
"35180586","2016",1,1
"35180586","2017",4,17
"35180586","2018",10,23
"35180586","2019",9,12
"35180586","2020",14,63
"35180586","2021",3,7
"35180588","2012",1,1
"35180588","2014",1,1
"35180589","2014",1,1
"35180589","2015",1,36
"35180589","2018",6,83
"35180589","2019",1,31
"35180590","2018",7,21
"35180590","2019",1,16
"35180591","2011",2,5
"35180591","2012",4,6
"35180591","2013",3,5
"35180591","2014",5,17
"35180591","2015",2,25
"35180591","2017",6,27
"35180591","2018",6,12
"35180591","2019",10,14
"35180591","2020",9,48
"35180591","2021",1,19
"35180593","2021",1,6
"35180806","2007",1,1
"35180806","2010",1,9
"35180806","2011",2,16
"35180806","2012",4,19
"35180806","2013",3,17
"35180806","2014",2,23
"35180806","2015",1,18
"35180806","2016",4,22
"35180806","2017",7,24
"35180806","2018",2,10
"35180806","2020",10,44
"35180806","2021",5,11
"35180807","2010",6,18
"35180807","2011",9,27
"35180807","2012",1,1
"35180807","2013",2,2
"35180807","2014",6,27
"35180807","2015",2,13
"35180807","2016",1,6
"35180807","2017",3,20
"35180807","2018",5,19
"35180807","2019",2,10
"35180807","2020",148,75
"35180807","2021",25,20
"35180808","2015",2,7
"35180808","2016",5,17
"35180808","2017",3,11
"35180808","2018",1,9
"35180808","2019",6,18
"35180808","2020",2,8
"35180834","2012",1,10
"35180834","2014",2,18
"35180834","2015",4,106
"35180834","2017",3,16
"35180834","2018",2,26
"35180834","2019",16,45
"35180834","2020",8,39
"35180840","2020",5,35
"35180840","2021",1,7
"35180844","2020",4,15
"35180867","2013",1,2
"35180867","2015",3,19
"35180867","2017",3,11
"35180867","2019",1,3
"35180867","2020",20,67
"35180867","2021",13,23
"35180868","2009",24,53
"35180868","2010",15,43
"35180868","2011",11,43
"35180868","2012",12,40
"35180868","2013",23,55
"35180868","2014",12,43
"35180868","2015",1,4
"35180868","2017",1,27
"35180868","2018",13,45
"35180868","2019",3,24
"35180868","2020",5,19
"35180869","2009",1,1
"35180869","2014",1,1
"35180869","2017",1,16
"35180869","2019",1,10
"35180869","2020",2,11
"35180869","2021",1,10
"35180870","2010",3,7
"35180870","2011",1,1
"35180870","2012",3,4
"35180870","2013",2,20
"35180870","2017",2,39
"35180870","2018",9,21
"35180870","2020",2,8
"35180871","2009",3,6
"35180871","2010",1,1
"35180871","2011",3,12
"35180871","2018",2,26
"35180871","2019",1,15
"35180871","2020",3,12
"35180871","2021",1,4
"35180872","2010",1,2
"35180872","2018",1,6
"35180872","2020",2,6
"35180873","2008",23,41
"35180873","2009",6,22
"35180873","2013",2,2
"35180873","2014",1,10
"35180873","2017",1,5
"35180873","2020",4,20
"35180873","2021",1,4
"35180874","2017",2,33
"35180874","2018",4,14
"35180874","2019",4,14
"35180874","2020",37,48
"35180874","2021",5,13
"35180875","2012",1,4
"35180875","2015",7,16
"35180875","2017",1,2
"35180875","2018",2,38
"35180875","2019",7,42
"35180875","2020",21,85
"35180875","2021",4,11
"35180878","2007",4,3
"35180878","2009",1,11
"35180878","2010",2,25
"35180878","2011",2,4
"35180878","2012",3,3
"35180878","2013",1,1
"35180878","2017",1,3
"35180878","2018",2,24
"35180878","2019",14,49
"35180878","2020",48,73
"35180878","2021",13,23
"35180879","2007",2,8
"35180879","2009",3,21
"35180879","2010",22,78
"35180879","2011",36,80
"35180879","2012",43,80
"35180879","2013",37,91
"35180879","2014",31,90
"35180879","2015",39,113
"35180879","2016",47,114
"35180879","2017",48,117
"35180879","2018",43,124
"35180879","2019",40,102
"35180879","2020",87,113
"35180879","2021",12,30
"35180880","2010",2,22
"35180880","2011",9,43
"35180880","2012",3,12
"35180880","2013",9,49
"35180880","2014",14,71
"35180880","2015",6,55
"35180880","2016",8,60
"35180880","2017",5,40
"35180880","2018",3,13
"35180880","2019",8,56
"35180880","2020",49,98
"35180880","2021",13,23
"35180881","2008",1,1
"35180881","2012",5,10
"35180881","2013",7,18
"35180881","2014",3,26
"35180881","2015",3,13
"35180881","2017",1,2
"35180881","2019",3,50
"35180881","2020",5,5
"35180882","2011",3,8
"35180882","2012",8,17
"35180882","2013",3,16
"35180882","2014",3,3
"35180882","2015",1,3
"35180882","2017",1,5
"35180882","2018",7,18
"35180882","2019",6,26
"35180882","2020",42,39
"35180882","2021",27,32
"35180883","2009",1,6
"35180883","2011",2,2
"35180883","2012",3,11
"35180883","2013",3,7
"35180883","2014",5,32
"35180883","2015",4,21
"35180883","2018",2,8
"35180883","2019",11,51
"35180883","2020",23,37
"35180883","2021",7,22
"35180884","2009",3,17
"35180884","2010",2,20
"35180884","2011",1,1
"35180884","2012",6,8
"35180884","2013",11,32
"35180884","2014",3,33
"35180884","2015",26,46
"35180884","2016",6,37
"35180884","2017",2,15
"35180884","2018",20,55
"35180884","2019",9,52
"35180884","2020",13,31
"35180884","2021",17,32
"35180885","2010",1,6
"35180885","2011",15,41
"35180885","2012",18,38
"35180885","2013",14,57
"35180885","2014",6,8
"35180885","2015",7,16
"35180885","2016",7,32
"35180885","2017",13,64
"35180885","2018",21,63
"35180885","2019",37,67
"35180885","2020",10,39
"35180885","2021",4,20
"35180886","2009",3,14
"35180886","2010",2,4
"35180886","2011",2,7
"35180886","2012",9,29
"35180886","2013",8,19
"35180886","2014",5,12
"35180886","2015",4,29
"35180886","2016",7,21
"35180886","2017",3,19
"35180886","2018",6,62
"35180886","2019",7,30
"35180886","2020",8,16
"35180886","2021",3,16
"35180889","2013",1,2
"35180889","2019",1,9
"35180889","2020",1,1
"35180891","2015",4,13
"35180891","2016",6,30
"35180891","2017",15,27
"35180891","2018",6,28
"35180891","2019",2,4
"35180891","2020",6,22
"35180891","2021",1,10
"35180892","2012",3,10
"35180892","2014",1,13
"35180892","2015",11,28
"35180892","2016",1,11
"35180892","2018",9,22
"35180892","2019",33,54
"35180892","2020",34,50
"35180892","2021",5,21
"35180899","2012",1,3
"35180899","2013",1,3
"35180899","2016",1,9
"35180899","2017",1,1
"35180899","2019",1,1
"35180908","2017",1,10
"35180908","2018",1,8
"35180908","2019",2,7
"35180908","2020",1,13
"35180913","2018",1,1
"35180919","2016",1,15
"35180920","2017",1,11
"35180922","2010",1,20
"35180922","2012",4,7
"35180922","2016",2,2
"35180922","2017",2,10
"35180922","2019",1,2
"35180926","2009",3,6
"35180926","2010",2,6
"35180926","2011",1,2
"35180926","2012",7,17
"35180926","2013",7,29
"35180926","2014",4,10
"35180926","2015",2,36
"35180926","2017",5,24
"35180926","2018",7,32
"35180926","2019",5,34
"35180926","2020",24,64
"35180926","2021",5,19
"35180927","2008",1,2
"35180927","2009",1,2
"35180927","2010",3,6
"35180927","2011",9,16
"35180927","2012",48,25
"35180927","2013",42,40
"35180927","2014",16,27
"35180927","2015",11,42
"35180927","2016",9,57
"35180927","2017",5,15
"35180927","2018",14,84
"35180927","2019",7,64
"35180927","2020",17,50
"35180927","2021",2,2
"35180928","2009",3,21
"35180928","2010",1,1
"35180928","2011",14,26
"35180928","2012",67,36
"35180928","2013",44,43
"35180928","2014",22,28
"35180928","2015",34,63
"35180928","2016",10,37
"35180928","2017",6,45
"35180928","2018",15,63
"35180928","2019",19,35
"35180928","2020",27,64
"35180928","2021",16,36
"35180929","2008",1,1
"35180929","2010",3,10
"35180929","2011",5,21
"35180929","2012",13,48
"35180929","2013",18,19
"35180929","2014",11,46
"35180929","2015",13,35
"35180929","2016",8,26
"35180929","2017",4,21
"35180929","2018",3,31
"35180929","2019",5,30
"35180929","2020",134,54
"35180929","2021",5,17
"35180930","2007",15,39
"35180930","2008",3,14
"35180930","2009",30,79
"35180930","2011",1,4
"35180930","2012",1,1
"35180930","2014",1,11
"35180930","2015",6,38
"35180930","2016",4,65
"35180930","2017",2,45
"35180930","2018",1,12
"35180930","2019",12,74
"35180930","2020",32,114
"35180930","2021",5,25
"35180931","2008",2,18
"35180931","2009",10,13
"35180931","2011",1,1
"35180931","2012",1,1
"35180931","2013",4,11
"35180931","2014",4,23
"35180931","2015",14,46
"35180931","2016",3,18
"35180931","2017",1,5
"35180931","2018",2,15
"35180931","2019",1,11
"35180931","2020",14,59
"35180931","2021",4,18
"35180932","2008",1,22
"35180932","2011",1,8
"35180932","2012",1,1
"35180932","2013",3,14
"35180932","2014",1,4
"35180932","2016",1,6
"35180932","2018",3,54
"35180932","2019",4,67
"35180932","2020",4,49
"35180932","2021",3,20
"35180933","2007",3,73
"35180933","2012",3,3
"35180933","2013",1,2
"35180933","2014",1,2
"35180933","2015",1,4
"35180933","2016",3,8
"35180933","2019",7,41
"35180933","2020",2,20
"35180935","2015",1,7
"35180935","2018",1,1
"35180935","2019",1,1
"35180936","2017",1,4
"35180940","2011",1,7
"35181038","2008",3,6
"35181038","2009",4,8
"35181038","2011",1,7
"35181038","2013",1,12
"35181038","2014",6,30
"35181038","2018",1,9
"35181038","2020",7,24
"35181040","2017",1,4
"35181041","2009",1,10
"35181041","2020",1,7
"35181042","2013",2,3
"35181042","2016",2,6
"35181042","2017",1,4
"35181042","2018",1,2
"35181042","2019",1,3
"35181042","2020",3,23
"35181044","2017",1,2
"35181044","2020",1,4
"35181044","2021",1,7
"35181047","2020",1,3
"35181050","2015",1,5
"35181050","2016",1,3
"35181050","2017",6,48
"35181050","2019",1,3
"35181050","2020",7,35
"35181052","2015",2,10
"35181052","2016",12,29
"35181052","2017",5,13
"35181052","2019",1,8
"35181052","2020",1,4
"35181056","2012",1,1
"35181056","2014",1,6
"35181056","2017",2,11
"35181058","2012",1,8
"35181058","2013",1,3
"35181058","2014",1,3
"35181058","2015",2,24
"35181058","2016",4,13
"35181058","2017",2,14
"35181058","2018",3,10
"35181058","2019",1,10
"35181058","2020",7,32
"35181058","2021",2,9
"35181063","2014",3,12
"35181063","2020",3,24
"35181063","2021",3,17
"35181064","2021",1,8
"35181065","2013",1,2
"35181065","2019",2,23
"35181065","2020",2,18
"35181069","2012",2,2
"35181071","2009",1,3
"35181072","2016",1,6
"35181072","2017",2,3
"35181072","2018",2,3
"35181072","2020",1,2
"35181074","2021",1,7
"35181075","2019",1,4
"35181076","2018",1,21
"35181078","2021",4,10
"35181080","2021",1,4
"35181081","2009",1,4
"35181081","2010",1,22
"35181081","2011",9,58
"35181081","2012",11,73
"35181081","2013",7,39
"35181081","2014",9,65
"35181081","2015",7,65
"35181081","2016",7,52
"35181081","2017",12,60
"35181081","2018",19,97
"35181081","2019",25,82
"35181081","2020",90,97
"35181081","2021",5,20
"35181082","2021",1,8
"35181083","2020",1,1
"35181084","2008",1,4
"35181084","2012",1,2
"35181084","2013",4,60
"35181084","2014",17,77
"35181084","2015",1,4
"35181084","2016",3,9
"35181084","2017",5,29
"35181084","2018",1,1
"35181084","2019",7,33
"35181084","2020",3,38
"35181085","2019",1,23
"35181085","2020",1,4
"35181177","2010",2,4
"35181177","2011",6,10
"35181177","2012",43,20
"35181177","2013",17,25
"35181177","2014",2,4
"35181177","2015",1,2
"35181177","2017",5,25
"35181177","2018",13,27
"35181177","2019",4,12
"35181177","2020",3,23
"35181178","2010",2,3
"35181178","2011",1,1
"35181178","2012",1,2
"35181178","2013",3,7
"35181178","2014",3,10
"35181178","2015",2,9
"35181178","2016",3,5
"35181178","2017",44,36
"35181178","2018",18,30
"35181178","2019",8,20
"35181178","2020",1,5
"35181180","2012",33,19
"35181180","2013",4,6
"35181180","2014",3,5
"35181180","2016",1,4
"35181180","2017",1,10
"35181180","2018",2,3
"35181180","2020",2,19
"35181180","2021",5,7
"35181223","2017",2,4
"35181223","2018",1,2
"35181223","2019",1,20
"35181227","2016",2,11
"35181227","2017",1,10
"35181227","2018",3,6
"35181227","2019",2,6
"35181227","2020",4,23
"35181227","2021",1,8
"35181230","2016",4,12
"35181230","2017",2,6
"35181231","2012",3,9
"35181231","2013",3,4
"35181231","2015",1,4
"35181231","2016",2,4
"35181231","2017",2,10
"35181231","2018",5,8
"35181231","2019",1,4
"35181231","2020",2,10
"35190001","2014",1,52
"35190001","2015",10,82
"35190001","2017",1,26
"35190001","2019",1,7
"35190001","2020",1,98
"35190002","2008",1,36
"35190002","2009",3,24
"35190002","2010",4,28
"35190002","2012",3,44
"35190002","2013",3,22
"35190002","2014",7,68
"35190002","2015",4,51
"35190002","2016",7,70
"35190002","2017",18,100
"35190002","2018",44,98
"35190002","2019",38,104
