"DAUID","year","n_checklists","species_richness"
"24370018","2020",5,2
"24370022","2021",1,1
"24370026","2019",1,4
"24370026","2020",2,3
"24370028","2020",1,2
"24370029","2017",1,4
"24370036","2017",1,8
"24370037","2012",6,13
"24370037","2017",11,38
"24370037","2019",7,28
"24370037","2020",27,30
"24370040","2007",5,27
"24370040","2008",5,24
"24370040","2016",7,38
"24370040","2017",4,17
"24370040","2018",1,8
"24370040","2019",11,35
"24370040","2020",6,26
"24370041","2011",1,1
"24370041","2012",1,1
"24370041","2014",1,1
"24370041","2020",1,10
"24370042","2016",1,2
"24370042","2020",1,1
"24370045","2020",1,1
"24370046","2009",1,1
"24370046","2020",1,6
"24370046","2021",4,11
"24370047","2018",2,45
"24370051","2019",2,1
"24370052","2019",1,2
"24370052","2020",36,24
"24370052","2021",8,15
"24370059","2014",1,1
"24370062","2013",2,1
"24370062","2014",1,2
"24370063","2007",3,17
"24370063","2008",3,18
"24370063","2009",6,24
"24370063","2010",5,20
"24370063","2011",1,12
"24370063","2012",18,30
"24370063","2013",20,35
"24370063","2014",32,47
"24370063","2015",33,42
"24370063","2016",31,40
"24370063","2017",48,55
"24370063","2018",20,42
"24370063","2019",37,55
"24370063","2020",32,48
"24370063","2021",15,20
"24370066","2014",1,1
"24370068","2007",1,3
"24370068","2008",1,4
"24370068","2010",2,12
"24370068","2012",1,6
"24370068","2013",5,16
"24370068","2015",8,18
"24370068","2016",2,13
"24370068","2017",19,63
"24370068","2018",11,25
"24370068","2019",14,46
"24370068","2020",17,32
"24370068","2021",9,14
"24370069","2017",1,1
"24370070","2015",1,11
"24370071","2020",1,6
"24370074","2013",2,3
"24370081","2009",1,10
"24370081","2013",1,8
"24370081","2014",2,26
"24370081","2018",6,35
"24370081","2019",2,9
"24370081","2020",2,31
"24370084","2014",1,9
"24370084","2015",1,12
"24370084","2017",1,6
"24370084","2018",1,6
"24370084","2019",2,39
"24370084","2020",2,27
"24370085","2009",1,2
"24370085","2017",1,34
"24370085","2018",1,11
"24370085","2019",6,14
"24370085","2020",6,15
"24370085","2021",9,15
"24370087","2007",1,1
"24370087","2009",1,6
"24370087","2014",4,21
"24370087","2015",2,15
"24370087","2016",2,11
"24370087","2017",66,41
"24370087","2018",1,5
"24370087","2019",38,51
"24370087","2020",32,41
"24370087","2021",3,14
"24370088","2019",1,3
"24370089","2017",1,4
"24370092","2018",3,9
"24370092","2019",5,16
"24370092","2020",13,26
"24370092","2021",1,9
"24370093","2007",1,1
"24370093","2014",1,2
"24370093","2015",1,9
"24370093","2016",7,17
"24370093","2017",1,1
"24370093","2018",2,13
"24370093","2020",1,1
"24370099","2017",1,1
"24370102","2007",1,3
"24370102","2012",1,6
"24370102","2020",3,7
"24370103","2013",1,2
"24370103","2014",1,2
"24370103","2016",6,15
"24370103","2017",1,6
"24370103","2019",2,5
"24370106","2018",14,20
"24370106","2019",51,32
"24370106","2020",65,34
"24370106","2021",11,16
"24370109","2013",1,2
"24370109","2014",4,6
"24370109","2016",1,6
"24370110","2008",1,3
"24370110","2014",3,19
"24370110","2015",3,10
"24370110","2016",14,28
"24370110","2017",12,22
"24370110","2018",6,16
"24370110","2019",7,21
"24370113","2014",1,6
"24370113","2016",1,1
"24370113","2021",1,2
"24370114","2015",3,8
"24370116","2012",2,9
"24370116","2013",2,5
"24370116","2014",1,1
"24370116","2015",1,23
"24370116","2016",2,8
"24370116","2017",1,10
"24370116","2020",2,7
"24370124","2016",1,11
"24370124","2017",1,2
"24370124","2020",3,3
"24370125","2020",5,4
"24370127","2020",1,1
"24370132","2013",4,13
"24370132","2015",1,4
"24370132","2019",1,2
"24370132","2020",1,2
"24370133","2007",2,4
"24370133","2008",4,20
"24370133","2009",4,9
"24370133","2010",1,1
"24370133","2011",3,20
"24370133","2012",1,11
"24370133","2016",4,15
"24370133","2018",2,6
"24370133","2019",4,16
"24370133","2020",1,5
"24370133","2021",2,5
"24370134","2015",1,1
"24370134","2016",2,13
"24370134","2018",1,11
"24370134","2019",1,4
