"DAUID","year","n_checklists","species_richness"
"59170033","2007",3,18
"59170033","2008",3,10
"59170033","2009",5,14
"59170033","2010",7,26
"59170033","2011",7,33
"59170033","2012",25,69
"59170033","2013",16,48
"59170033","2014",26,81
"59170033","2015",40,88
"59170033","2016",34,71
"59170033","2017",101,91
"59170033","2018",72,75
"59170033","2019",100,85
"59170033","2020",75,81
"59170033","2021",10,43
"59170034","2007",1,32
"59170034","2008",4,50
"59170034","2009",4,40
"59170034","2010",1,7
"59170034","2011",1,5
"59170034","2012",17,38
"59170034","2013",4,30
"59170034","2014",4,31
"59170034","2015",7,63
"59170034","2016",21,50
"59170034","2017",45,55
"59170034","2018",21,42
"59170034","2019",24,43
"59170034","2020",41,63
"59170034","2021",7,30
"59170035","2009",2,9
"59170035","2014",30,54
"59170035","2015",4,32
"59170035","2016",41,62
"59170035","2017",50,69
"59170035","2018",56,71
"59170035","2019",34,61
"59170035","2020",174,84
"59170035","2021",23,51
"59170036","2009",2,6
"59170036","2017",1,10
"59170036","2019",3,4
"59170036","2020",1,8
"59170036","2021",1,8
"59170037","2013",8,31
"59170037","2015",1,16
"59170038","2020",2,14
"59170038","2021",1,8
"59170040","2010",2,13
"59170042","2007",1,10
"59170042","2008",3,23
"59170042","2009",3,16
"59170042","2010",2,52
"59170042","2011",3,20
"59170042","2012",3,29
"59170042","2014",3,20
"59170042","2015",3,21
"59170042","2017",3,14
"59170042","2018",1,3
"59170042","2019",5,36
"59170042","2020",2,6
"59170042","2021",1,17
"59170043","2012",1,1
"59170043","2013",2,4
"59170043","2014",5,6
"59170043","2015",2,3
"59170043","2016",1,1
"59170043","2017",13,23
"59170043","2018",1,9
"59170043","2019",2,3
"59170043","2020",5,22
"59170043","2021",2,2
"59170044","2012",1,1
"59170044","2014",2,13
"59170044","2016",1,11
"59170044","2021",2,10
"59170045","2009",1,2
"59170045","2012",2,14
"59170045","2013",2,7
"59170045","2015",2,8
"59170045","2018",23,16
"59170046","2007",2,34
"59170046","2008",1,1
"59170046","2009",1,4
"59170046","2011",3,27
"59170046","2012",3,18
"59170046","2013",6,42
"59170046","2014",9,47
"59170046","2015",14,52
"59170046","2016",14,38
"59170046","2017",19,54
"59170046","2018",21,58
"59170046","2019",22,60
"59170046","2020",38,60
"59170046","2021",8,37
"59170047","2015",1,8
"59170047","2018",7,20
"59170047","2019",1,3
"59170047","2020",2,4
"59170048","2008",1,4
"59170048","2014",1,3
"59170048","2015",1,8
"59170048","2016",7,23
"59170048","2017",5,31
"59170048","2018",4,19
"59170048","2019",1,1
"59170048","2020",6,33
"59170048","2021",1,14
"59170049","2011",1,5
"59170049","2012",1,6
"59170049","2013",1,1
"59170051","2013",1,24
"59170051","2017",2,13
"59170051","2018",2,20
"59170051","2019",1,8
"59170051","2020",6,19
"59170052","2007",1,9
"59170052","2010",3,12
"59170052","2011",1,42
"59170052","2012",2,27
"59170052","2013",2,1
"59170052","2014",7,49
"59170052","2015",11,44
"59170052","2016",18,62
"59170052","2017",22,78
"59170052","2018",62,89
"59170052","2019",69,96
"59170052","2020",88,101
"59170052","2021",22,54
"59170053","2014",1,7
"59170053","2016",1,6
"59170053","2017",2,16
"59170053","2018",2,11
"59170053","2019",6,43
"59170053","2020",6,34
"59170053","2021",2,1
"59170054","2015",1,29
"59170054","2017",1,18
"59170054","2018",1,19
"59170054","2019",6,17
"59170054","2020",12,33
"59170055","2014",1,13
"59170055","2015",1,18
"59170055","2016",5,29
"59170055","2020",4,27
"59170056","2007",5,16
"59170056","2008",1,3
"59170056","2012",1,5
"59170056","2014",1,8
"59170056","2016",1,16
"59170056","2017",2,15
"59170056","2018",3,20
"59170056","2019",8,38
"59170056","2020",10,35
"59170056","2021",1,6
"59170063","2016",1,2
"59170063","2020",2,15
"59170066","2007",1,15
"59170066","2009",3,34
"59170066","2010",6,63
"59170066","2011",13,81
"59170066","2012",23,114
"59170066","2013",28,117
"59170066","2014",55,119
"59170066","2015",151,147
"59170066","2016",190,158
"59170066","2017",202,164
"59170066","2018",115,151
"59170066","2019",104,146
"59170066","2020",33,132
"59170066","2021",14,45
"59170070","2019",1,5
"59170071","2021",1,2
"59170072","2020",2,16
"59170074","2009",1,7
"59170074","2011",1,28
"59170074","2012",1,7
"59170074","2013",5,37
"59170074","2014",6,42
"59170074","2015",6,47
"59170074","2016",18,70
"59170074","2017",18,74
"59170074","2018",6,33
"59170074","2019",42,76
"59170074","2020",35,77
"59170074","2021",5,25
"59170075","2007",4,55
"59170075","2008",3,50
"59170075","2009",1,12
"59170075","2011",4,68
"59170075","2012",9,75
"59170075","2013",7,72
"59170075","2014",15,84
"59170075","2015",24,84
"59170075","2016",14,94
"59170075","2017",37,105
"59170075","2018",33,82
"59170075","2019",7,72
"59170075","2020",33,84
"59170075","2021",13,42
"59170076","2009",1,5
"59170076","2010",1,3
"59170076","2012",1,16
"59170076","2014",3,24
"59170076","2015",2,11
"59170076","2016",4,30
"59170076","2017",7,44
"59170076","2018",3,17
"59170076","2019",1,3
"59170076","2020",10,48
"59170076","2021",2,11
"59170077","2009",1,8
"59170077","2014",1,4
"59170077","2017",1,11
"59170077","2019",1,10
"59170077","2020",5,5
"59170077","2021",7,12
"59170079","2013",2,20
"59170079","2014",5,30
"59170079","2016",6,19
"59170079","2018",1,1
"59170079","2019",1,11
"59170079","2020",4,22
"59170079","2021",2,12
"59170081","2012",1,23
"59170081","2013",1,16
"59170081","2014",3,15
"59170081","2015",19,28
"59170081","2016",3,22
"59170081","2017",8,25
"59170081","2018",14,54
"59170081","2019",19,46
"59170081","2020",3,25
"59170081","2021",1,6
"59170082","2018",2,11
"59170082","2020",1,1
"59170082","2021",1,16
"59170084","2009",1,8
"59170084","2016",1,4
"59170084","2017",2,17
"59170084","2019",3,21
"59170085","2013",1,4
"59170085","2016",1,6
"59170094","2007",2,27
"59170094","2008",3,48
"59170094","2009",8,67
"59170094","2010",7,47
"59170094","2011",14,60
"59170094","2012",42,83
"59170094","2013",27,72
"59170094","2014",36,73
"59170094","2015",55,79
"59170094","2016",54,93
"59170094","2017",54,79
"59170094","2018",96,93
"59170094","2019",104,89
"59170094","2020",121,95
"59170094","2021",34,54
"59170095","2010",1,1
"59170095","2014",1,4
"59170095","2015",1,6
"59170095","2016",4,13
"59170095","2017",4,7
"59170095","2019",3,6
"59170095","2020",6,4
"59170095","2021",6,7
"59170096","2014",9,43
"59170096","2015",27,57
"59170096","2016",122,80
"59170096","2017",120,83
"59170096","2018",233,94
"59170096","2019",245,101
"59170096","2020",205,108
"59170096","2021",55,60
"59170097","2014",15,28
"59170097","2015",6,29
"59170097","2016",2,20
"59170097","2017",5,31
"59170097","2019",1,15
"59170097","2020",1,10
"59170098","2007",13,62
"59170098","2008",13,85
"59170098","2009",10,84
"59170098","2010",10,76
"59170098","2011",38,82
"59170098","2012",55,92
"59170098","2013",50,99
"59170098","2014",85,115
"59170098","2015",197,118
"59170098","2016",197,124
"59170098","2017",229,124
"59170098","2018",228,120
"59170098","2019",343,132
"59170098","2020",590,143
"59170098","2021",174,75
"59170100","2017",1,6
"59170100","2020",1,9
"59170100","2021",1,4
"59170101","2013",1,17
"59170101","2014",5,39
"59170101","2015",7,45
"59170101","2016",2,26
"59170101","2018",2,35
"59170101","2019",6,48
"59170101","2020",7,41
"59170101","2021",1,20
"59170102","2020",2,28
"59170102","2021",4,17
"59170103","2011",1,30
"59170103","2014",1,16
"59170103","2015",1,7
"59170103","2020",1,1
"59170103","2021",17,26
"59170106","2016",1,3
"59170106","2017",4,27
"59170106","2018",7,34
"59170106","2020",1,20
"59170111","2017",1,6
"59170111","2018",1,14
"59170114","2015",1,12
"59170114","2017",2,10
"59170114","2018",5,18
"59170114","2019",1,1
"59170115","2012",1,15
"59170116","2008",1,10
"59170116","2012",1,15
"59170116","2013",1,4
"59170116","2014",4,34
"59170116","2015",1,13
"59170116","2016",9,37
"59170116","2017",2,16
"59170116","2018",1,24
"59170116","2019",8,30
"59170116","2020",6,26
"59170117","2014",1,11
"59170117","2019",1,7
"59170117","2020",1,7
"59170118","2007",1,23
"59170118","2010",1,19
"59170118","2011",1,18
"59170118","2012",2,22
"59170118","2013",2,23
"59170118","2014",2,27
"59170118","2016",15,17
"59170118","2017",24,41
"59170118","2018",11,58
"59170118","2019",1,9
"59170118","2020",9,21
"59170118","2021",4,19
"59170119","2007",24,54
"59170119","2009",1,27
"59170119","2010",5,35
"59170119","2011",12,38
"59170119","2012",16,50
"59170119","2013",14,42
"59170119","2014",31,57
"59170119","2015",9,31
"59170119","2016",20,44
"59170119","2017",14,28
"59170119","2018",10,30
"59170119","2019",18,34
"59170119","2020",77,43
"59170119","2021",16,24
"59170120","2017",1,5
"59170120","2020",3,9
"59170120","2021",3,4
"59170121","2018",1,9
"59170123","2014",1,1
"59170123","2020",1,5
"59170123","2021",1,12
"59170124","2019",1,1
"59170125","2011",2,16
"59170125","2014",4,16
"59170125","2015",1,27
"59170125","2017",1,3
"59170125","2018",1,13
"59170125","2020",1,1
