"DAUID","year","n_checklists","species_richness"
"35370054","2015",1,3
"35370056","2019",1,5
"35370057","2018",1,4
"35370057","2020",1,2
"35370059","2010",3,40
"35370059","2011",2,53
"35370059","2012",3,36
"35370059","2014",34,97
"35370059","2015",13,58
"35370059","2016",12,77
"35370059","2017",20,66
"35370059","2018",34,85
"35370059","2019",16,79
"35370059","2020",27,93
"35370059","2021",1,1
"35370060","2017",1,2
"35370063","2013",2,6
"35370063","2014",58,41
"35370063","2015",42,41
"35370063","2016",3,11
"35370064","2009",1,10
"35370064","2014",8,36
"35370064","2015",1,12
"35370064","2016",10,24
"35370064","2018",1,8
"35370064","2019",1,3
"35370064","2021",1,2
"35370072","2007",4,59
"35370072","2008",9,49
"35370072","2009",11,78
"35370072","2010",15,97
"35370072","2011",5,50
"35370072","2012",26,89
"35370072","2013",12,50
"35370072","2014",40,130
"35370072","2015",44,81
"35370072","2016",47,117
"35370072","2017",51,137
"35370072","2018",86,157
"35370072","2019",83,144
"35370072","2020",131,146
"35370072","2021",101,61
"35370073","2010",1,1
"35370073","2015",6,20
"35370073","2016",5,27
"35370073","2020",6,32
"35370073","2021",2,6
"35370079","2014",1,8
"35370079","2015",2,9
"35370079","2020",1,4
"35370088","2016",1,4
"35370093","2013",1,1
"35370093","2019",2,7
"35370093","2020",2,3
"35370093","2021",3,6
"35370095","2020",1,3
"35370096","2008",2,7
"35370096","2009",52,49
"35370096","2010",71,54
"35370096","2011",27,31
"35370096","2012",8,24
"35370096","2018",1,41
"35370097","2021",1,2
"35370100","2021",1,6
"35370101","2016",1,12
"35370115","2019",3,12
"35370115","2020",1,6
"35370119","2019",1,1
"35370134","2021",1,7
"35370135","2007",57,37
"35370135","2008",28,21
"35370135","2013",9,23
"35370135","2017",1,7
"35370136","2010",1,1
"35370136","2013",1,1
"35370136","2017",6,25
"35370136","2018",3,10
"35370136","2020",1,21
"35370138","2012",1,1
"35370141","2014",1,1
"35370142","2008",13,32
"35370142","2009",2,2
"35370142","2010",4,16
"35370142","2011",5,4
"35370142","2012",8,31
"35370142","2013",5,27
"35370142","2014",14,56
"35370142","2015",2,34
"35370142","2016",8,52
"35370142","2017",9,44
"35370142","2018",9,36
"35370142","2019",11,68
"35370142","2020",12,72
"35370142","2021",2,6
"35370143","2012",1,3
"35370143","2020",1,3
"35370146","2013",1,1
"35370146","2018",2,10
"35370146","2019",4,14
"35370146","2020",6,18
"35370147","2008",1,13
"35370148","2014",4,30
"35370148","2015",4,34
"35370148","2017",14,39
"35370148","2018",2,13
"35370148","2019",3,38
"35370148","2020",2,13
"35370150","2016",1,4
"35370151","2014",4,45
"35370151","2015",2,23
"35370151","2016",11,57
"35370151","2017",17,56
"35370151","2018",12,54
"35370151","2019",5,33
"35370151","2020",2,19
"35370151","2021",2,9
"35370152","2018",1,7
"35370152","2020",1,9
"35370154","2013",1,2
"35370154","2016",1,4
"35370154","2019",2,2
"35370154","2020",4,12
"35370155","2019",1,4
"35370156","2017",1,7
"35370157","2018",1,3
"35370157","2020",1,1
"35370158","2016",1,12
"35370159","2020",8,14
"35370160","2018",1,5
"35370160","2020",2,13
"35370162","2018",1,6
"35370166","2010",2,5
"35370166","2013",3,25
"35370166","2014",1,21
"35370166","2017",7,55
"35370166","2018",5,86
"35370166","2019",2,47
"35370166","2020",16,58
"35370167","2013",2,8
"35370167","2014",4,16
"35370167","2015",3,11
"35370167","2016",2,14
"35370167","2017",4,9
"35370167","2018",7,19
"35370167","2019",4,7
"35370167","2020",4,7
"35370168","2017",3,2
"35370168","2019",2,7
"35370168","2020",1,4
"35370170","2014",1,2
"35370170","2015",1,9
"35370172","2021",2,8
"35370173","2012",1,6
"35370173","2017",3,5
"35370173","2018",1,3
"35370174","2016",1,7
"35370175","2018",1,8
"35370181","2010",1,1
"35370184","2010",1,2
"35370184","2017",1,31
"35370184","2018",1,6
"35370189","2017",1,14
"35370191","2010",1,2
"35370191","2012",1,4
"35370191","2013",7,19
"35370191","2014",1,6
"35370191","2015",3,12
"35370191","2016",4,17
"35370191","2017",8,17
"35370191","2018",36,50
"35370191","2019",12,23
"35370191","2020",2,11
"35370192","2013",1,8
"35370192","2015",1,4
"35370192","2016",1,4
"35370192","2018",2,7
"35370194","2017",2,7
"35370194","2019",2,2
"35370194","2020",1,1
"35370195","2013",1,3
"35370196","2012",1,4
"35370196","2019",1,2
"35370198","2018",1,15
"35370199","2018",1,10
"35370200","2018",1,6
"35370200","2020",1,3
"35370204","2013",1,3
"35370204","2016",1,4
"35370206","2010",1,2
"35370206","2018",2,7
"35370208","2017",43,12
"35370208","2018",77,11
"35370208","2019",95,12
"35370208","2020",79,13
"35370209","2012",4,9
"35370209","2013",7,15
"35370211","2018",1,1
