"DAUID","year","n_checklists","species_richness"
"46020066","2009",1,1
"46020066","2011",1,1
"46020066","2012",1,1
"46020066","2013",2,18
"46020066","2014",1,12
"46020066","2015",6,29
"46020066","2016",1,10
"46020066","2017",2,13
"46020066","2018",4,18
"46020066","2019",11,50
"46020066","2020",104,125
"46020066","2021",1,1
"46020067","2013",1,6
"46020067","2014",1,66
"46020067","2015",5,21
"46020067","2016",2,17
"46020067","2017",1,3
"46020067","2018",16,56
"46020067","2019",51,76
"46020067","2020",129,112
"46020067","2021",16,11
"46020068","2008",1,1
"46020068","2009",2,4
"46020068","2010",2,2
"46020068","2011",1,1
"46020068","2012",2,14
"46020068","2014",3,2
"46020068","2015",1,5
"46020068","2017",3,17
"46020068","2020",1,3
"46020069","2016",1,2
"46020069","2018",1,2
"46020070","2010",1,11
"46020070","2011",1,8
"46020070","2012",8,27
"46020070","2013",1,1
"46020070","2014",6,13
"46020070","2016",2,8
"46020070","2018",5,30
"46020070","2019",3,22
"46020070","2020",5,8
"46020071","2010",1,6
"46020071","2011",2,3
"46020071","2012",3,17
"46020071","2019",4,16
"46020071","2020",11,41
"46020071","2021",2,5
"46020072","2010",1,1
"46020072","2011",2,4
"46020072","2012",5,18
"46020072","2017",1,13
"46020072","2018",2,14
"46020072","2019",1,5
"46020072","2020",2,2
"46020072","2021",1,1
"46020073","2008",1,13
"46020073","2010",2,18
"46020073","2011",1,7
"46020073","2012",1,32
"46020073","2013",11,67
"46020073","2014",8,52
"46020073","2015",13,43
"46020073","2016",6,48
"46020073","2017",8,27
"46020073","2018",9,45
"46020073","2019",23,69
"46020073","2020",19,63
"46020073","2021",5,10
"46020074","2007",1,1
"46020074","2011",3,19
"46020074","2012",3,23
"46020074","2013",4,35
"46020074","2014",9,57
"46020074","2015",2,8
"46020074","2016",10,63
"46020074","2017",3,28
"46020074","2018",4,36
"46020074","2019",7,28
"46020074","2020",4,18
"46020075","2007",6,11
"46020075","2008",4,10
"46020075","2009",15,68
"46020075","2010",15,35
"46020075","2011",21,39
"46020075","2012",21,82
"46020075","2013",45,123
"46020075","2014",52,125
"46020075","2015",61,115
"46020075","2016",26,101
"46020075","2017",43,127
"46020075","2018",67,146
"46020075","2019",67,135
"46020075","2020",141,149
"46020075","2021",29,17
"46020076","2012",1,5
"46020076","2014",3,10
"46020076","2015",3,16
"46020076","2016",3,25
"46020076","2017",8,24
"46020076","2018",7,30
"46020076","2019",9,51
"46020076","2020",8,27
"46020076","2021",4,8
"46020077","2007",8,6
"46020077","2008",8,8
"46020077","2009",9,10
"46020077","2010",20,13
"46020077","2011",14,42
"46020077","2012",19,18
"46020077","2013",20,55
"46020077","2014",27,21
"46020077","2015",48,31
"46020077","2016",2,12
"46020077","2017",4,23
"46020077","2018",5,73
"46020077","2019",9,18
"46020077","2020",9,30
"46020077","2021",3,4
"46020143","2008",1,45
"46020143","2009",2,71
"46020143","2010",5,39
"46020143","2011",6,70
"46020143","2012",1,5
"46020143","2014",3,32
"46020143","2015",1,15
"46020143","2016",4,32
"46020143","2018",5,50
"46020143","2019",10,60
"46020143","2020",12,61
"46020144","2009",1,29
"46020144","2010",5,39
"46020144","2011",9,64
"46020144","2012",4,64
"46020144","2013",4,56
"46020144","2014",4,48
"46020144","2015",11,85
"46020144","2016",18,126
"46020144","2017",32,134
"46020144","2018",19,103
"46020144","2019",30,114
"46020144","2020",63,125
"46020144","2021",68,13
"46020145","2007",2,81
"46020145","2009",3,87
"46020145","2010",8,108
"46020145","2011",34,123
"46020145","2012",21,97
"46020145","2013",12,113
"46020145","2014",5,105
"46020145","2015",15,130
"46020145","2016",33,136
"46020145","2017",30,142
"46020145","2018",28,138
"46020145","2019",34,123
"46020145","2020",40,120
"46020145","2021",7,11
"46020146","2008",1,1
"46020146","2010",7,54
"46020146","2011",4,28
"46020146","2012",16,37
"46020146","2013",4,10
"46020146","2014",3,4
"46020146","2015",8,14
"46020146","2016",7,43
"46020146","2017",1,18
"46020146","2018",6,27
"46020146","2019",5,29
"46020146","2020",2,9
"46020146","2021",1,1
"46020154","2011",1,1
"46020154","2013",1,5
"46020154","2015",1,4
"46020154","2016",1,4
"46020154","2017",1,8
"46020154","2020",2,15
"46020154","2021",1,4
"46020155","2007",1,1
"46020155","2010",1,9
"46020155","2011",17,17
"46020155","2012",7,25
"46020155","2013",2,9
"46020155","2014",1,7
"46020155","2019",2,6
"46020155","2020",2,23
"46020155","2021",1,13
"46020156","2011",3,6
"46020157","2010",3,8
"46020157","2011",3,4
"46020157","2012",6,33
"46020157","2019",1,1
"46020158","2010",1,1
"46020158","2011",5,9
"46020158","2012",3,21
"46020158","2013",1,1
"46020158","2016",1,6
"46020158","2017",2,8
"46020158","2019",2,5
"46020159","2007",2,2
"46020159","2008",3,3
"46020159","2009",2,2
"46020159","2010",4,7
"46020159","2012",2,6
"46020159","2013",2,4
"46020159","2015",4,11
"46020159","2019",2,19
"46020160","2007",1,3
"46020160","2017",2,2
"46020161","2014",10,33
"46020161","2015",9,32
"46020161","2016",9,31
"46020161","2017",6,30
"46020161","2018",1,3
"46020161","2019",5,7
"46020161","2020",7,3
"46020161","2021",2,2
"46020162","2020",7,25
"46020163","2010",1,4
"46020163","2012",4,18
"46020163","2013",1,2
"46020163","2017",1,1
"46020163","2019",3,12
"46020163","2020",5,36
"46020164","2010",2,3
"46020164","2014",2,2
"46020164","2016",3,37
"46020164","2020",1,2
"46100015","2012",2,38
"46100015","2013",2,9
"46100015","2014",3,11
"46100015","2015",5,49
"46100015","2016",6,52
"46100015","2017",3,37
"46100015","2018",6,63
"46100015","2019",10,64
"46100015","2020",19,86
"46100015","2021",1,5
"46100020","2008",1,7
"46100020","2009",1,6
"46100020","2013",7,33
"46100020","2014",15,28
"46100020","2015",11,33
"46100020","2016",13,28
"46100020","2017",7,24
"46100020","2018",12,30
"46100020","2019",17,23
"46100020","2020",10,31
"46100020","2021",7,10
"46100021","2008",1,2
"46100021","2011",2,10
"46100021","2012",1,13
"46100021","2013",7,23
"46100021","2014",23,43
"46100021","2015",4,22
"46100021","2016",1,8
"46100021","2017",1,1
"46100021","2018",10,17
"46100021","2019",29,35
"46100021","2020",18,26
"46100021","2021",11,11
"46100022","2008",3,13
"46100022","2009",3,9
"46100022","2010",2,2
"46100022","2011",5,7
"46100022","2012",1,12
"46100022","2013",14,33
"46100022","2014",2,12
"46100022","2015",6,25
"46100022","2016",3,12
"46100022","2017",9,22
"46100022","2018",38,42
"46100022","2019",35,35
"46100022","2020",34,31
"46100022","2021",24,13
"46100023","2010",1,2
"46100023","2011",1,3
"46100023","2013",2,8
"46100023","2015",7,25
"46100023","2016",1,7
"46100023","2017",6,38
"46100023","2018",9,29
"46100023","2019",3,11
"46100023","2020",5,12
"46100023","2021",2,10
"46100024","2008",4,7
"46100024","2009",2,2
"46100024","2011",1,49
"46100024","2012",1,16
"46100024","2013",5,42
"46100024","2014",5,4
"46100024","2015",1,2
"46100024","2018",10,10
"46100024","2019",11,16
"46100024","2020",21,29
"46100024","2021",12,6
"46100025","2010",3,50
"46100025","2011",2,9
"46100025","2013",4,20
"46100025","2014",1,1
"46100025","2015",3,8
"46100025","2016",19,39
"46100025","2017",10,30
"46100025","2018",4,15
"46100025","2019",54,71
