"POSTALCODE","year","n_checklists","species_richness"
"L0L1K0","2013",2,10
"L0L1K0","2014",2,12
"L0L1K0","2015",1,1
"L0L1K0","2016",1,23
"L0L1K0","2017",6,38
"L0L1K0","2018",2,19
"L0L1K0","2019",7,70
"L0L1K0","2020",2,26
"L0L1K0","2021",8,24
"L0L1L0","2009",1,6
"L0L1L0","2011",1,1
"L0L1L0","2012",3,9
"L0L1L0","2013",15,30
"L0L1L0","2014",11,35
"L0L1L0","2015",8,17
"L0L1L0","2016",13,45
"L0L1L0","2017",5,33
"L0L1L0","2018",7,14
"L0L1L0","2019",10,40
"L0L1L0","2020",5,29
"L0L1L0","2021",7,15
"L0L1P0","2010",1,2
"L0L1P0","2012",3,20
"L0L1P0","2013",4,5
"L0L1P0","2014",14,47
"L0L1P0","2015",13,49
"L0L1P0","2016",15,88
"L0L1P0","2017",81,128
"L0L1P0","2018",157,162
"L0L1P0","2019",105,164
"L0L1P0","2020",125,161
"L0L1P0","2021",37,30
"L0L1P1","2020",1,5
"L0L1R0","2013",3,19
"L0L1R0","2014",3,12
"L0L1R0","2015",5,7
"L0L1R0","2016",4,23
"L0L1R0","2017",1,7
"L0L1R0","2018",4,39
"L0L1R0","2019",8,44
"L0L1R0","2020",8,34
"L0L1R0","2021",1,5
"L0L1V0","2013",1,5
"L0L1V0","2015",1,1
"L0L1V0","2018",4,27
"L0L1V0","2019",1,13
"L0L1V0","2020",4,21
"L0L1V0","2021",1,6
"L0L1W0","2011",2,10
"L0L1W0","2013",1,35
"L0L1W0","2014",1,28
"L0L1W0","2015",1,13
"L0L1W0","2019",1,1
"L0L2K0","2012",2,4
"L0L2K0","2013",2,10
"L0L2K0","2014",18,30
"L0L2K0","2015",6,71
"L0L2K0","2016",2,18
"L0L2K0","2017",3,18
"L0L2K0","2018",54,117
"L0L2K0","2019",32,84
"L0L2K0","2020",60,67
"L0L2K0","2021",4,12
"L0L2N0","2019",1,2
"L0M1B4","2015",2,15
"L0M1B4","2019",1,1
"L0M1N0","2012",6,63
"L0M1N0","2013",13,108
"L0M1N0","2014",19,113
"L0M1N0","2015",12,95
"L0M1N0","2016",26,115
"L0M1N0","2017",23,128
"L0M1N0","2018",24,107
"L0M1N0","2019",21,126
"L0M1N0","2020",14,81
"L0M1N0","2021",6,31
"L0M1S0","2012",1,5
"L0M1S0","2015",4,9
"L0M1S0","2016",5,9
"L0M1S0","2017",1,3
"L0M1S0","2018",12,18
"L0M1S0","2019",13,35
"L0M1S0","2020",13,36
"L0M1S0","2021",5,17
"L0M1T0","2012",2,3
"L0M1T0","2013",2,25
"L0M1T0","2014",2,4
"L0M1T0","2015",1,1
"L0M1T0","2016",1,6
"L0M1T0","2017",3,14
"L0M1T0","2018",3,11
"L0M1T0","2020",1,5
"L0M1T2","2010",2,21
"L0M1T2","2011",5,69
"L0M1T2","2012",1,16
"L0M1T2","2013",14,61
"L0M1T2","2014",18,79
"L0M1T2","2015",22,75
"L0M1T2","2016",40,96
"L0M1T2","2017",37,91
"L0M1T2","2018",53,112
"L0M1T2","2019",53,106
"L0M1T2","2020",66,91
"L0M1T2","2021",4,10
"L4M0A2","2020",2,16
"L4M0C2","2019",1,3
"L4M0C3","2019",1,4
"L4M0C5","2018",4,24
"L4M0C5","2019",1,12
"L4M0C5","2020",6,31
"L4M0C5","2021",5,20
"L4M0C8","2019",1,4
"L4M0E1","2021",3,15
"L4M0G6","2019",1,7
"L4M0J2","2019",15,25
"L4M0J2","2020",1,4
"L4M0J7","2019",1,5
"L4M0J8","2014",1,1
"L4M0J8","2019",1,1
"L4M1A4","2019",1,4
"L4M1A7","2019",1,1
"L4M1A7","2020",1,2
"L4M1A7","2021",1,9
"L4M1B3","2013",1,7
"L4M1B8","2015",1,13
"L4M1B8","2016",1,17
"L4M1B8","2020",2,18
"L4M1C1","2020",1,4
"L4M1C4","2019",1,5
"L4M1C4","2020",2,14
"L4M1C5","2019",2,25
"L4M1C8","2020",1,3
"L4M1C9","2017",1,18
"L4M1E1","2007",3,19
"L4M1E1","2008",2,9
"L4M1E1","2009",1,18
"L4M1E1","2013",1,18
"L4M1E1","2014",1,24
"L4M1E1","2020",1,14
"L4M1G7","2017",1,3
"L4M1G7","2020",1,4
"L4M1H6","2011",1,1
"L4M1H7","2020",1,2
"L4M1J9","2020",1,11
"L4M1K3","2016",1,15
"L4M1K3","2019",1,18
"L4M1K4","2021",1,1
"L4M1L7","2016",1,1
"L4M1M1","2018",3,9
"L4M1M1","2019",1,4
"L4M1M1","2020",2,8
"L4M1N2","2020",1,13
"L4M1N3","2019",1,5
"L4M1S1","2014",4,6
"L4M1S1","2015",2,9
"L4M1S1","2018",1,10
"L4M1S1","2020",4,24
"L4M1S3","2019",1,9
"L4M1S9","2019",2,19
"L4M1S9","2020",1,3
"L4M1W5","2020",4,21
"L4M1W6","2018",1,2
"L4M1W6","2019",30,25
"L4M1W6","2020",10,16
"L4M1W6","2021",2,5
"L4M1Z4","2014",1,4
"L4M2A4","2019",1,1
"L4M2A5","2019",2,24
"L4M2E4","2012",1,1
"L4M2G1","2019",1,5
"L4M2G4","2019",3,18
"L4M2H6","2021",1,2
"L4M2M4","2013",1,1
"L4M2P3","2014",2,2
"L4M2P9","2013",1,1
"L4M2P9","2015",3,11
"L4M2P9","2016",3,14
"L4M2R1","2014",1,2
"L4M2S2","2020",3,3
"L4M2V2","2013",3,14
"L4M2V2","2015",3,16
"L4M2V2","2016",1,5
"L4M2V2","2017",1,2
"L4M2V2","2018",1,7
"L4M2V2","2020",1,2
