"POSTALCODE","year","n_checklists","species_richness"
"K0K1E0","2012",1,4
"K0K1E0","2013",1,5
"K0K1E0","2015",1,8
"K0K1E0","2017",1,4
"K0K1E0","2018",4,11
"K0K1E0","2019",3,17
"K0K1E0","2021",1,12
"K0K1H0","2010",1,1
"K0K1H0","2011",2,14
"K0K1H0","2012",1,2
"K0K1H0","2013",2,6
"K0K1H0","2014",2,24
"K0K1H0","2015",1,1
"K0K1H0","2016",2,15
"K0K1H0","2017",2,20
"K0K1H0","2018",1,9
"K0K1H0","2019",1,4
"K0K1H0","2020",4,42
"K0K1H0","2021",3,9
"K0K1L0","2007",1,9
"K0K1L0","2009",2,3
"K0K1L0","2010",1,7
"K0K1L0","2012",14,34
"K0K1L0","2013",29,69
"K0K1L0","2014",45,108
"K0K1L0","2015",69,97
"K0K1L0","2016",90,118
"K0K1L0","2017",242,107
"K0K1L0","2018",123,133
"K0K1L0","2019",132,139
"K0K1L0","2020",180,147
"K0K1L0","2021",43,52
"K0K1V0","2010",2,2
"K0K1V0","2012",1,36
"K0K1V0","2013",10,57
"K0K1V0","2014",76,131
"K0K1V0","2015",129,112
"K0K1V0","2016",75,97
"K0K1V0","2017",139,118
"K0K1V0","2018",87,97
"K0K1V0","2019",98,96
"K0K1V0","2020",68,95
"K0K1V0","2021",32,39
"K0K1X0","2011",1,2
"K0K1X0","2012",16,20
"K0K1X0","2013",20,13
"K0K1X0","2014",11,8
"K0K1X0","2015",2,8
"K0K1X0","2016",4,17
"K0K1X0","2017",4,15
"K0K1X0","2018",5,15
"K0K1X0","2019",5,20
"K0K1X0","2020",4,20
"K0K2B0","2008",1,1
"K0K2B0","2010",1,1
"K0K2B0","2011",1,4
"K0K2B0","2012",20,54
"K0K2B0","2013",39,65
"K0K2B0","2014",17,76
"K0K2B0","2015",36,105
"K0K2B0","2016",108,131
"K0K2B0","2017",349,133
"K0K2B0","2018",347,134
"K0K2B0","2019",166,124
"K0K2B0","2020",112,123
"K0K2B0","2021",67,35
"K0K2C0","2013",12,39
"K0K2C0","2014",7,13
"K0K2C0","2015",2,12
"K0K2C0","2016",8,21
"K0K2C0","2017",26,85
"K0K2C0","2018",22,63
"K0K2C0","2019",30,67
"K0K2C0","2020",12,54
"K0K2C0","2021",16,33
"K0K2L0","2015",1,8
"K0K2L0","2016",1,5
"K0K2L0","2017",2,24
"K0K2L0","2018",3,34
"K0K2L0","2019",4,30
"K0K2L0","2020",1,3
"K0K2M0","2012",40,29
"K0K2M0","2013",67,31
"K0K2M0","2014",2,8
