"POSTALCODE","year","n_checklists","species_richness"
"L9G3L1","2013",2,2
"L9G3L1","2014",8,50
"L9G3L1","2016",12,56
"L9G3L1","2017",3,15
"L9G3L1","2020",9,41
"L9G3L1","2021",7,15
"N0A1H0","2018",2,8
"N0A1H0","2021",1,6
"N0A1M0","2008",1,8
"N0A1M0","2012",2,5
"N0A1M0","2015",1,26
"N0A1M0","2016",4,86
"N0A1M0","2017",4,90
"N0A1M0","2018",1,10
"N0A1M0","2019",4,27
"N0A1M0","2020",1,10
"N0A1M0","2021",5,23
"N0B1E0","2009",1,29
"N0B1E0","2010",1,30
"N0B1E0","2011",1,1
"N0B1E0","2012",10,71
"N0B1E0","2013",23,92
"N0B1E0","2014",16,94
"N0B1E0","2015",32,112
"N0B1E0","2016",24,106
"N0B1E0","2017",37,109
"N0B1E0","2018",42,105
"N0B1E0","2019",40,104
"N0B1E0","2020",56,110
"N0B1E0","2021",8,29
"N0B1L0","2007",1,1
"N0B1L0","2010",1,13
"N0B1L0","2012",1,1
"N0B1L0","2013",5,38
"N0B1L0","2014",9,30
"N0B1L0","2015",4,27
"N0B1L0","2016",8,31
"N0B1L0","2017",7,19
"N0B1L0","2018",11,32
"N0B1L0","2019",36,76
"N0B1L0","2020",84,90
"N0B1W0","2007",2,3
"N0B1W0","2011",2,54
"N0B1W0","2012",3,35
"N0B1W0","2013",9,29
"N0B1W0","2014",10,49
"N0B1W0","2015",22,69
"N0B1W0","2016",64,89
"N0B1W0","2017",142,95
"N0B1W0","2018",225,104
"N0B1W0","2019",195,99
"N0B1W0","2020",230,113
"N0B1W0","2021",182,62
"N0E1A0","2009",1,16
"N0E1A0","2010",2,16
"N0E1A0","2011",2,24
"N0E1A0","2012",3,35
"N0E1A0","2013",8,60
"N0E1A0","2014",14,34
"N0E1A0","2015",90,119
"N0E1A0","2016",18,70
"N0E1A0","2017",8,42
"N0E1A0","2018",15,55
"N0E1A0","2019",42,82
"N0E1A0","2020",91,132
"N0E1A0","2021",8,30
"N0E1B0","2011",8,12
"N0E1B0","2015",3,26
"N0E1B0","2016",1,2
"N0E1B0","2017",1,3
"N0E1B0","2018",1,1
"N0E1B0","2019",1,4
"N0E1E0","2011",1,1
"N0E1E0","2012",5,41
"N0E1E0","2013",1,10
"N0E1E0","2015",31,63
"N0E1E0","2016",3,18
"N0E1E0","2018",3,19
"N0E1E0","2019",2,7
"N0E1E0","2020",13,63
"N0E1E0","2021",4,19
"N0E1K0","2012",2,39
"N0E1K0","2013",4,4
"N0E1K0","2014",5,12
"N0E1K0","2015",1,3
"N0E1K0","2016",7,75
"N0E1K0","2017",8,81
"N0E1K0","2018",5,50
"N0E1K0","2019",8,34
"N0E1K0","2020",26,74
"N0E1K0","2021",20,48
"N0E1L0","2015",3,7
"N0E1L0","2016",2,2
"N0E1N0","2007",6,73
"N0E1N0","2009",1,11
"N0E1N0","2010",1,11
"N0E1N0","2011",2,2
"N0E1N0","2012",11,64
"N0E1N0","2013",11,86
"N0E1N0","2014",12,71
"N0E1N0","2015",10,61
"N0E1N0","2016",80,103
"N0E1N0","2017",187,114
"N0E1N0","2018",420,155
"N0E1N0","2019",418,152
"N0E1N0","2020",516,160
"N0E1N0","2021",142,62
"N0E1R0","2011",1,3
"N0E1R0","2012",1,3
"N0E1R0","2013",8,14
"N0E1R0","2014",36,59
