"POSTALCODE","year","n_checklists","species_richness"
"T0J0V0","2007",10,73
"T0J0V0","2008",8,88
"T0J0V0","2009",4,62
"T0J0V0","2010",7,59
"T0J0V0","2011",5,63
"T0J0V0","2012",6,45
"T0J0V0","2013",14,75
"T0J0V0","2014",8,49
"T0J0V0","2015",6,64
"T0J0V0","2016",9,58
"T0J0V0","2017",13,60
"T0J0V0","2018",4,29
"T0J0V0","2019",36,80
"T0J0V0","2020",20,75
"T0J0V0","2021",1,2
"T0J1X1","2007",17,74
"T0J1X1","2008",20,81
"T0J1X1","2009",26,94
"T0J1X1","2010",33,93
"T0J1X1","2011",72,113
"T0J1X1","2012",101,124
"T0J1X1","2013",212,144
"T0J1X1","2014",233,156
"T0J1X1","2015",333,153
"T0J1X1","2016",380,143
"T0J1X1","2017",395,146
"T0J1X1","2018",394,163
"T0J1X1","2019",403,154
"T0J1X1","2020",840,165
"T0J1X1","2021",17,14
"T0J1X2","2008",2,5
"T0J1X2","2009",8,72
"T0J1X2","2010",5,33
"T0J1X2","2011",4,26
"T0J1X2","2012",2,4
"T0J1X2","2013",11,38
"T0J1X2","2016",1,5
"T0J1X2","2020",1,8
"T0J1X3","2007",1,3
"T0J1X3","2009",1,1
"T0J1X3","2011",2,7
"T0J1X3","2012",3,10
"T0J1X3","2013",6,35
"T0J1X3","2014",7,50
"T0J1X3","2015",11,39
"T0J1X3","2016",14,53
"T0J1X3","2017",6,36
"T0J1X3","2018",2,18
"T0J1X3","2019",6,27
"T0J1X3","2020",9,50
"T0J1Y0","2007",4,59
"T0J1Y0","2008",6,43
"T0J1Y0","2009",5,30
"T0J1Y0","2010",4,32
"T0J1Y0","2011",21,66
"T0J1Y0","2012",30,84
"T0J1Y0","2013",47,93
"T0J1Y0","2014",58,88
"T0J1Y0","2015",84,99
"T0J1Y0","2016",118,106
"T0J1Y0","2017",81,89
"T0J1Y0","2018",67,96
"T0J1Y0","2019",98,97
"T0J1Y0","2020",139,107
"T0J1Y0","2021",15,14
"T0L0K0","2007",2,6
"T0L0K0","2008",2,22
"T0L0K0","2009",3,20
"T0L0K0","2010",3,7
"T0L0K0","2011",6,13
"T0L0K0","2012",11,62
"T0L0K0","2013",9,30
"T0L0K0","2014",9,32
"T0L0K0","2015",11,30
"T0L0K0","2016",13,45
"T0L0K0","2017",47,93
"T0L0K0","2018",13,47
"T0L0K0","2019",208,101
"T0L0K0","2020",131,98
"T0L0K0","2021",7,15
