"POSTALCODE","year","n_checklists","species_richness"
"T0A0K0","2010",3,16
"T0A0K0","2013",41,34
"T0A0K0","2014",32,40
"T0A0K0","2015",62,45
"T0A0K0","2016",144,64
"T0A0K0","2017",55,55
"T0A0K0","2018",18,77
"T0A0K0","2019",25,86
"T0A0K0","2020",27,87
"T0A0K0","2021",3,13
"T0A0K1","2010",4,23
"T0A0K1","2011",1,6
"T0A0K1","2013",3,15
"T0A0K1","2014",4,30
"T0A0K1","2015",6,28
"T0A0K1","2016",23,66
"T0A0K1","2017",12,38
"T0A0K1","2018",5,15
"T0A0K1","2019",1,9
"T0A0K1","2020",5,39
"T0A0K2","2010",4,22
"T0A0K2","2013",2,8
"T0A0K2","2015",9,36
"T0A0K2","2016",16,40
"T0A0K2","2017",2,24
"T0A0K2","2018",4,31
"T0A0K2","2019",6,35
"T0A0K2","2020",15,70
"T0A0K2","2021",3,6
"T0A0K3","2016",2,6
"T0A0K3","2019",3,25
"T0A0K3","2020",5,35
"T0A0K4","2010",4,10
"T0A0K4","2014",3,26
"T0A0K4","2016",6,5
"T0A0K4","2017",4,18
"T0A0K4","2018",7,59
"T0A0K4","2019",17,70
"T0A0K4","2020",9,51
"T0A0K4","2021",1,5
"T0A0K5","2010",2,9
"T0A0K5","2013",1,10
"T0A1N0","2007",1,4
"T0A1N0","2008",4,8
"T0A1N0","2009",12,17
"T0A1N0","2010",11,37
"T0A1N0","2012",2,19
"T0A1N0","2013",13,22
"T0A1N0","2014",8,12
"T0A1N0","2015",6,18
"T0A1N0","2016",9,55
"T0A1N0","2017",11,38
"T0A1N0","2018",1,2
"T0A1N0","2019",6,32
"T0A1N0","2020",3,10
"T0A1N0","2021",1,5
"T0A1N1","2011",1,11
"T0A1N1","2014",1,4
"T0A1N1","2016",6,30
"T0A1N1","2017",5,42
"T0A1N1","2018",4,33
"T0A1N1","2019",1,3
"T0A1N1","2020",1,10
"T0A1N2","2010",1,13
"T0A1N2","2018",1,3
"T0A1N3","2015",1,5
"T0A1N3","2016",3,15
"T0A1N3","2017",3,24
"T0A1N3","2018",1,16
"T0A1N3","2019",1,4
"T0A1N3","2020",8,56
"T0A1N3","2021",1,6
"T0A1N4","2010",7,23
"T0A1N4","2012",2,34
"T0A1N4","2013",5,27
"T0A1N4","2014",9,30
"T0A1N4","2015",7,26
"T0A1N4","2016",10,21
"T0A1N4","2017",6,37
"T0A1N4","2018",1,5
"T0A1N4","2019",5,29
"T0A1N4","2020",7,38
