"POSTALCODE","year","n_checklists","species_richness"
"L0P1J0","2009",1,23
"L0P1J0","2012",16,87
"L0P1J0","2013",14,80
"L0P1J0","2014",23,88
"L0P1J0","2015",49,81
"L0P1J0","2016",21,77
"L0P1J0","2017",14,61
"L0P1J0","2018",4,50
"L0P1J0","2019",8,43
"L0P1J0","2020",9,51
"L0P1J0","2021",4,12
"N0B1B0","2012",1,1
"N0B1B0","2013",49,44
"N0B1B0","2014",10,58
"N0B1B0","2015",15,54
"N0B1B0","2016",12,58
"N0B1B0","2017",15,56
"N0B1B0","2018",46,83
"N0B1B0","2019",34,98
"N0B1B0","2020",46,93
"N0B1B0","2021",11,28
"N0B1C0","2007",1,5
"N0B1C0","2008",1,4
"N0B1C0","2009",2,6
"N0B1C0","2010",4,36
"N0B1C0","2011",4,38
"N0B1C0","2012",63,116
"N0B1C0","2013",36,90
"N0B1C0","2014",55,94
"N0B1C0","2015",66,111
"N0B1C0","2016",44,92
"N0B1C0","2017",35,84
"N0B1C0","2018",31,87
"N0B1C0","2019",47,102
"N0B1C0","2020",62,114
"N0B1C0","2021",28,27
"N0B1M0","2012",2,6
"N0B1M0","2013",9,45
"N0B1M0","2014",5,37
"N0B1M0","2015",4,22
"N0B1M0","2016",5,38
"N0B1M0","2017",3,23
"N0B1M0","2018",2,17
"N0B1M0","2019",2,23
"N0B1M0","2020",137,50
"N0B1P0","2012",5,16
"N0B1P0","2013",4,18
"N0B1P0","2014",3,8
"N0B1P0","2015",1,13
"N0B1P0","2016",2,27
"N0B1P0","2017",20,46
"N0B1P0","2018",8,31
"N0B1P0","2019",7,42
"N0B1P0","2020",19,52
"N0B1P0","2021",7,23
"N0B2B0","2012",1,9
"N0B2B0","2013",2,4
"N0B2B0","2014",2,14
"N0B2B0","2015",1,20
"N0B2B0","2016",1,8
"N0B2B0","2017",1,10
"N0B2B0","2019",1,12
"N0B2B0","2020",1,2
"N0B2C0","2007",1,5
"N0B2C0","2009",1,14
"N0B2C0","2011",5,32
"N0B2C0","2012",31,87
"N0B2C0","2013",40,87
"N0B2C0","2014",25,82
"N0B2C0","2015",14,77
"N0B2C0","2016",22,60
"N0B2C0","2017",24,75
"N0B2C0","2018",33,83
"N0B2C0","2019",31,77
"N0B2C0","2020",28,57
"N0B2C0","2021",7,13
"N0B2J0","2007",17,92
"N0B2J0","2008",16,91
"N0B2J0","2009",33,141
"N0B2J0","2010",21,89
"N0B2J0","2011",64,141
"N0B2J0","2012",408,209
"N0B2J0","2013",310,177
"N0B2J0","2014",316,194
"N0B2J0","2015",419,179
"N0B2J0","2016",421,177
"N0B2J0","2017",363,179
"N0B2J0","2018",324,183
"N0B2J0","2019",412,181
"N0B2J0","2020",652,204
"N0B2J0","2021",130,58
"N0B2K0","2007",1,56
"N0B2K0","2008",1,3
"N0B2K0","2009",1,2
"N0B2K0","2010",2,38
"N0B2K0","2011",6,45
"N0B2K0","2012",23,52
"N0B2K0","2013",30,82
"N0B2K0","2014",155,136
"N0B2K0","2015",452,155
"N0B2K0","2016",386,141
