"POSTALCODE","year","n_checklists","species_richness"
"K0G1E0","2012",3,24
"K0G1E0","2013",2,2
"K0G1E0","2014",7,39
"K0G1E0","2015",13,65
"K0G1E0","2016",9,54
"K0G1E0","2017",19,83
"K0G1E0","2018",46,68
"K0G1E0","2019",40,75
"K0G1E0","2020",57,82
"K0G1E0","2021",8,19
"K0G1P0","2014",2,5
"K0G1P0","2018",1,10
"K0G1X0","2008",3,20
"K0G1X0","2009",1,1
"K0G1X0","2010",325,125
"K0G1X0","2011",325,127
"K0G1X0","2012",160,111
"K0G1X0","2013",38,79
"K0G1X0","2014",108,109
"K0G1X0","2015",32,77
"K0G1X0","2016",46,100
"K0G1X0","2017",326,129
"K0G1X0","2018",344,121
"K0G1X0","2019",395,134
"K0G1X0","2020",461,129
"K0G1X0","2021",81,37
"K0H1G0","2007",1,38
"K0H1G0","2008",2,24
"K0H1G0","2009",85,135
"K0H1G0","2010",11,74
"K0H1G0","2011",39,122
"K0H1G0","2012",76,110
"K0H1G0","2013",70,84
"K0H1G0","2014",113,148
"K0H1G0","2015",85,143
"K0H1G0","2016",206,147
"K0H1G0","2017",345,165
"K0H1G0","2018",235,154
"K0H1G0","2019",338,167
"K0H1G0","2020",520,184
"K0H1G0","2021",165,71
"K0H1H0","2009",1,1
"K0H1H0","2010",96,80
"K0H1H0","2011",118,96
"K0H1H0","2012",141,95
"K0H1H0","2013",31,66
"K0H1H0","2014",13,67
"K0H1H0","2015",45,131
"K0H1H0","2016",25,92
"K0H1H0","2017",15,81
"K0H1H0","2018",19,71
"K0H1H0","2019",33,106
"K0H1H0","2020",29,96
"K0H1H0","2021",6,18
"K0H1M0","2007",54,30
"K0H1M0","2008",59,45
"K0H1M0","2009",66,54
"K0H1M0","2010",66,43
"K0H1M0","2011",70,115
"K0H1M0","2012",108,66
"K0H1M0","2013",53,50
"K0H1M0","2014",342,138
"K0H1M0","2015",193,139
"K0H1M0","2016",128,116
"K0H1M0","2017",99,98
"K0H1M0","2018",38,89
"K0H1M0","2019",26,89
"K0H1M0","2020",79,119
"K0H1M0","2021",8,27
"K0H1S0","2007",1,7
"K0H1S0","2009",4,37
"K0H1S0","2010",6,34
"K0H1S0","2011",24,62
"K0H1S0","2012",21,35
"K0H1S0","2013",46,84
"K0H1S0","2014",134,110
"K0H1S0","2015",76,130
"K0H1S0","2016",50,139
"K0H1S0","2017",162,146
"K0H1S0","2018",112,139
"K0H1S0","2019",468,169
"K0H1S0","2020",798,177
"K0H1S0","2021",126,48
"K0H1T0","2007",125,106
"K0H1T0","2008",124,122
"K0H1T0","2009",119,119
"K0H1T0","2010",89,101
"K0H1T0","2011",118,134
"K0H1T0","2012",200,129
"K0H1T0","2013",204,130
"K0H1T0","2014",205,135
"K0H1T0","2015",239,144
"K0H1T0","2016",251,149
"K0H1T0","2017",221,152
"K0H1T0","2018",211,154
"K0H1T0","2019",191,140
"K0H1T0","2020",271,149
"K0H1T0","2021",2,5
"K0H1V0","2009",3,8
"K0H1V0","2010",1,20
"K0H1V0","2011",1,11
"K0H1V0","2012",30,59
"K0H1V0","2013",45,77
"K0H1V0","2014",88,94
"K0H1V0","2015",32,109
"K0H1V0","2016",41,93
"K0H1V0","2017",90,105
"K0H1V0","2018",64,115
"K0H1V0","2019",79,118
"K0H1V0","2020",122,132
"K0H1V0","2021",36,38
"K0H1W0","2008",22,89
"K0H1W0","2009",6,50
"K0H1W0","2010",5,46
"K0H1W0","2011",10,42
"K0H1W0","2012",17,90
"K0H1W0","2013",15,68
"K0H1W0","2014",21,80
"K0H1W0","2015",22,92
"K0H1W0","2016",28,93
"K0H1W0","2017",35,107
"K0H1W0","2018",49,103
"K0H1W0","2019",69,138
"K0H1W0","2020",96,117
"K0H1W0","2021",39,27
"K0H1X0","2009",1,19
"K0H1X0","2010",6,10
"K0H1X0","2011",29,32
"K0H1X0","2012",37,49
"K0H1X0","2013",38,58
"K0H1X0","2014",485,159
"K0H1X0","2015",343,163
"K0H1X0","2016",167,129
"K0H1X0","2017",39,105
