"POSTALCODE","year","n_checklists","species_richness"
"N0J1W0","2018",2,3
"N0L1A0","2017",1,6
"N0L1A0","2018",2,19
"N0L1A0","2019",2,5
"N0L1A0","2020",6,27
"N0L1B0","2007",2,35
"N0L1B0","2008",2,24
"N0L1B0","2010",3,18
"N0L1B0","2011",1,5
"N0L1B0","2013",1,2
"N0L1B0","2014",27,85
"N0L1B0","2015",46,60
"N0L1B0","2016",32,56
"N0L1B0","2017",13,81
"N0L1B0","2018",9,35
"N0L1B0","2019",11,29
"N0L1B0","2020",21,103
"N0L1B0","2021",9,20
"N0L1E0","2010",1,24
"N0L1E0","2011",1,21
"N0L1E0","2012",6,49
"N0L1E0","2013",9,62
"N0L1E0","2014",16,68
"N0L1E0","2015",20,69
"N0L1E0","2016",22,76
"N0L1E0","2017",36,97
"N0L1E0","2018",40,94
"N0L1E0","2019",13,56
"N0L1E0","2020",36,90
"N0L1E0","2021",19,48
"N0L1G1","2020",1,24
"N0L1G2","2007",1,9
"N0L1G2","2008",3,41
"N0L1G2","2009",3,47
"N0L1G2","2010",2,18
"N0L1G2","2011",1,11
"N0L1G2","2014",5,46
"N0L1G2","2015",8,53
"N0L1G2","2016",5,45
"N0L1G2","2017",2,34
"N0L1G2","2018",3,15
"N0L1G2","2019",8,51
"N0L1G2","2020",20,61
"N0L1G2","2021",13,15
"N0L1G3","2015",11,30
"N0L1G3","2016",2,21
"N0L1G3","2017",1,1
"N0L1G3","2018",8,10
"N0L1G3","2019",2,9
"N0L1G3","2020",6,15
"N0L1G3","2021",2,6
"N0L1G4","2013",3,22
"N0L1G4","2015",2,16
"N0L1G4","2016",1,9
"N0L1G4","2017",1,12
"N0L1G4","2018",3,18
"N0L1G4","2020",2,13
"N0L1G5","2007",2,21
"N0L1G5","2008",4,30
"N0L1G5","2010",3,15
"N0L1G5","2011",3,14
"N0L1G5","2012",3,9
"N0L1G5","2013",6,35
"N0L1G5","2014",13,54
"N0L1G5","2015",25,75
"N0L1G5","2016",7,51
"N0L1G5","2017",4,32
"N0L1G5","2018",5,15
"N0L1G5","2019",3,4
"N0L1G5","2020",32,80
"N0L1G5","2021",4,27
"N0L1G6","2007",5,53
"N0L1G6","2008",4,30
"N0L1G6","2009",1,6
"N0L1G6","2014",1,2
"N0L1G6","2015",2,17
"N0L1G6","2016",2,12
"N0L1G6","2018",4,29
"N0L1G6","2019",2,24
"N0L1G6","2020",1,5
"N0L1K0","2007",2,12
"N0L1K0","2008",1,23
"N0L1K0","2009",6,34
"N0L1K0","2010",4,26
"N0L1K0","2011",42,49
"N0L1K0","2012",74,77
"N0L1K0","2013",50,80
"N0L1K0","2014",16,61
"N0L1K0","2015",15,73
"N0L1K0","2016",20,86
"N0L1K0","2017",16,111
"N0L1K0","2018",30,123
"N0L1K0","2019",21,74
"N0L1K0","2020",41,86
"N0L1K0","2021",8,25
"N0L1M0","2012",1,24
"N0L1M0","2013",2,9
"N0L1M0","2014",2,44
"N0L1M0","2015",3,25
"N0L1M0","2016",4,33
"N0L1M0","2017",10,51
"N0L1M0","2018",8,44
"N0L1M0","2019",14,64
"N0L1M0","2020",22,55
"N0L1M0","2021",3,17
"N0L1N0","2015",1,14
"N0L1N0","2018",2,7
"N0L1N0","2019",2,3
"N0L1N0","2021",1,5
"N0L1P0","2011",2,3
"N0L1P0","2013",2,5
"N0L1P0","2014",2,33
"N0L1P0","2015",2,51
"N0L1P0","2017",2,10
"N0L1P0","2018",6,19
"N0L1P0","2019",5,26
"N0L1P0","2020",4,16
"N0L1P0","2021",1,12
"N0L1R0","2007",4,95
"N0L1R0","2008",8,67
"N0L1R0","2009",3,38
"N0L1R0","2010",2,20
"N0L1R0","2011",10,72
"N0L1R0","2012",30,76
"N0L1R0","2013",32,129
"N0L1R0","2014",49,115
"N0L1R0","2015",73,126
"N0L1R0","2016",111,128
"N0L1R0","2017",108,135
"N0L1R0","2018",194,163
"N0L1R0","2019",247,184
"N0L1R0","2020",387,188
"N0L1R0","2021",76,60
"N0L1T0","2008",2,10
"N0L1T0","2010",1,7
"N0L1T0","2015",42,123
"N0L1T0","2016",20,95
"N0L1T0","2017",18,59
"N0L1T0","2018",44,117
"N0L1T0","2019",16,53
"N0L1T0","2020",28,73
"N0L1T0","2021",1,7
"N0L1V0","2007",9,66
"N0L1V0","2008",22,100
"N0L1V0","2009",39,106
"N0L1V0","2010",63,127
"N0L1V0","2011",43,122
"N0L1V0","2012",27,109
"N0L1V0","2013",38,108
"N0L1V0","2014",62,142
"N0L1V0","2015",124,150
"N0L1V0","2016",67,129
"N0L1V0","2017",4,28
"N0L1V0","2018",9,46
"N0L1V0","2019",2,7
"N0L1V0","2020",9,59
"N0L1V0","2021",1,1
"N0L1W0","2007",4,28
"N0L1W0","2008",4,34
"N0L1W0","2009",4,46
"N0L1W0","2011",4,35
"N0L1W0","2012",2,10
"N0L1W0","2013",14,35
"N0L1W0","2014",9,37
"N0L1W0","2015",18,71
"N0L1W0","2016",28,58
"N0L1W0","2017",30,78
"N0L1W0","2018",90,110
"N0L1W0","2019",54,98
"N0L1W0","2020",127,98
"N0L1W0","2021",30,35
"N0L2B0","2009",1,7
"N0L2B0","2010",2,26
"N0L2B0","2011",2,6
"N0L2B0","2012",12,55
"N0L2B0","2013",12,66
"N0L2B0","2014",3,11
"N0L2B0","2015",7,50
"N0L2B0","2016",18,80
"N0L2B0","2017",3,12
"N0L2B0","2018",11,10
"N0L2B0","2019",10,52
"N0L2B0","2020",13,63
"N0L2B0","2021",1,1
"N0L2E0","2011",2,1
"N0L2E0","2012",3,33
"N0L2E0","2013",6,28
"N0L2E0","2014",5,23
"N0L2E0","2016",2,20
"N0L2E0","2017",4,41
"N0L2E0","2018",6,23
"N0L2E0","2019",5,12
"N0L2E0","2020",10,34
"N0L2G0","2007",1,10
"N0L2G0","2008",2,12
"N0L2G0","2011",4,10
"N0L2G0","2012",4,20
"N0L2G0","2013",21,70
"N0L2G0","2014",130,88
"N0L2G0","2015",78,66
"N0L2G0","2016",25,59
"N0L2G0","2017",15,65
"N0L2G0","2018",7,49
"N0L2G0","2019",11,37
"N0L2G0","2020",15,48
"N0L2G0","2021",1,3
"N0L2H0","2007",1,1
"N0L2H0","2008",2,36
"N0L2H0","2009",1,22
"N0L2H0","2010",35,84
"N0L2H0","2011",15,111
"N0L2H0","2012",2,45
"N0L2H0","2013",11,97
"N0L2H0","2014",19,120
"N0L2H0","2015",12,123
"N0L2H0","2016",27,118
"N0L2H0","2017",24,108
"N0L2H0","2018",53,132
"N0L2H0","2019",58,149
"N0L2H0","2020",219,167
"N0L2H0","2021",18,32
"N0L2J0","2014",1,1
"N0L2L0","2007",4,63
"N0L2L0","2008",9,80
"N0L2L0","2009",9,96
"N0L2L0","2010",20,98
"N0L2L0","2011",28,111
"N0L2L0","2012",30,135
"N0L2L0","2013",38,124
"N0L2L0","2014",51,140
"N0L2L0","2015",46,146
"N0L2L0","2016",89,145
"N0L2L0","2017",90,152
"N0L2L0","2018",112,156
"N0L2L0","2019",107,160
"N0L2L0","2020",150,178
"N0L2L0","2021",91,62
"N0M1B0","2019",1,2
"N0M1C0","2011",3,23
"N0M1C0","2012",4,59
"N0M1C0","2013",9,62
"N0M1C0","2014",17,31
"N0M1C0","2015",5,29
"N0M1C0","2016",17,71
"N0M1C0","2017",212,100
"N0M1C0","2018",241,125
"N0M1C0","2019",91,115
"N0M1C0","2020",131,122
"N0M1C0","2021",12,20
"N0M1P0","2012",12,48
"N0M1P0","2013",11,39
"N0M1P0","2014",18,32
"N0M1P0","2015",9,24
"N0M1P0","2016",1,2
"N0M1P0","2017",8,45
"N0M1P0","2018",15,35
"N0M1P0","2019",7,35
"N0M1P0","2020",14,58
"N0M1P0","2021",6,13
"N0M1V0","2015",1,1
"N0M1V0","2016",1,4
"N0M1V0","2019",1,2
"N0M1V0","2020",1,9
"N0M2A0","2008",1,1
"N0M2A0","2011",1,1
"N0M2A0","2012",25,48
"N0M2A0","2013",9,36
"N0M2A0","2014",20,56
"N0M2A0","2015",12,65
"N0M2A0","2016",57,118
"N0M2A0","2017",56,103
"N0M2A0","2018",54,96
"N0M2A0","2019",45,107
"N0M2A0","2020",75,111
"N0M2A0","2021",21,28
"N0M2B0","2007",1,6
"N0M2B0","2008",1,2
"N0M2B0","2009",1,5
"N0M2B0","2011",1,1
"N0M2B0","2012",2,9
"N0M2B0","2013",5,10
"N0M2B0","2014",6,25
"N0M2B0","2015",9,53
"N0M2B0","2016",3,18
"N0M2B0","2017",7,41
"N0M2B0","2018",8,34
"N0M2B0","2019",8,15
"N0M2B0","2020",12,44
"N0M2B0","2021",6,11
"N0M2J0","2012",1,25
"N0M2M0","2015",1,6
"N0M2M0","2019",1,5
"N0M2P0","2007",1,3
"N0M2P0","2008",2,31
"N0M2P0","2009",1,14
"N0M2P0","2010",1,5
"N0M2P0","2012",11,77
"N0M2P0","2013",59,77
"N0M2P0","2014",206,106
"N0M2P0","2015",152,111
"N0M2P0","2016",149,100
"N0M2P0","2017",109,85
"N0M2P0","2018",120,93
"N0M2P0","2019",122,113
"N0M2P0","2020",195,151
"N0M2P0","2021",29,38
"N0N1A0","2016",12,53
"N0N1A0","2017",1,10
"N0N1A0","2018",1,6
"N0N1A0","2019",2,16
"N0N1A0","2020",2,7
"N0N1A0","2021",1,11
"N4X1C6","2013",1,1
"N4X1C6","2014",3,23
"N4X1C6","2015",1,13
"N4X1C6","2017",1,3
"N4X1C6","2018",1,2
"N4X1C6","2019",4,25
"N4X1C6","2020",3,20
"N4X1C6","2021",3,12
"N4X1C7","2020",1,2
"N5C3J7","2014",3,19
"N5C3J7","2015",3,42
"N5C3J7","2016",1,19
"N5C3J7","2017",19,76
"N5C3J7","2018",2,54
"N5C3J7","2019",2,50
"N5C3J7","2020",3,17
"N5H2R4","2010",4,33
"N5H2R4","2011",2,67
"N5H2R4","2012",2,76
"N5H2R4","2013",10,104
"N5H2R4","2014",4,63
"N5H2R4","2017",7,34
"N5H2R4","2019",1,4
"N5H2R4","2020",6,71
"N5H2R4","2021",1,4
