"POSTALCODE","year","n_checklists","species_richness"
"E1A0A4","2021",3,5
"E1A0E5","2020",2,5
"E1A0E7","2017",8,9
"E1A0E7","2018",4,22
"E1A0E7","2019",4,24
"E1A0E7","2020",3,23
"E1A0H4","2014",1,15
"E1A0H4","2015",1,7
"E1A0K2","2017",3,3
"E1A0K2","2018",4,32
"E1A0K2","2019",2,14
"E1A0K2","2020",3,22
"E1A0M1","2018",1,36
"E1A0M1","2020",1,9
"E1A0M7","2020",3,9
"E1A0N7","2014",1,1
"E1A0R2","2012",1,2
"E1A0R2","2013",1,1
"E1A0T4","2013",2,13
"E1A0T4","2014",1,2
"E1A0T4","2018",2,6
"E1A0T4","2019",6,12
"E1A0V5","2016",1,11
"E1A0V5","2018",1,20
"E1A0V5","2019",2,24
"E1A0V5","2020",3,36
"E1A0W9","2020",2,6
"E1A1E1","2013",1,5
"E1A1E1","2016",2,13
"E1A1E1","2018",2,22
"E1A1E1","2021",1,6
"E1A1E2","2019",1,4
"E1A1E2","2020",1,9
"E1A1G1","2018",3,11
"E1A1G3","2019",1,14
"E1A1G5","2007",1,5
"E1A1G5","2013",1,1
"E1A1G5","2019",1,5
"E1A1M6","2017",5,5
"E1A1M6","2018",2,6
"E1A1M6","2021",1,7
"E1A1M7","2019",8,6
"E1A1M7","2020",1,3
"E1A1M8","2014",1,6
"E1A1N3","2007",2,6
"E1A1N3","2011",1,3
"E1A1N3","2012",1,14
"E1A1N3","2013",1,16
"E1A1N3","2015",1,6
"E1A1N3","2016",1,2
"E1A1N3","2017",24,38
"E1A1N3","2018",6,22
"E1A1N3","2019",6,31
"E1A1N3","2020",8,38
"E1A1N3","2021",2,7
"E1A1N4","2014",2,8
"E1A1N4","2016",1,1
"E1A1N4","2019",3,8
"E1A1N4","2020",1,5
"E1A1N4","2021",1,3
"E1A1P4","2016",1,10
"E1A1P4","2018",10,29
"E1A1P4","2019",7,22
"E1A1P4","2020",2,11
"E1A1R1","2016",2,1
"E1A1V2","2019",1,10
"E1A1V2","2020",1,14
"E1A1V9","2017",6,8
"E1A1V9","2018",3,9
"E1A1X2","2017",1,5
"E1A1X4","2019",1,4
"E1A1Z3","2018",2,12
"E1A1Z6","2018",1,4
"E1A2C7","2018",1,3
"E1A2E3","2012",1,23
"E1A2E3","2013",1,13
"E1A2E3","2019",1,3
"E1A2J1","2019",1,11
"E1A2J1","2020",1,17
"E1A2K3","2011",1,10
"E1A2R3","2014",15,21
"E1A2R3","2015",15,21
"E1A2R3","2016",1,11
"E1A2R3","2018",1,11
"E1A2R3","2019",2,7
"E1A2T4","2019",1,11
"E1A2T7","2015",1,12
"E1A2X4","2014",8,22
"E1A2X4","2015",7,17
"E1A2X4","2016",1,10
"E1A2X4","2018",3,20
"E1A2X4","2019",4,10
"E1A2X5","2016",3,5
"E1A2X5","2017",3,3
"E1A2X5","2019",1,2
"E1A3A2","2021",1,9
"E1A3A3","2020",1,4
"E1A3A3","2021",4,14
"E1A3A5","2020",1,8
"E1A3B1","2019",1,7
"E1A3C7","2019",1,8
"E1A3E2","2020",1,7
"E1A3E3","2019",1,6
"E1A3E3","2020",1,10
"E1A3E9","2011",1,16
"E1A3E9","2012",1,1
"E1A3E9","2014",2,22
"E1A3E9","2016",4,18
"E1A3E9","2017",16,31
"E1A3E9","2018",2,5
"E1A3E9","2019",11,35
"E1A3E9","2020",7,16
"E1A3H5","2018",4,26
"E1A3H5","2019",3,9
"E1A3H6","2018",1,1
"E1A3J3","2014",1,22
"E1A3K6","2012",1,4
"E1A3N4","2014",1,11
