"POSTALCODE","year","n_checklists","species_richness"
"L0A1B0","2011",3,16
"L0A1B0","2012",6,24
"L0A1B0","2014",2,2
"L0A1B0","2018",1,10
"L0A1B0","2019",1,3
"L0A1E0","2011",47,85
"L0A1E0","2012",51,73
"L0A1E0","2013",131,67
"L0A1E0","2014",16,40
"L0A1E0","2015",14,23
"L0A1E0","2016",23,59
"L0A1E0","2017",25,47
"L0A1E0","2018",36,66
"L0A1E0","2019",33,67
"L0A1E0","2020",33,74
"L0A1E0","2021",39,35
"L0A1J0","2011",5,10
"L0A1J0","2012",5,28
"L0A1J0","2013",14,29
"L0A1J0","2014",8,19
"L0A1J0","2015",2,13
"L0A1J0","2017",3,38
"L0A1J0","2018",7,28
"L0A1J0","2019",8,44
"L0A1J0","2020",9,50
"L0A1J0","2021",13,26
"L0A1K0","2011",8,38
"L0A1K0","2012",8,40
"L0A1K0","2013",9,27
"L0A1K0","2014",3,24
"L0A1K0","2015",3,11
"L0A1K0","2016",19,82
"L0A1K0","2017",6,46
"L0A1K0","2018",6,41
"L0A1K0","2019",15,78
"L0A1K0","2020",7,32
"L0A1K0","2021",1,4
"L0B1A0","2009",2,11
"L0B1A0","2012",7,31
"L0B1A0","2013",5,19
"L0B1A0","2014",8,17
"L0B1A0","2015",7,23
"L0B1A0","2016",8,32
"L0B1A0","2017",17,58
"L0B1A0","2018",15,40
"L0B1A0","2019",15,54
"L0B1A0","2020",5,10
"L0B1A0","2021",3,7
"L0B1B0","2011",9,29
"L0B1B0","2012",2,31
"L0B1B0","2013",9,30
"L0B1B0","2014",1,2
"L0B1B0","2015",2,3
"L0B1B0","2016",1,7
"L0B1B0","2017",3,30
"L0B1B0","2018",1,2
"L0B1B0","2019",6,40
"L0B1B0","2020",9,49
"L0B1B0","2021",2,9
"L0B1J0","2010",4,62
"L0B1J0","2011",26,83
"L0B1J0","2012",31,70
"L0B1J0","2013",80,92
"L0B1J0","2014",24,53
"L0B1J0","2015",42,100
"L0B1J0","2016",39,101
"L0B1J0","2017",66,94
"L0B1J0","2018",72,101
"L0B1J0","2019",57,113
"L0B1J0","2020",85,128
"L0B1J0","2021",28,34
"L0B1M0","2007",1,3
"L0B1M0","2009",1,1
"L0B1M0","2010",1,8
"L0B1M0","2011",29,94
"L0B1M0","2012",34,57
"L0B1M0","2013",69,68
"L0B1M0","2014",39,87
"L0B1M0","2015",31,93
"L0B1M0","2016",35,87
"L0B1M0","2017",42,80
"L0B1M0","2018",48,57
"L0B1M0","2019",56,99
"L0B1M0","2020",81,101
"L0B1M0","2021",46,43
"L1A3V5","2016",1,5
"L1A3V5","2018",1,21
"L1A3V5","2021",4,15
"L1A3V7","2012",1,2
"L1A3V7","2013",1,6
"L1A3V7","2015",2,6
"L1A3V7","2018",4,11
"L1A3V7","2021",1,1
"L1B0A3","2020",4,38
"L1B0A4","2016",1,26
"L1B0A5","2016",1,15
"L1B0A6","2012",1,2
"L1B0A6","2014",2,39
"L1B0A6","2017",1,48
"L1B0A6","2018",6,56
"L1B0A6","2019",10,82
"L1B0A6","2020",2,16
"L1B0B1","2019",1,23
"L1B0B1","2020",1,7
"L1B0E3","2013",11,21
"L1B0E3","2017",1,16
"L1B0E3","2020",1,5
"L1B0E3","2021",1,4
"L1B0E4","2010",1,1
"L1B0E4","2011",8,14
"L1B0E4","2012",1,1
"L1B0E4","2013",3,8
"L1B0E4","2017",3,10
"L1B0E4","2018",1,6
"L1B0E5","2019",1,2
"L1B0E6","2010",2,4
"L1B0E6","2011",1,3
"L1B0E6","2012",14,13
"L1B0E6","2014",1,1
"L1B0E6","2018",2,1
"L1B0E8","2012",2,4
"L1B0E8","2013",3,7
"L1B0E8","2014",3,5
"L1B0E8","2015",1,4
"L1B0E8","2016",1,2
"L1B0E8","2018",5,8
"L1B0E9","2014",1,1
"L1B0G1","2021",1,6
"L1B0G3","2013",1,9
"L1B0G4","2016",1,6
"L1B0G4","2018",1,3
"L1B0G4","2019",1,1
"L1B0G5","2013",2,5
"L1B0G9","2011",3,17
"L1B0G9","2012",2,4
"L1B0G9","2013",3,5
"L1B0G9","2014",9,43
"L1B0G9","2015",6,25
"L1B0G9","2016",1,4
"L1B0G9","2017",4,37
"L1B0G9","2018",4,20
"L1B0G9","2019",7,111
"L1B0G9","2020",7,53
"L1B0G9","2021",2,8
"L1B0H1","2009",1,17
"L1B0H1","2014",1,4
"L1B0H1","2015",2,8
"L1B0H1","2016",2,11
"L1B0H1","2017",1,2
"L1B0H1","2018",1,3
"L1B0H1","2019",1,10
"L1B0H1","2021",1,2
"L1B0H2","2016",1,33
"L1B0H2","2019",1,2
"L1B0H2","2020",1,7
"L1B0J6","2012",5,6
"L1B0J6","2013",16,9
"L1B0J6","2014",2,3
"L1B0J6","2016",2,4
"L1B0J6","2017",3,6
"L1B0J7","2013",1,1
"L1B0K1","2013",1,4
"L1B0K1","2016",1,1
"L1B0K2","2007",1,7
"L1B0K2","2010",1,5
"L1B0K2","2011",5,17
"L1B0K2","2012",3,21
"L1B0K2","2013",2,13
"L1B0K2","2014",3,35
"L1B0K2","2015",4,23
"L1B0K2","2017",2,20
"L1B0K2","2018",4,25
"L1B0K2","2019",2,15
"L1B0K2","2020",2,22
"L1B0K2","2021",1,8
"L1B0K3","2013",3,14
"L1B0K3","2014",2,10
"L1B0K3","2015",3,11
"L1B0K3","2018",2,16
"L1B0K3","2020",1,8
"L1B0L2","2013",1,1
"L1B0L6","2013",1,2
"L1B0L6","2018",2,7
"L1B0L6","2019",4,12
"L1B0L6","2020",1,5
"L1B0L6","2021",1,6
"L1B0L8","2021",1,9
"L1B0L9","2011",1,3
"L1B0L9","2013",3,3
"L1B0M1","2011",3,46
"L1B0M1","2012",3,28
"L1B0M1","2013",2,20
"L1B0M1","2014",3,39
"L1B0M1","2015",5,47
"L1B0M1","2016",18,68
"L1B0M1","2017",3,33
"L1B0M1","2018",9,85
"L1B0M1","2019",16,119
"L1B0M1","2020",73,137
"L1B0M1","2021",13,33
"L1B0M4","2020",1,3
"L1B0M5","2018",1,1
"L1B0M8","2017",1,25
"L1B0N1","2019",1,5
"L1B0N3","2012",1,2
"L1B0N3","2021",1,6
"L1B0N7","2013",1,4
"L1B0N8","2014",1,1
"L1B0P3","2014",1,17
"L1B0P5","2013",1,1
"L1B0P5","2018",1,13
"L1B0R1","2017",1,38
"L1B0R2","2019",1,11
"L1B0R2","2020",1,4
"L1B0R6","2012",2,2
"L1B0R6","2013",1,1
"L1B0R6","2014",1,3
"L1B0R7","2014",1,1
"L1B0R9","2019",1,4
"L1B0S1","2012",1,1
"L1B0S2","2013",1,1
"L1B0S5","2017",1,4
"L1B0S5","2021",1,4
"L1B0S6","2011",1,10
"L1B0S8","2017",3,26
"L1B0S9","2018",1,18
"L1B0T1","2011",5,15
"L1B0T1","2013",1,6
"L1B0T1","2014",2,3
"L1B0T1","2017",1,2
"L1B0T1","2018",2,4
"L1B0T1","2019",2,9
"L1B0T1","2021",1,1
"L1B0T3","2017",6,62
"L1B0T4","2017",8,58
"L1B0T4","2020",1,5
"L1B0T7","2013",1,2
"L1B0T7","2015",1,9
"L1B0T7","2019",1,5
"L1B0T7","2020",1,8
"L1B0T9","2013",1,13
"L1B0V2","2020",1,4
"L1B0V3","2017",3,37
"L1B0V3","2018",1,4
"L1B0V3","2020",2,17
"L1B0V3","2021",2,10
"L1B1A3","2014",1,8
"L1B1A3","2015",1,30
"L1B1A8","2017",1,27
"L1B1B9","2012",1,22
"L1B1B9","2015",1,13
"L1B1B9","2017",1,18
"L1B1B9","2018",1,3
"L1B1C2","2017",1,1
"L1B1C2","2018",1,1
"L1B1C2","2019",1,6
"L1B1C7","2020",1,3
"L1B1C8","2018",1,1
"L1B1C9","2020",6,13
"L1B1E2","2008",1,31
"L1B1E2","2019",3,9
"L1B1E3","2020",1,6
"L1B1E8","2020",2,2
"L1B1H7","2019",1,4
"L1B1K4","2008",1,24
"L1B1M4","2014",1,4
"L1B1M6","2020",4,28
"L1B1M7","2013",1,1
"L1B1N4","2016",1,10
"L1B1N4","2018",14,95
"L1B1N4","2019",5,59
"L1B1N4","2020",1,6
"L1B1N6","2020",3,15
"L1B1N8","2020",1,10
"L1B1P1","2020",1,8
"L1B1P5","2019",9,84
"L1B1P5","2020",1,15
"L1B1P5","2021",4,34
"L1B1P7","2013",2,7
"L1B1P7","2014",2,5
"L1B1R2","2018",1,55
"L1B1R2","2021",1,3
"L1C0J4","2013",1,40
"L1C0K5","2018",1,5
"L1C0K5","2019",2,7
"L1C0K5","2020",2,4
"L1C0K6","2014",1,1
"L1C0K6","2017",1,14
"L1C0L3","2019",10,14
"L1C0L3","2020",7,15
"L1C0N9","2019",2,13
"L1C0S2","2017",4,15
"L1C0S2","2018",13,28
"L1C0S2","2019",77,41
"L1C0S2","2020",154,51
"L1C0S2","2021",30,16
"L1C0T6","2021",1,1
"L1C0V1","2017",1,8
"L1C0V2","2016",1,7
"L1C0V2","2017",3,16
"L1C0V2","2018",9,27
"L1C0V2","2019",6,23
"L1C0V2","2020",6,30
"L1C0V2","2021",2,11
"L1C0W5","2013",56,57
"L1C0W5","2014",1,1
"L1C0W7","2010",1,6
"L1C0W7","2012",1,4
"L1C0W7","2019",2,9
"L1C0W7","2020",1,7
"L1C0Y1","2013",1,2
"L1C0Y7","2019",1,6
"L1C0Y7","2021",1,3
"L1C0Z1","2019",4,24
"L1C0Z1","2020",2,18
"L1C0Z2","2018",2,8
"L1C0Z2","2019",2,14
"L1C0Z2","2020",2,12
"L1C0Z3","2021",1,6
"L1C0Z6","2016",1,3
"L1C0Z6","2020",1,6
"L1C1A2","2018",1,12
"L1C1B5","2020",1,4
"L1C1C3","2017",1,10
"L1C1C3","2018",1,6
"L1C1C3","2019",3,16
"L1C1C3","2020",3,19
"L1C1C3","2021",6,10
"L1C1J3","2020",1,16
"L1C1J5","2018",1,18
"L1C1J9","2018",1,6
"L1C1J9","2020",1,20
"L1C1K4","2019",1,11
"L1C1K4","2021",2,4
"L1C1L9","2016",1,5
"L1C1L9","2017",1,8
"L1C1L9","2018",3,6
"L1C1L9","2019",2,6
"L1C1L9","2021",2,4
"L1C1M7","2012",1,7
"L1C1M7","2015",6,36
"L1C1M7","2016",4,27
"L1C1M7","2017",6,28
"L1C1M7","2018",2,30
"L1C1M7","2019",1,18
"L1C1P8","2018",1,3
"L1C1P8","2021",1,3
"L1C1R3","2020",1,4
"L1C1R5","2019",1,7
"L1C1R6","2019",1,9
"L1C1S1","2016",1,5
"L1C1S1","2018",4,18
"L1C1S1","2019",3,4
"L1C1S1","2020",4,18
"L1C1S1","2021",5,17
"L1C1S6","2017",1,9
"L1C1T4","2020",1,5
"L1C1T5","2013",1,1
"L1C1T6","2018",2,11
"L1C1T6","2019",135,29
"L1C1T6","2020",104,26
"L1C1T6","2021",9,12
"L1C1W1","2019",1,2
"L1C1X6","2019",1,4
"L1C1X7","2019",2,7
"L1C1X9","2019",1,1
"L1C2C9","2007",1,1
"L1C2E2","2017",1,20
"L1C2H9","2019",1,14
"L1C2H9","2020",1,21
"L1C2K8","2019",4,28
"L1C2K8","2021",1,5
"L1C2W4","2012",1,1
"L1C2W4","2018",2,3
"L1C2Z3","2013",1,1
"L1C3B4","2010",4,5
"L1C3J9","2020",2,21
"L1C3K6","2013",1,1
"L1C3K6","2017",1,19
"L1C3K6","2019",1,30
"L1C3L3","2020",1,13
"L1C3P9","2020",1,6
"L1C3R3","2020",1,14
"L1C3S8","2020",5,14
"L1C3T3","2013",1,8
"L1C3T3","2014",1,9
"L1C3T3","2018",2,21
"L1C3T3","2019",2,15
"L1C3T3","2020",14,56
"L1C3T3","2021",2,8
"L1C3Z4","2016",1,10
"L1C3Z4","2017",5,15
"L1C3Z4","2018",3,7
"L1C3Z4","2019",6,12
"L1C3Z4","2020",1,1
"L1C3Z4","2021",1,3
"L1C4B2","2013",3,12
"L1C4B2","2016",4,22
"L1C4B2","2017",6,31
"L1C4B2","2018",1,11
"L1C4B2","2019",14,54
"L1C4B2","2020",7,53
"L1C4B2","2021",1,6
"L1C4G4","2018",1,2
"L1C4H2","2013",1,1
"L1C4H2","2014",1,1
"L1C4H2","2018",1,7
"L1C4H2","2020",1,6
"L1C4H2","2021",1,10
"L1C4K4","2017",1,14
"L1C4K4","2018",1,9
"L1C4K4","2019",1,11
"L1C4M4","2021",1,10
"L1C4M5","2019",1,2
"L1C4M7","2013",1,13
"L1C4P8","2015",1,7
"L1C4P8","2016",1,6
"L1C4R3","2021",3,9
"L1C4R7","2018",1,19
"L1C4S4","2020",1,3
"L1C4T5","2019",3,8
"L1C4W4","2012",1,1
"L1C4W4","2016",1,2
"L1C4X8","2021",4,4
"L1C4Y4","2019",1,2
"L1C5A1","2015",1,8
"L1C5A3","2020",1,5
"L1C5A8","2017",1,13
"L1C5A8","2019",1,7
"L1C5A9","2012",2,5
"L1C5B1","2019",2,9
"L1C5B2","2015",2,17
"L1C5B2","2016",5,19
"L1C5B2","2017",16,22
"L1C5B2","2018",21,33
"L1C5B2","2019",3,7
"L1C5B2","2020",9,33
"L1C5B2","2021",9,19
"L1C5E1","2016",2,2
"L1C5E7","2016",1,14
"L1C5E7","2017",2,21
"L1C5E7","2018",2,15
"L1C5E7","2019",1,7
"L1C5E7","2020",1,8
"L1C5E7","2021",1,7
"L1C5G2","2015",1,2
"L1C5H1","2012",1,5
"L1C5H2","2017",1,7
"L1C5J6","2020",1,4
"L1C5M2","2011",1,13
"L1C5M2","2017",1,6
"L1C5M2","2019",1,5
"L1C5M2","2020",1,7
"L1C5M6","2020",3,5
"L1C5P4","2019",2,11
"L1C5P7","2017",1,7
"L1C5R8","2013",1,4
"L1C5S3","2012",1,4
"L1C5S3","2013",1,3
"L1C5S3","2019",1,16
"L1C5T6","2018",1,51
"L1C5T8","2021",1,1
"L1C5V5","2011",1,3
"L1C5V5","2012",2,6
"L1C5V5","2019",3,43
"L1C5V9","2011",1,20
"L1C5V9","2018",1,1
"L1C5V9","2019",1,1
"L1C5W2","2010",1,2
"L1C5W2","2011",1,5
"L1C5W2","2013",2,3
"L1C5W2","2014",1,11
"L1C5W2","2017",2,13
"L1C5W2","2018",1,3
"L1C5W2","2019",5,28
"L1C5W2","2020",1,3
"L1C5W2","2021",1,3
"L1C5W6","2014",1,3
"L1C5W6","2015",1,4
"L1C5W6","2018",1,5
"L1C5X3","2019",1,1
"L1C5X4","2013",2,3
"L1C5X8","2017",1,5
"L1C5Y1","2017",1,2
"L1C5Y1","2020",1,1
"L1C5Y6","2007",1,1
"L1C5Y6","2008",1,47
"L1C5Y6","2009",1,2
"L1C5Y6","2012",5,6
"L1C5Y6","2013",7,19
"L1C5Y7","2013",1,1
"L1C5Y7","2019",1,12
"L1C5Y8","2014",1,4
"L1C5Y8","2017",1,13
"L1C5Z2","2019",2,14
"L1C5Z2","2020",1,9
"L1C5Z4","2018",1,47
"L1C5Z7","2013",1,1
"L1C5Z7","2014",1,5
"L1C5Z8","2008",1,38
"L1C5Z8","2012",4,24
"L1C5Z8","2013",8,54
"L1C5Z8","2014",5,30
"L1C5Z8","2015",78,165
"L1C5Z8","2016",51,159
"L1C5Z8","2017",50,148
"L1C5Z8","2018",54,160
"L1C5Z8","2019",121,182
"L1C5Z8","2020",79,137
"L1C5Z8","2021",5,25
"L1C5Z9","2017",3,15
"L1C6A2","2011",1,23
"L1C6A2","2019",1,13
"L1C6A2","2020",1,15
"L1C6A2","2021",1,1
"L1C6A3","2011",2,19
"L1C6A3","2012",3,22
"L1C6A3","2013",1,4
"L1C6A3","2015",1,10
"L1C6A4","2019",1,8
"L1C6A5","2013",2,12
"L1C6A5","2014",1,10
"L1C6A5","2016",2,9
"L1C6A5","2017",2,11
"L1C6A5","2018",1,3
"L1C6A5","2019",1,4
"L1C6A5","2020",4,35
"L1C6A5","2021",1,11
"L1C6A6","2018",1,7
"L1C6A7","2011",1,25
"L1C6B3","2017",1,11
"L1C6B3","2020",3,51
"L1C6B4","2017",1,6
"L1C6B4","2019",2,13
"L1C6B7","2010",1,2
"L1C6B8","2015",1,14
"L1C6B8","2018",4,21
"L1C6B8","2019",12,58
"L1C6B8","2020",39,62
"L1C6C7","2021",1,5
"L1C6C8","2017",1,5
"L1C6E6","2019",2,15
"L1C6E6","2020",1,6
"L1C6E8","2015",1,19
"L1C6E8","2016",1,4
"L1C6G1","2019",1,3
"L1C6G1","2021",1,4
"L1C6G2","2015",1,3
"L1C6G3","2012",1,5
"L1C6G6","2016",1,1
"L1C6G6","2017",2,24
"L1C6G6","2018",3,9
"L1C6G6","2019",2,11
"L1C6G9","2016",4,7
"L1C6H3","2015",1,7
"L1C6H3","2016",20,47
"L1C6H3","2017",34,57
"L1C6H3","2018",15,29
"L1C6H3","2019",14,39
"L1C6H3","2020",6,29
"L1C6H4","2013",2,2
"L1C6H7","2013",1,1
"L1C6J1","2013",1,1
"L1C6J2","2016",1,2
"L1C6J4","2015",1,3
"L1C6J4","2019",1,1
"L1C6J6","2010",1,4
"L1C6K2","2013",1,9
"L1C6K4","2017",3,18
"L1C6K9","2012",1,3
"L1C6L4","2017",6,30
"L1C6L4","2019",1,7
"L1C6L5","2017",1,12
"L1C6L7","2020",3,28
"L1C6M9","2016",5,5
"L1C6M9","2017",6,13
"L1C6M9","2018",7,21
"L1C6M9","2019",1,3
"L1C6M9","2021",1,2
"L1C6N2","2018",1,29
"L1C6N3","2012",1,10
