"POSTALCODE","year","n_checklists","species_richness"
"J0X1A0","2007",33,102
"J0X1A0","2008",23,86
"J0X1A0","2009",18,64
"J0X1A0","2010",39,113
"J0X1A0","2011",61,88
"J0X1A0","2012",53,108
"J0X1A0","2013",47,80
"J0X1A0","2014",73,98
"J0X1A0","2015",58,88
"J0X1A0","2016",45,82
"J0X1A0","2017",53,87
"J0X1A0","2018",73,92
"J0X1A0","2019",87,101
"J0X1A0","2020",164,109
"J0X1A0","2021",21,19
"J0X1G0","2016",1,1
"J0X1G0","2020",1,3
"J0X1S0","2007",4,50
"J0X1S0","2010",2,3
"J0X1S0","2011",1,4
"J0X1S0","2013",3,5
"J0X1S0","2014",24,83
"J0X1S0","2015",26,78
"J0X1S0","2016",15,49
"J0X1S0","2017",2,47
"J0X1S0","2018",5,14
"J0X1S0","2019",2,9
"J0X1S0","2020",4,27
"J0X1T0","2007",2,23
"J0X1T0","2008",7,54
"J0X1T0","2009",2,40
"J0X1T0","2010",3,29
"J0X1T0","2012",3,59
"J0X1T0","2013",8,52
"J0X1T0","2014",6,21
"J0X1T0","2015",3,7
"J0X1T0","2017",6,18
"J0X1T0","2018",6,23
"J0X1T0","2020",17,55
"J0X1T0","2021",3,20
"J0X1Z0","2016",2,24
"J0X2A0","2007",2,61
"J0X2A0","2009",1,12
"J0X2A0","2012",7,93
"J0X2A0","2015",4,15
"J0X2A0","2016",2,11
"J0X2A0","2017",2,14
"J0X2A0","2018",1,5
"J0X2A0","2019",3,14
"J0X2A0","2020",5,44
"J0X2C0","2007",1,21
"J0X2C0","2008",2,14
"J0X2C0","2010",3,57
"J0X2C0","2012",1,42
"J0X2C0","2013",9,79
"J0X2C0","2014",1,11
"J0X2C0","2015",3,7
"J0X2C0","2016",3,36
"J0X2C0","2017",5,15
"J0X2C0","2018",5,17
"J0X2C0","2019",6,27
"J0X2C0","2020",7,26
"J0X2G0","2007",262,161
"J0X2G0","2008",207,145
"J0X2G0","2009",124,160
"J0X2G0","2010",88,145
"J0X2G0","2011",128,159
"J0X2G0","2012",158,152
"J0X2G0","2013",172,159
"J0X2G0","2014",200,156
"J0X2G0","2015",301,166
"J0X2G0","2016",332,166
"J0X2G0","2017",444,168
