"POSTALCODE","year","n_checklists","species_richness"
"K0L0A0","2012",1,1
"K0L0A0","2014",1,2
"K0L1B0","2009",1,2
"K0L1B0","2010",5,31
"K0L1B0","2011",6,30
"K0L1B0","2012",139,115
"K0L1B0","2013",88,98
"K0L1B0","2014",125,98
"K0L1B0","2015",153,119
"K0L1B0","2016",141,113
"K0L1B0","2017",112,111
"K0L1B0","2018",180,123
"K0L1B0","2019",253,154
"K0L1B0","2020",308,139
"K0L1B0","2021",235,60
"K0L1H0","2009",1,33
"K0L1H0","2011",1,2
"K0L1H0","2012",10,39
"K0L1H0","2013",17,83
"K0L1H0","2014",17,77
"K0L1H0","2015",10,57
"K0L1H0","2016",7,62
"K0L1H0","2017",6,47
"K0L1H0","2018",5,33
"K0L1H0","2019",5,40
"K0L1H0","2020",6,29
"K0L1H0","2021",9,13
"K0L1J0","2012",5,35
"K0L1J0","2013",4,32
"K0L1J0","2014",3,20
"K0L1J0","2015",12,51
"K0L1J0","2016",11,53
"K0L1J0","2017",5,37
"K0L1J0","2018",10,41
"K0L1J0","2019",9,50
"K0L1J0","2020",2,4
"K0L1R0","2012",5,17
"K0L1R0","2013",2,2
"K0L1R0","2018",1,3
"K0L1R0","2020",1,14
"K0L1R0","2021",1,2
"K0L1T0","2007",3,25
"K0L1T0","2008",2,26
"K0L1T0","2009",2,43
"K0L1T0","2010",4,16
"K0L1T0","2011",25,41
"K0L1T0","2012",47,110
"K0L1T0","2013",94,133
"K0L1T0","2014",85,123
"K0L1T0","2015",93,126
"K0L1T0","2016",150,134
"K0L1T0","2017",155,128
"K0L1T0","2018",133,126
"K0L1T0","2019",143,137
"K0L1T0","2020",331,157
"K0L1T0","2021",25,26
"K0L1V0","2008",2,7
"K0L1V0","2009",32,29
"K0L1V0","2010",1,1
"K0L1V0","2011",5,10
"K0L1V0","2012",99,106
"K0L1V0","2013",65,101
"K0L1V0","2014",103,86
"K0L1V0","2015",69,91
"K0L1V0","2016",118,100
"K0L1V0","2017",147,109
"K0L1V0","2018",205,127
"K0L1V0","2019",386,131
"K0L1V0","2020",563,153
"K0L1V0","2021",188,45
"K0L1Y0","2007",1,21
"K0L1Y0","2008",1,19
"K0L1Y0","2009",3,23
"K0L1Y0","2010",1,23
"K0L1Y0","2012",14,64
"K0L1Y0","2013",6,21
"K0L1Y0","2014",9,48
"K0L1Y0","2015",8,42
"K0L1Y0","2016",7,39
"K0L1Y0","2017",6,33
"K0L1Y0","2018",12,65
"K0L1Y0","2019",10,33
"K0L1Y0","2020",27,66
"K0L1Y0","2021",4,13
"K0L2B0","2009",8,43
"K0L2B0","2010",10,41
"K0L2B0","2011",21,98
"K0L2B0","2012",113,94
"K0L2B0","2013",114,91
"K0L2B0","2014",29,77
"K0L2B0","2015",23,99
"K0L2B0","2016",41,101
"K0L2B0","2017",55,97
"K0L2B0","2018",42,115
"K0L2B0","2019",54,124
"K0L2B0","2020",161,145
"K0L2B0","2021",37,32
"K0L2C0","2007",1,6
"K0L2C0","2009",1,1
"K0L2C0","2010",1,5
"K0L2C0","2011",2,14
"K0L2C0","2012",7,6
"K0L2C0","2013",5,14
"K0L2C0","2014",3,41
"K0L2C0","2015",2,20
"K0L2C0","2016",3,21
"K0L2C0","2017",4,19
"K0L2C0","2018",11,42
"K0L2C0","2019",14,48
"K0L2C0","2020",10,27
"K0L2G0","2007",3,42
"K0L2G0","2008",7,56
"K0L2G0","2009",16,66
"K0L2G0","2010",73,70
"K0L2G0","2011",127,87
"K0L2G0","2012",202,126
"K0L2G0","2013",122,111
"K0L2G0","2014",88,111
"K0L2G0","2015",33,99
"K0L2G0","2016",140,162
"K0L2G0","2017",109,141
"K0L2G0","2018",159,155
"K0L2G0","2019",536,173
"K0L2G0","2020",927,180
"K0L2G0","2021",186,47
"K0L2H0","2007",14,94
"K0L2H0","2008",25,116
"K0L2H0","2009",45,124
"K0L2H0","2010",46,120
"K0L2H0","2011",89,149
"K0L2H0","2012",728,182
"K0L2H0","2013",609,187
"K0L2H0","2014",647,186
"K0L2H0","2015",665,192
"K0L2H0","2016",782,184
"K0L2H0","2017",518,170
"K0L2H0","2018",603,191
"K0L2H0","2019",867,193
"K0L2H0","2020",1584,203
"K0L2H0","2021",433,56
"K0L2V0","2007",6,45
"K0L2V0","2008",2,17
"K0L2V0","2009",1,17
"K0L2V0","2010",3,10
"K0L2V0","2011",3,4
"K0L2V0","2012",17,43
"K0L2V0","2013",27,69
"K0L2V0","2014",23,76
"K0L2V0","2015",22,71
"K0L2V0","2016",120,99
"K0L2V0","2017",280,136
"K0L2V0","2018",339,131
"K0L2V0","2019",315,139
"K0L2V0","2020",556,168
"K0L2V0","2021",105,36
"K0L2W0","2012",2,5
"K0L2W0","2013",5,59
"K0L2W0","2014",9,69
"K0L2W0","2015",13,66
"K0L2W0","2016",12,83
"K0L2W0","2017",7,56
"K0L2W0","2018",10,70
"K0L2W0","2019",15,82
"K0L2W0","2020",34,90
"K0L2W0","2021",3,4
"K0L3A0","2007",3,29
"K0L3A0","2008",2,18
"K0L3A0","2009",1,4
"K0L3A0","2011",1,14
"K0L3A0","2012",18,59
"K0L3A0","2013",40,97
"K0L3A0","2014",31,77
"K0L3A0","2015",29,98
"K0L3A0","2016",26,79
"K0L3A0","2017",40,82
"K0L3A0","2018",17,58
"K0L3A0","2019",43,93
"K0L3A0","2020",81,118
"K0L3A0","2021",24,29
"K0L3B0","2013",2,14
"K0L3B0","2018",1,4
"K0L3B0","2019",1,3
"K0L3B0","2020",1,3
"K0L3B0","2021",1,3
"K0L3E0","2019",2,17
"K0L3E0","2020",1,7
"K0L3G0","2007",1,3
"K0L3G0","2009",1,1
"K0L3G0","2011",3,12
"K0L3G0","2012",9,14
"K0L3G0","2013",12,21
"K0L3G0","2014",13,28
"K0L3G0","2015",13,39
"K0L3G0","2016",6,19
"K0L3G0","2017",7,26
"K0L3G0","2018",11,40
"K0L3G0","2019",13,28
"K0L3G0","2020",11,23
"K0L3G0","2021",4,13
"K9H0A7","2015",3,60
"K9H0A7","2016",1,26
"K9H0A7","2017",4,42
"K9H0A7","2018",2,25
"K9H0A7","2021",1,11
"K9H0A9","2013",5,74
"K9H0A9","2014",3,46
"K9H0A9","2015",23,95
"K9H0A9","2016",25,77
"K9H0A9","2017",26,66
"K9H0A9","2018",32,81
"K9H0A9","2019",80,106
"K9H0A9","2020",94,96
"K9H0A9","2021",23,28
"K9H0B2","2014",3,15
"K9H0B2","2015",7,41
"K9H0B2","2016",8,46
"K9H0B2","2017",6,32
"K9H0B2","2018",9,47
"K9H0B2","2019",4,36
"K9H0B2","2020",64,75
"K9H0B2","2021",9,13
"K9H0B6","2014",24,64
"K9H0B6","2015",101,93
"K9H0B6","2016",180,101
"K9H0B6","2017",199,98
"K9H0B6","2018",149,93
"K9H0B6","2019",110,95
"K9H0B6","2020",178,113
"K9H0B6","2021",29,28
"K9H0B7","2019",22,62
"K9H0B7","2020",14,45
"K9H0B9","2019",1,5
"K9H0C1","2019",1,3
"K9H0C4","2018",2,17
"K9H0C6","2012",5,6
"K9H0C6","2013",5,17
"K9H0C6","2014",2,2
"K9H0C6","2020",1,7
"K9H0C7","2016",1,1
"K9H0C9","2015",1,6
"K9H0E1","2015",7,32
"K9H0E1","2016",19,63
"K9H0E1","2017",5,34
"K9H0E2","2011",1,2
"K9H0E2","2012",2,27
"K9H0E2","2013",7,9
"K9H0E2","2014",4,32
"K9H0E2","2015",11,63
"K9H0E2","2016",4,33
"K9H0E2","2017",5,35
"K9H0E2","2018",24,78
"K9H0E2","2019",13,87
"K9H0E2","2020",47,116
"K9H0E2","2021",24,29
"K9H0E3","2011",1,1
"K9H0E3","2012",2,2
"K9H0E3","2013",4,5
"K9H0E3","2014",13,30
"K9H0E3","2015",5,21
"K9H0E3","2016",2,3
"K9H0E3","2017",2,18
"K9H0E3","2018",2,34
"K9H0E3","2019",3,31
"K9H0E3","2020",6,13
"K9H0E3","2021",5,7
"K9H0E5","2013",1,23
"K9H0E5","2015",3,11
"K9H0E5","2016",3,16
"K9H0E5","2019",2,11
"K9H0E5","2020",3,38
"K9H0E9","2014",1,4
"K9H0E9","2017",1,11
"K9H0E9","2019",2,23
"K9H0G2","2012",4,4
"K9H0G2","2013",27,12
"K9H0G2","2014",1,2
"K9H0G2","2017",2,3
"K9H0G8","2019",2,6
"K9H0G9","2014",1,23
"K9H0G9","2018",2,15
"K9H0G9","2021",1,5
"K9H0H1","2007",1,5
"K9H0H1","2020",1,5
"K9H0H6","2015",1,1
"K9H0J1","2018",1,6
"K9H0J2","2018",3,28
"K9H0J3","2020",72,72
"K9H0J3","2021",22,27
"K9H0J5","2018",1,2
"K9H0J5","2021",1,1
"K9H0J7","2008",1,4
"K9H0J7","2017",1,4
"K9H0J7","2021",4,21
"K9H1A1","2015",1,7
"K9H1A1","2016",4,27
"K9H1A1","2017",4,18
"K9H1A1","2018",3,10
"K9H1A1","2019",2,16
"K9H1A2","2013",2,7
"K9H1A2","2017",2,28
"K9H1A2","2019",4,17
"K9H1A2","2020",1,10
"K9H1A2","2021",1,11
"K9H1A4","2019",1,11
"K9H1A8","2020",1,7
"K9H1B1","2013",1,11
"K9H1B1","2015",1,2
"K9H1B3","2014",1,1
"K9H1B3","2017",1,5
"K9H1B3","2018",5,25
"K9H1B3","2019",6,39
"K9H1B3","2020",5,18
"K9H1B3","2021",1,11
"K9H1B4","2019",1,11
"K9H1B5","2016",2,20
"K9H1B5","2017",1,16
"K9H1B5","2018",2,24
"K9H1B8","2013",12,34
"K9H1B8","2014",13,43
"K9H1B8","2015",31,56
"K9H1B8","2016",72,74
"K9H1B8","2017",83,67
"K9H1B8","2018",79,60
"K9H1B8","2019",119,85
"K9H1B8","2020",130,107
"K9H1B8","2021",92,35
"K9H1C1","2014",1,2
"K9H1C5","2013",1,2
"K9H1C5","2017",1,7
"K9H1C7","2016",2,23
"K9H1C7","2017",9,22
"K9H1C7","2019",2,9
"K9H1C8","2017",2,11
"K9H1C9","2013",1,8
"K9H1E2","2014",1,1
"K9H1E2","2017",17,8
"K9H1E3","2016",1,3
"K9H1E7","2018",15,8
"K9H1E7","2020",109,23
"K9H1E7","2021",1,2
"K9H1G2","2018",3,16
"K9H1G2","2019",10,31
"K9H1G2","2020",3,18
"K9H1G4","2008",1,1
"K9H1G4","2019",1,4
"K9H1G5","2018",2,9
"K9H1G5","2019",2,9
"K9H1G6","2014",3,9
"K9H1G6","2017",1,9
"K9H1G6","2020",1,20
"K9H1G7","2012",35,14
"K9H1G7","2013",37,16
"K9H1G7","2014",2,8
"K9H1G7","2017",3,4
"K9H1G7","2019",1,8
"K9H1G7","2020",1,5
"K9H1G7","2021",1,11
"K9H1G8","2021",1,4
"K9H1G9","2020",1,23
"K9H1H4","2014",1,21
"K9H1H4","2015",1,5
"K9H1H4","2016",1,5
"K9H1H4","2019",1,20
"K9H1H4","2020",2,9
"K9H1H5","2015",1,3
"K9H1H9","2020",1,13
"K9H1J1","2013",1,1
"K9H1J1","2020",1,3
"K9H1J6","2016",1,21
"K9H1J6","2020",1,14
"K9H1K1","2014",1,2
"K9H1K7","2013",1,1
"K9H1K7","2014",1,4
"K9H1K7","2019",1,2
"K9H1L8","2017",1,5
"K9H1M1","2013",1,1
"K9H1M1","2020",2,10
"K9H1M2","2017",1,6
"K9H1M8","2018",1,5
"K9H1N1","2021",1,6
"K9H1P1","2019",1,27
"K9H1P3","2017",1,10
"K9H1P3","2021",3,6
"K9H1P5","2020",2,8
"K9H1P7","2014",5,15
"K9H1P7","2018",6,14
"K9H1P7","2019",26,14
"K9H1P7","2020",48,25
"K9H1P7","2021",23,15
"K9H1P8","2014",1,1
"K9H1R1","2019",1,1
"K9H1R3","2017",1,4
"K9H1R3","2018",2,11
"K9H1R4","2020",1,4
"K9H1R6","2021",1,2
"K9H1R9","2018",3,3
"K9H1R9","2019",8,18
"K9H1S1","2018",2,6
"K9H1S3","2019",1,5
"K9H1S5","2015",11,36
"K9H1S5","2016",10,33
"K9H1S5","2017",10,34
"K9H1S5","2018",42,57
"K9H1S5","2019",43,56
"K9H1S5","2020",102,70
"K9H1S5","2021",13,25
"K9H1T1","2018",1,13
"K9H1T2","2018",1,3
"K9H1T4","2017",1,3
"K9H1T5","2012",10,27
"K9H1T5","2014",4,14
"K9H1T5","2015",3,14
"K9H1T5","2016",2,25
"K9H1T5","2017",6,16
"K9H1T5","2018",1,12
"K9H1T5","2019",2,18
"K9H1T5","2020",2,17
"K9H1T5","2021",7,22
"K9H1T6","2014",1,1
