"POSTALCODE","year","n_checklists","species_richness"
"J0A1G0","2014",1,21
"J0A1G0","2015",2,4
"J0A1G0","2016",1,45
"J0A1G0","2017",1,3
"J0A1G0","2020",6,19
"J0A1J0","2013",1,10
"J0A1J0","2016",1,2
"J0A1J0","2017",1,26
"J0B1A0","2011",3,19
"J0B1A0","2012",8,65
"J0B1A0","2013",2,41
"J0B1A0","2014",6,19
"J0B1A0","2015",7,22
"J0B1A0","2016",7,30
"J0B1A0","2017",11,49
"J0B1A0","2018",3,23
"J0B1A0","2019",3,21
"J0B1A0","2020",25,52
"J0B1L0","2007",1,3
"J0B1L0","2008",3,41
"J0B1L0","2009",6,17
"J0B1L0","2010",1,1
"J0B1L0","2011",2,67
"J0B1L0","2012",17,90
"J0B1L0","2013",37,99
"J0B1L0","2014",42,98
"J0B1L0","2015",41,93
"J0B1L0","2016",58,95
"J0B1L0","2017",49,109
"J0B1L0","2018",94,102
"J0B1L0","2019",55,120
"J0B1L0","2020",112,104
"J0B1L0","2021",94,34
"J0B1W0","2011",1,1
"J0B1W0","2013",1,1
"J0B1W0","2017",2,6
"J0B2A0","2018",1,5
"J0B2A0","2019",1,6
"J0B2A0","2020",1,1
"J0B2B0","2012",1,5
"J0B2B0","2013",8,37
"J0B2B0","2014",1,3
"J0B2B0","2015",1,8
"J0B2B0","2016",2,5
"J0B2B0","2018",2,9
"J0B2B0","2019",1,5
"J0B2B0","2020",3,33
"J0B2C0","2007",2,38
"J0B2C0","2008",2,33
"J0B2C0","2009",4,9
"J0B2C0","2010",4,32
"J0B2C0","2011",5,20
"J0B2C0","2012",12,30
"J0B2C0","2013",36,65
"J0B2C0","2014",59,108
"J0B2C0","2015",79,118
"J0B2C0","2016",87,114
"J0B2C0","2017",71,107
"J0B2C0","2018",103,122
"J0B2C0","2019",81,106
"J0B2C0","2020",167,126
"J0B2C0","2021",44,36
"J0B2P0","2008",2,5
"J0B2P0","2009",1,1
"J0B2P0","2011",5,16
"J0B2P0","2012",3,13
"J0B2P0","2013",9,29
"J0B2P0","2014",7,51
"J0B2P0","2016",11,41
"J0B2P0","2018",1,14
"J0B2P0","2019",6,20
"J0B2P0","2020",2,3
"J0B2V0","2007",1,1
"J0B2V0","2009",1,10
"J0B2V0","2011",2,53
"J0B2V0","2013",1,1
"J0B2V0","2014",1,3
"J0B2V0","2015",1,1
"J0B2V0","2019",1,2
"J0B3G0","2009",2,3
"J0B3G0","2010",2,9
"J0B3G0","2011",1,6
"J0B3G0","2012",10,67
"J0B3G0","2013",38,99
"J0B3G0","2014",21,108
"J0B3G0","2015",47,117
"J0B3G0","2016",26,85
"J0B3G0","2017",22,86
"J0B3G0","2018",17,83
"J0B3G0","2019",17,82
"J0B3G0","2020",91,115
"J0B3G0","2021",7,14
"J0B3H0","2007",1,12
"J0B3H0","2010",2,2
"J0B3H0","2011",2,17
"J0B3H0","2012",4,61
"J0B3H0","2013",13,74
"J0B3H0","2014",15,85
"J0B3H0","2015",14,83
"J0B3H0","2016",20,100
"J0B3H0","2017",32,82
"J0B3H0","2018",33,87
"J0B3H0","2019",43,116
"J0B3H0","2020",91,112
"J0B3H0","2021",21,31
"J0E1H0","2007",1,35
"J0E1H0","2014",1,3
"J0E1H0","2018",15,66
"J1C0A1","2018",1,4
"J1C0A3","2018",1,3
"J1C0A4","2015",2,8
"J1C0A4","2016",2,7
"J1C0A4","2018",1,7
"J1C0A4","2020",2,6
"J1C0A6","2020",1,27
"J1C0A7","2013",1,4
