"POSTALCODE","year","n_checklists","species_richness"
"P0T1K0","2010",1,9
"P0T1K0","2011",1,9
"P0T1K0","2012",2,13
"P0T1K0","2017",4,19
"P0T1K0","2018",3,17
"P0T1K0","2019",2,4
"P0T1K0","2020",7,39
"P0T1W0","2007",2,19
"P0T1W0","2010",1,3
"P0T1W0","2011",1,5
"P0T1W0","2012",4,9
"P0T1W0","2013",37,42
"P0T1W0","2014",33,73
"P0T1W0","2015",53,96
"P0T1W0","2016",28,94
"P0T1W0","2017",50,89
"P0T1W0","2018",18,86
"P0T1W0","2019",45,99
"P0T1W0","2020",28,89
"P0T1W0","2021",7,10
"P0T1X0","2009",1,6
"P0T1X0","2014",1,19
"P0T2G0","2013",3,20
"P0T2G0","2014",1,5
"P0T2G0","2015",5,22
"P0T2G0","2016",16,41
"P0T2G0","2017",16,40
"P0T2G0","2018",22,50
"P0T2G0","2019",33,50
"P0T2G0","2020",43,85
"P0T2G0","2021",5,15
"P0T2K0","2007",2,10
"P0T2K0","2009",3,46
"P0T2K0","2010",1,11
"P0T2K0","2011",2,21
"P0T2K0","2012",2,23
"P0T2K0","2013",9,39
"P0T2K0","2014",7,38
"P0T2K0","2015",9,43
"P0T2K0","2016",4,16
"P0T2K0","2017",14,50
"P0T2K0","2018",20,57
"P0T2K0","2019",17,68
"P0T2K0","2020",13,48
"P0T2K0","2021",1,8
"P0T2M0","2007",41,67
"P0T2M0","2008",64,76
"P0T2M0","2009",52,79
"P0T2M0","2010",38,48
"P0T2M0","2011",50,79
"P0T2M0","2012",134,74
"P0T2M0","2013",230,109
"P0T2M0","2014",275,120
"P0T2M0","2015",301,121
"P0T2M0","2016",87,78
"P0T2M0","2017",145,113
"P0T2M0","2018",159,106
"P0T2M0","2019",62,89
"P0T2M0","2020",71,108
"P0T2M0","2021",3,7
"P0T2V0","2009",1,3
"P0T2V0","2012",6,17
"P0T2V0","2013",1,10
"P0T2V0","2014",8,38
"P0T2V0","2015",10,22
"P0T2V0","2016",9,23
"P0T2V0","2017",20,52
"P0T2V0","2018",20,66
"P0T2V0","2019",14,26
"P0T2V0","2020",22,45
"P0T2V0","2021",2,5
"P7A0C2","2015",1,9
"P7A0E2","2020",2,6
"P7A0E6","2019",4,19
"P7A0E7","2019",1,9
"P7A0E7","2020",2,24
"P7A0E8","2013",2,9
"P7A0E8","2014",1,7
"P7A0E8","2015",1,2
"P7A0E8","2016",20,37
"P7A0E8","2017",33,76
"P7A0E8","2018",59,69
"P7A0E8","2019",51,69
"P7A0E8","2020",43,93
"P7A0E8","2021",5,9
"P7A0G5","2016",1,2
"P7A0G5","2017",2,7
"P7A0G5","2018",4,18
"P7A0G5","2019",7,40
"P7A0G5","2020",5,27
"P7A0J7","2016",1,12
"P7A0L4","2020",1,6
"P7A0M3","2014",1,1
"P7A0N1","2013",1,4
"P7A0N4","2012",1,6
"P7A0N5","2019",1,15
"P7A0P1","2020",1,1
"P7A0R5","2018",1,3
"P7A0R5","2020",1,1
"P7A0S6","2018",1,2
"P7A0S7","2021",7,5
"P7A0S8","2020",3,13
"P7A0S9","2012",1,4
"P7A0S9","2020",2,9
"P7A0T2","2018",2,5
"P7A0T2","2019",1,1
"P7A0T5","2014",1,24
"P7A0T5","2016",2,12
"P7A0T5","2018",1,12
"P7A0T5","2019",3,4
"P7A0T5","2020",4,15
"P7A0T6","2019",1,4
"P7A0T6","2020",9,36
"P7A0V6","2011",2,6
"P7A0V6","2012",1,4
"P7A0V6","2020",1,3
"P7A0V9","2017",5,12
"P7A0V9","2018",1,7
"P7A0W3","2018",1,2
"P7A0X8","2017",1,17
"P7A0Z3","2012",1,12
"P7A0Z3","2016",6,10
"P7A0Z3","2017",2,7
"P7A0Z3","2018",2,7
"P7A0Z3","2019",1,5
"P7A0Z3","2020",6,38
"P7A0Z5","2019",1,7
"P7A1A2","2017",7,11
"P7A1A2","2020",1,18
"P7A1A7","2010",1,4
"P7A1A7","2013",2,4
"P7A1A7","2016",3,10
"P7A1A7","2018",1,3
"P7A1B4","2019",1,4
"P7A1H8","2017",2,20
"P7A1K8","2015",1,12
"P7A1N2","2013",3,12
"P7A1R5","2013",1,9
"P7A1R6","2017",3,8
"P7A1R8","2018",1,12
"P7A1S1","2015",1,7
"P7A1S4","2012",1,19
"P7A1S4","2013",1,33
"P7A1S4","2014",1,8
"P7A1S4","2015",25,75
"P7A1S4","2016",12,51
"P7A1S4","2019",1,12
"P7A1S9","2013",1,14
"P7A1W4","2013",5,6
"P7A2A1","2020",1,3
"P7A2B9","2019",1,1
"P7A2C3","2018",1,22
"P7A2E5","2018",7,31
"P7A2E9","2019",1,13
"P7A2N6","2016",1,7
"P7A2P6","2018",3,1
"P7A2P6","2019",3,5
"P7A2R6","2013",3,20
"P7A3C9","2020",1,3
"P7A3G4","2014",1,9
"P7A3G4","2016",1,6
"P7A3G4","2020",1,3
"P7A3P4","2020",4,16
"P7A3P5","2020",20,22
"P7A3P5","2021",1,2
"P7A3P6","2020",1,2
"P7A4B3","2012",1,1
"P7A4B3","2018",1,3
"P7A4B3","2020",1,3
"P7A4C6","2019",2,11
"P7A4C6","2020",1,3
"P7A4G5","2017",1,4
"P7A4H1","2020",18,18
"P7A4H1","2021",14,13
"P7A4M1","2015",1,4
"P7A4M1","2016",1,2
"P7A4M6","2020",1,8
"P7A4P4","2016",1,2
"P7A4P4","2020",1,5
"P7A4T8","2019",1,3
"P7A4Z7","2015",1,6
"P7A5E6","2020",3,8
"P7A5G8","2021",1,8
"P7A5H3","2020",1,5
"P7A5H8","2020",1,10
"P7A5J3","2019",1,8
"P7A5J3","2020",1,4
"P7A5L3","2017",1,7
"P7A5L4","2014",1,3
"P7A5L4","2015",1,3
"P7A5L4","2016",2,6
"P7A5L4","2017",1,3
"P7A5L4","2018",2,4
"P7A5L4","2019",1,1
"P7A5L4","2020",3,10
"P7A5S7","2018",1,4
"P7A5Y9","2019",1,4
"P7A6C8","2014",1,2
"P7A6N3","2016",1,6
"P7A6N3","2018",1,5
"P7A6N8","2018",1,2
"P7A6P1","2019",1,5
"P7A6Y1","2020",1,7
"P7A7C6","2020",1,6
"P7A7E7","2020",2,2
"P7A7G4","2014",33,33
"P7A7G4","2015",55,38
"P7A7G4","2016",19,26
"P7A7G8","2016",2,2
"P7A7G8","2017",1,2
"P7A7G8","2021",1,4
"P7A7H9","2019",1,9
"P7A7L6","2013",1,28
"P7A7L6","2015",3,35
"P7A7L6","2016",6,44
"P7A7L6","2017",5,33
"P7A7L6","2018",3,19
"P7A7L6","2019",4,29
"P7A7L6","2020",3,23
"P7A7L7","2011",2,6
"P7A7N3","2018",1,6
"P7A7N4","2014",1,13
"P7A7N4","2016",9,26
"P7A7N4","2018",9,40
"P7A7N4","2019",4,25
"P7A7P2","2018",1,16
"P7A7R1","2014",1,15
"P7A7S1","2017",1,8
"P7A7S3","2017",2,14
"P7A7S3","2018",9,66
"P7A7S3","2019",21,66
"P7A7S3","2020",2,35
"P7A7S7","2017",1,5
"P7A7T5","2016",3,25
"P7A7T5","2017",1,8
"P7A7T6","2016",1,6
"P7A7T6","2021",1,2
"P7A7V5","2018",1,8
"P7A7V5","2021",1,3
"P7A7W7","2021",1,4
"P7A7Z5","2019",1,1
"P7A7Z9","2017",1,3
"P7A7Z9","2019",2,8
"P7A7Z9","2020",3,12
"P7A7Z9","2021",6,7
"P7A8A2","2018",1,6
"P7A8A2","2019",1,7
"P7A8A2","2020",3,6
"P7A8A2","2021",2,8
"P7A8B3","2021",1,5
"P7A8B4","2011",1,1
"P7A8B4","2013",1,4
"P7A8C4","2013",2,57
"P7A8C4","2015",1,3
"P7A8C4","2016",1,20
"P7A8C4","2018",3,40
"P7A8C4","2020",1,9
"P7A8C5","2013",5,9
"P7A8C6","2008",1,12
"P7A8C6","2013",2,22
"P7A8C6","2014",6,10
"P7A8C6","2015",1,3
"P7A8C6","2016",4,19
"P7A8C6","2017",16,59
"P7A8C6","2018",6,49
"P7A8C6","2019",3,19
"P7A8C6","2020",5,29
"P7B0A1","2014",1,1
"P7B0A1","2018",2,6
"P7B0A1","2019",2,3
"P7B0A2","2019",4,3
"P7B0A3","2012",1,13
"P7B0A3","2013",1,6
"P7B0A6","2014",1,1
"P7B0A6","2018",4,9
"P7B0E2","2018",2,8
"P7B1B3","2020",3,12
"P7B1E7","2014",1,1
"P7B1K2","2018",2,4
"P7B1K2","2019",2,2
"P7B1K2","2020",1,5
"P7B1K3","2019",1,3
"P7B1K6","2019",1,10
"P7B1K8","2020",1,5
"P7B1M1","2018",27,42
"P7B1M1","2019",42,47
"P7B1M2","2018",1,5
"P7B1M2","2019",2,10
"P7B1M3","2020",1,8
"P7B1N7","2019",2,9
"P7B2A4","2018",1,18
"P7B2G8","2017",1,7
"P7B2G8","2018",1,2
"P7B2H8","2015",2,14
"P7B2W3","2020",1,4
"P7B2Z6","2021",1,7
"P7B2Z8","2020",1,16
"P7B3A6","2015",1,1
"P7B3A6","2018",1,3
"P7B3A7","2014",1,4
"P7B3A7","2017",1,10
"P7B3A7","2020",2,5
"P7B3J1","2020",1,6
"P7B3K6","2019",15,19
"P7B3K6","2020",75,63
"P7B3K6","2021",11,14
"P7B3K7","2015",4,3
"P7B3K7","2021",1,6
"P7B3N7","2017",1,4
"P7B3N7","2020",1,7
"P7B3P2","2017",1,8
"P7B3P2","2020",7,33
"P7B3P3","2019",1,2
"P7B3P6","2016",43,23
"P7B3P6","2017",55,43
"P7B3P6","2018",45,35
"P7B3P6","2019",28,25
"P7B3P6","2020",18,35
"P7B3P6","2021",4,10
"P7B3V1","2011",4,18
"P7B3V1","2012",12,30
"P7B3V1","2013",17,46
"P7B3V1","2014",9,37
"P7B3V1","2015",21,47
"P7B3V1","2016",51,43
"P7B3V1","2017",74,58
"P7B3V1","2018",77,41
"P7B3V1","2019",103,49
"P7B3V1","2020",86,61
"P7B3V1","2021",15,19
"P7B3V2","2020",1,3
"P7B4A2","2014",1,8
"P7B4A2","2019",1,4
"P7B4B6","2009",1,17
"P7B4B6","2013",2,11
"P7B4C1","2012",1,1
"P7B4C1","2017",1,1
"P7B4C1","2020",1,2
"P7B4H8","2015",1,5
"P7B4J1","2015",1,6
"P7B4L9","2011",1,4
"P7B4M6","2020",1,1
"P7B4N1","2016",9,17
"P7B4T2","2020",5,12
"P7B4X1","2020",1,3
"P7B4X6","2013",1,2
"P7B4Z2","2019",1,2
"P7B5E1","2013",1,1
"P7B5E1","2014",1,2
"P7B5E1","2015",25,62
"P7B5E1","2016",7,32
"P7B5E1","2017",4,25
"P7B5E1","2018",1,6
"P7B5E1","2019",1,6
"P7B5E1","2020",3,5
"P7B5J2","2019",1,2
"P7B5J4","2017",2,9
"P7B5J4","2018",1,6
"P7B5L5","2018",2,11
"P7B5L5","2019",2,11
"P7B5L6","2016",1,3
"P7B5L6","2017",1,6
"P7B5M2","2020",2,2
"P7B5N3","2018",2,4
"P7B5P2","2018",1,2
"P7B5R6","2019",1,1
"P7B5V1","2015",1,2
"P7B5V1","2018",1,4
"P7B5V9","2017",7,30
"P7B5V9","2018",2,20
"P7B5V9","2019",3,21
"P7B5W3","2018",2,7
"P7B5W5","2015",7,42
"P7B5X5","2017",1,4
"P7B5Z5","2008",1,8
"P7B5Z5","2014",6,14
"P7B5Z5","2015",4,7
"P7B5Z5","2017",3,11
"P7B5Z5","2019",1,4
"P7B5Z5","2020",1,7
"P7B6B2","2018",1,8
"P7B6E5","2018",2,13
"P7B6E7","2018",1,3
"P7B6E8","2020",1,1
"P7B6G4","2018",1,22
"P7B6H3","2020",1,7
"P7B6K2","2016",1,3
"P7B6K2","2017",2,11
"P7B6K2","2018",2,5
"P7B6K2","2020",1,16
"P7B6K8","2020",3,40
"P7B6K8","2021",1,11
"P7B6L2","2020",1,11
"P7B6L4","2020",3,10
"P7B6L5","2020",1,32
"P7B6M1","2018",3,14
"P7B6M1","2019",3,17
"P7B6M9","2014",1,1
"P7B6P4","2020",1,6
"P7B6S2","2018",1,6
"P7B6S4","2016",3,4
"P7B6S4","2017",1,2
"P7B6S5","2020",1,3
"P7B6S6","2014",1,1
"P7B6S7","2017",1,15
"P7B6T2","2012",1,7
"P7B6T2","2013",1,11
"P7B6T2","2014",1,14
"P7B6T2","2015",1,15
"P7B6T2","2016",9,31
"P7B6T2","2017",4,33
"P7B6T2","2018",5,25
"P7B6T2","2019",3,15
"P7B6T2","2020",11,26
"P7B6T5","2017",1,3
"P7B6T5","2019",1,9
"P7B6V4","2016",2,13
"P7B6V4","2018",8,41
"P7B6V4","2019",5,25
"P7B6Z6","2017",1,22
"P7B7A4","2008",1,9
"P7B7A4","2013",1,20
"P7B7A4","2017",1,4
"P7B7A4","2019",1,2
"P7B7A4","2020",1,9
"P7B7A5","2012",1,1
"P7B7A5","2015",2,21
"P7B7A5","2016",2,8
"P7B7A5","2017",6,27
"P7B7A5","2018",5,27
"P7B7A5","2019",1,5
"P7B7A5","2020",1,20
"P7B7A6","2018",1,7
"P7B7A6","2019",1,7
"P7B7A6","2020",1,7
"P7B7B2","2017",1,5
"P7B7B2","2020",1,8
"P7B7B3","2014",6,9
"P7B7B3","2015",1,2
"P7B7B3","2019",1,2
"P7B7B5","2019",1,1
"P7B7B6","2018",1,11
"P7B7B8","2016",1,13
"P7B7B8","2018",1,3
"P7B7B8","2020",1,16
"P7B7C9","2016",1,3
"P7B7C9","2017",2,3
"P7B7C9","2018",1,7
"P7B7C9","2019",1,1
"P7C0A8","2008",2,5
"P7C0A8","2011",2,2
"P7C0A8","2012",4,28
"P7C0A8","2013",2,9
"P7C0A8","2014",8,27
"P7C0A8","2015",5,33
"P7C0A8","2016",3,17
"P7C0A8","2017",4,23
"P7C0B3","2016",1,22
"P7C0B8","2016",1,22
"P7C0B8","2018",2,17
"P7C0B8","2019",1,3
"P7C0B8","2020",2,7
"P7C1B5","2017",1,9
"P7C1M6","2013",13,20
"P7C1M6","2014",11,16
"P7C1M6","2015",1,4
"P7C1M6","2016",3,9
"P7C1M6","2017",2,8
"P7C1M6","2018",1,5
"P7C1P2","2014",1,1
"P7C1R7","2012",2,10
"P7C1R7","2014",2,24
"P7C1R7","2016",1,16
"P7C1R7","2018",1,8
"P7C1R7","2019",1,5
"P7C1R7","2020",3,18
"P7C1T4","2018",2,21
"P7C1T4","2019",1,8
"P7C1T4","2020",14,52
"P7C1T4","2021",6,15
"P7C2A2","2019",1,6
"P7C2B5","2021",1,3
"P7C2C4","2021",1,2
"P7C2L9","2020",3,2
"P7C2S6","2018",1,2
"P7C2S7","2018",1,6
"P7C2T3","2014",1,4
"P7C2T3","2015",3,18
"P7C2T3","2016",4,25
"P7C2T3","2018",1,7
"P7C2T3","2019",1,5
"P7C2V5","2019",1,4
"P7C2X5","2018",1,11
"P7C2X6","2016",1,5
"P7C2X8","2019",1,1
"P7C3A3","2009",1,37
"P7C3A3","2011",1,7
"P7C3G4","2013",1,1
"P7C3V1","2018",1,1
"P7C3X6","2018",1,2
"P7C4C7","2015",2,7
"P7C4L6","2016",1,2
"P7C5C7","2018",1,9
"P7C5C7","2019",1,7
"P7C5C8","2013",1,8
"P7C5C8","2016",1,11
"P7C5C8","2017",4,45
"P7C5C8","2018",1,19
"P7C5C8","2020",3,18
"P7C5H4","2014",2,3
"P7C5J8","2013",4,15
"P7C5J8","2014",1,5
"P7C5J8","2015",1,8
"P7C5J8","2016",1,6
"P7C5J8","2017",1,10
"P7C5J9","2020",1,12
"P7C5L5","2017",1,3
"P7C5M2","2018",54,25
"P7C5M2","2019",82,29
"P7C5M4","2016",1,2
"P7C5M5","2016",1,4
"P7C5R7","2015",1,8
"P7C5Z1","2015",1,12
"P7C5Z2","2018",1,5
"P7C6B8","2014",1,1
"P7C6B8","2015",2,11
"P7C6B8","2016",4,18
"P7C6B8","2017",4,11
"P7C6B8","2018",3,6
"P7C6B8","2019",4,11
"P7C6B8","2020",2,4
"P7E0A4","2009",1,25
"P7E0A4","2020",3,12
"P7E0A9","2018",1,11
"P7E0A9","2019",1,6
"P7E1K6","2013",1,7
"P7E1K9","2018",1,17
"P7E1R8","2018",1,5
"P7E1W2","2018",6,13
"P7E1W2","2019",1,3
"P7E1W7","2016",1,5
"P7E2C9","2020",2,7
"P7E2E4","2020",3,3
"P7E2K7","2013",1,8
"P7E2K7","2020",1,14
"P7E2M2","2020",3,13
"P7E2R5","2011",3,10
"P7E2R5","2012",10,21
"P7E2R5","2013",3,18
"P7E2R5","2016",1,5
"P7E2R5","2017",4,24
"P7E2R5","2018",3,12
"P7E2R5","2019",4,16
"P7E2R5","2020",43,40
"P7E2R5","2021",9,11
"P7E2S1","2013",1,8
"P7E2S7","2018",2,10
"P7E2S7","2019",6,18
"P7E2S7","2020",4,20
"P7E2S9","2018",1,4
"P7E2T1","2012",1,8
"P7E2T1","2017",1,10
"P7E2V5","2013",1,9
"P7E2V5","2018",2,9
"P7E2V5","2020",1,8
"P7E2V7","2019",1,3
"P7E2X4","2018",1,4
"P7E2Y5","2019",1,15
"P7E2Y7","2018",1,9
"P7E3L2","2017",2,12
"P7E3P3","2013",1,1
"P7E3P3","2015",2,3
"P7E3P7","2016",1,6
"P7E3P7","2017",3,7
"P7E3P7","2018",3,8
"P7E3P7","2019",1,3
"P7E3P7","2020",1,4
"P7E4A9","2020",1,4
"P7E4K7","2016",1,3
"P7E4L1","2013",1,4
"P7E4N6","2020",2,13
"P7E4R3","2019",1,12
"P7E4X4","2020",1,5
"P7E4X5","2017",1,5
"P7E5A7","2014",5,8
"P7E5A7","2015",10,18
"P7E5A7","2016",32,31
"P7E5A7","2017",10,23
"P7E5A7","2018",2,11
"P7E5A7","2019",1,4
"P7E5C2","2007",1,18
"P7E5C2","2009",2,19
"P7E5C6","2018",1,4
"P7E5E5","2015",1,4
"P7E5E5","2016",1,4
"P7E5E8","2015",1,3
"P7E5K7","2019",1,3
"P7E5K9","2020",1,6
"P7E5P1","2018",1,4
"P7E5P7","2016",1,4
"P7E5R5","2017",2,7
"P7E5R5","2018",1,2
"P7E5R5","2020",1,7
"P7E5R6","2017",2,11
"P7E5R7","2018",1,2
"P7E5R8","2014",1,2
"P7E5R8","2015",1,5
"P7E5V3","2020",1,4
"P7E5Y6","2019",1,3
"P7E6B6","2015",1,7
"P7E6B6","2018",2,4
"P7E6B6","2019",1,9
"P7E6B6","2020",1,13
"P7E6B8","2018",1,1
"P7E6C3","2018",2,14
"P7E6C3","2019",2,9
"P7E6C3","2021",1,5
"P7E6C7","2007",2,26
"P7E6C7","2009",3,61
"P7E6C7","2010",6,58
"P7E6C7","2011",8,42
"P7E6C7","2012",5,40
"P7E6C7","2013",36,92
"P7E6C7","2014",26,88
"P7E6C7","2015",32,91
"P7E6C7","2016",40,84
"P7E6C7","2017",56,102
"P7E6C7","2018",114,129
"P7E6C7","2019",130,135
"P7E6C7","2020",118,121
"P7E6C7","2021",2,5
"P7E6C8","2016",1,5
"P7E6E2","2017",1,15
"P7E6G8","2017",1,2
"P7E6G8","2018",1,3
"P7E6G8","2019",1,3
"P7E6G8","2021",1,1
"P7E6J1","2015",1,12
"P7E6J1","2016",1,7
"P7E6J1","2017",1,1
"P7E6J1","2018",2,4
"P7E6J1","2020",1,3
"P7E6J3","2013",1,1
"P7E6J3","2016",1,3
"P7E6J7","2017",1,4
"P7E6L7","2019",1,12
"P7E6M1","2013",1,10
"P7E6M1","2014",2,8
