"POSTALCODE","year","n_checklists","species_richness"
"L0B1A0","2007",1,4
"L0B1A0","2008",1,1
"L0B1A0","2010",4,53
"L0B1A0","2011",11,27
"L0B1A0","2012",22,54
"L0B1A0","2013",15,63
"L0B1A0","2014",8,32
"L0B1A0","2015",17,48
"L0B1A0","2016",4,14
"L0B1A0","2017",8,54
"L0B1A0","2018",15,56
"L0B1A0","2019",31,79
"L0B1A0","2020",12,39
"L0B1A0","2021",4,20
"L0C1A0","2007",15,39
"L0C1A0","2008",4,24
"L0C1A0","2009",30,79
"L0C1A0","2011",4,13
"L0C1A0","2013",3,9
"L0C1A0","2015",5,37
"L0C1A0","2016",7,68
"L0C1A0","2017",3,49
"L0C1A0","2018",6,65
"L0C1A0","2019",14,101
"L0C1A0","2020",50,126
"L0C1A0","2021",9,33
"L0C1C0","2015",1,4
"L0C1C0","2020",2,5
"L0C1E0","2015",1,6
"L0C1E0","2017",1,25
"L0C1E0","2018",1,8
"L0C1E0","2019",1,1
"L0C1E0","2020",4,17
"L0C1H0","2012",1,1
"L0C1H0","2015",3,9
"L0C1H0","2017",1,2
"L0C1H0","2018",1,5
"L0C1H0","2019",5,28
"L0C1H0","2020",16,81
"L0E1A0","2011",2,17
"L0E1A0","2012",1,1
"L0E1A0","2013",2,5
"L0E1A0","2014",1,26
"L0E1A0","2015",20,71
"L0E1A0","2016",8,56
"L0E1A0","2017",4,24
"L0E1A0","2018",1,15
"L0E1A0","2019",1,1
"L0E1A0","2020",20,32
"L0E1E0","2016",2,16
"L0E1E0","2017",6,34
"L0E1E0","2018",7,33
"L0E1E0","2019",7,36
"L0E1E0","2020",2,30
"L0E1L0","2008",1,1
"L0E1L0","2012",3,41
"L0E1L0","2013",6,37
"L0E1L0","2014",4,62
"L0E1L0","2015",11,83
"L0E1L0","2016",2,12
"L0E1L0","2017",15,45
"L0E1L0","2018",18,41
"L0E1L0","2019",20,52
"L0E1L0","2020",35,129
"L0E1L0","2021",8,24
"L0E1N0","2007",2,10
"L0E1N0","2008",1,1
"L0E1N0","2009",3,41
"L0E1N0","2010",5,14
"L0E1N0","2011",2,10
"L0E1N0","2012",9,19
"L0E1N0","2013",3,30
"L0E1N0","2014",6,33
"L0E1N0","2015",10,75
"L0E1N0","2016",27,104
"L0E1N0","2017",39,93
"L0E1N0","2018",49,120
"L0E1N0","2019",25,81
"L0E1N0","2020",37,101
"L0E1N0","2021",17,20
"L0E1R0","2007",1,20
"L0E1R0","2008",1,36
"L0E1R0","2009",3,24
"L0E1R0","2010",9,37
"L0E1R0","2011",3,32
"L0E1R0","2012",6,21
"L0E1R0","2013",5,31
"L0E1R0","2014",10,68
"L0E1R0","2015",8,65
"L0E1R0","2016",11,74
"L0E1R0","2017",23,107
"L0E1R0","2018",199,124
"L0E1R0","2019",333,139
"L0E1R0","2020",628,146
"L0E1R0","2021",24,30
"L0E1S0","2011",1,3
"L0E1S0","2012",2,2
"L0E1S0","2013",3,12
"L0E1S0","2014",2,33
"L0E1S0","2015",9,44
"L0E1S0","2017",21,65
"L0E1S0","2018",29,71
"L0E1S0","2019",14,35
"L0E1S0","2020",23,48
"L0E1S0","2021",40,24
"L0E1T0","2009",1,2
"L0E1T0","2010",3,7
"L0E1T0","2011",2,8
"L0E1T0","2012",2,2
"L0E1T0","2013",2,20
"L0E1T0","2017",3,41
"L0E1T0","2018",14,49
"L0E1T0","2019",3,16
"L0E1T0","2020",5,23
"L0G1A0","2007",1,5
"L0G1A0","2009",1,16
"L0G1A0","2010",2,5
"L0G1A0","2011",2,8
"L0G1A0","2012",11,38
"L0G1A0","2013",53,55
"L0G1A0","2014",62,83
"L0G1A0","2015",74,92
"L0G1A0","2016",57,98
"L0G1A0","2017",34,67
"L0G1A0","2018",74,92
"L0G1A0","2019",83,107
"L0G1A0","2020",76,101
"L0G1A0","2021",96,36
"L0G1B0","2013",2,20
"L0G1B0","2015",2,33
"L0G1B0","2016",1,3
"L0G1B0","2017",5,34
"L0G1B0","2018",7,43
"L0G1B0","2019",5,32
"L0G1B0","2020",6,50
"L0G1E0","2012",1,1
"L0G1E0","2013",6,39
"L0G1E0","2014",7,53
"L0G1E0","2015",10,71
"L0G1E0","2016",15,74
"L0G1E0","2017",34,84
"L0G1E0","2018",26,77
"L0G1E0","2019",22,79
"L0G1E0","2020",32,92
"L0G1E0","2021",6,10
"L0G1M0","2008",1,1
"L0G1M0","2009",3,7
"L0G1M0","2010",1,1
"L0G1M0","2011",4,7
"L0G1M0","2012",4,23
"L0G1M0","2013",15,55
"L0G1M0","2014",7,38
"L0G1M0","2015",36,77
"L0G1M0","2016",24,71
"L0G1M0","2017",30,70
"L0G1M0","2018",46,101
"L0G1M0","2019",49,77
"L0G1M0","2020",89,101
"L0G1M0","2021",15,25
"L0G1N0","2010",1,1
"L0G1N0","2013",1,1
"L0G1N0","2014",3,4
"L0G1N0","2015",11,29
"L0G1N0","2016",1,1
"L0G1N0","2017",3,48
"L0G1N0","2018",1,10
"L0G1N0","2019",6,28
"L0G1N0","2021",5,10
"L0G1R0","2008",3,13
"L0G1R0","2009",6,11
"L0G1R0","2010",7,25
