"POSTALCODE","year","n_checklists","species_richness"
"G0X1B0","2015",1,1
"G0X1B0","2017",1,17
"G0X1B0","2020",2,36
"G0X1C0","2007",1,8
"G0X1C0","2008",1,1
"G0X1C0","2009",1,2
"G0X1C0","2011",6,34
"G0X1C0","2013",13,89
"G0X1C0","2014",9,42
"G0X1C0","2015",4,12
"G0X1C0","2016",8,51
"G0X1C0","2017",12,61
"G0X1C0","2018",31,72
"G0X1C0","2019",14,45
"G0X1C0","2020",8,47
"G0X1C0","2021",1,7
"G0X2X0","2009",1,14
"G0X2X0","2012",2,21
"G0X2X0","2013",5,8
"G0X2X0","2014",7,13
"G0X2X0","2015",3,18
"G0X2X0","2017",1,1
"G0X2X0","2018",3,9
"G0X2X0","2019",8,15
"G0X2X0","2020",15,43
"G0X2X0","2021",4,11
"G0X3K0","2007",1,3
"G0X3K0","2010",1,16
"G0X3K0","2011",2,5
"G0X3K0","2012",2,6
"G0X3K0","2013",8,9
"G0X3K0","2014",7,11
"G0X3K0","2015",3,17
"G0X3K0","2016",9,39
"G0X3K0","2018",4,10
"G0X3K0","2019",5,17
"G0X3K0","2020",8,24
"G0X3K0","2021",2,8
"G0X3L0","2007",22,118
"G0X3L0","2008",26,114
"G0X3L0","2009",56,125
"G0X3L0","2010",30,126
"G0X3L0","2011",42,132
"G0X3L0","2012",31,122
"G0X3L0","2013",44,143
"G0X3L0","2014",417,189
"G0X3L0","2015",398,179
"G0X3L0","2016",709,204
"G0X3L0","2017",627,203
"G0X3L0","2018",835,203
"G0X3L0","2019",865,193
"G0X3L0","2020",1089,206
"G0X3L0","2021",32,31
"G8T1C3","2012",1,4
"G8T1E5","2016",1,4
"G8T1N3","2020",1,1
"G8T1P8","2020",11,17
"G8T1P8","2021",8,15
"G8T2A5","2016",1,2
"G8T2A5","2020",1,1
"G8T2J1","2007",5,27
"G8T2J1","2008",5,24
"G8T2J1","2016",7,38
"G8T2J1","2017",4,17
"G8T2J1","2018",1,8
"G8T2J1","2019",6,33
"G8T2J1","2020",5,26
"G8T2R4","2015",1,11
"G8T2Z5","2013",2,3
"G8T4B7","2015",1,5
"G8T4B7","2016",3,5
"G8T4B7","2018",1,2
"G8T4B7","2019",1,8
"G8T4B7","2020",1,6
"G8T4C7","2016",1,1
"G8T4G8","2008",1,2
"G8T4G8","2009",3,15
"G8T4G8","2015",1,10
"G8T4G8","2017",1,4
"G8T4G8","2019",9,43
"G8T4G8","2020",2,12
"G8T4G9","2020",1,7
"G8T4L8","2017",1,1
"G8T4M6","2014",2,5
"G8T4M7","2015",2,5
"G8T4M7","2017",1,1
