"POSTALCODE","year","n_checklists","species_richness"
"V0R2L0","2007",6,44
"V0R2L0","2008",10,53
"V0R2L0","2009",12,75
"V0R2L0","2010",35,74
"V0R2L0","2011",76,105
"V0R2L0","2012",50,93
"V0R2L0","2013",70,108
"V0R2L0","2014",67,105
"V0R2L0","2015",107,110
"V0R2L0","2016",134,120
"V0R2L0","2017",183,125
"V0R2L0","2018",215,124
"V0R2L0","2019",190,138
"V0R2L0","2020",250,134
"V0R2L0","2021",64,67
"V0R2N0","2019",1,11
"V8L0A1","2017",11,23
"V8L0A3","2015",1,4
"V8L0C5","2019",1,8
"V8L0C5","2020",2,3
"V8L1A2","2020",1,18
"V8L1A6","2017",1,14
"V8L1A6","2018",1,8
"V8L1A6","2019",1,8
"V8L1B3","2017",1,28
"V8L1B8","2020",1,20
"V8L1B9","2020",9,7
"V8L1C3","2012",1,1
"V8L1E1","2020",2,16
"V8L1E3","2017",2,13
"V8L1E8","2020",1,3
"V8L1G6","2015",1,29
"V8L1G6","2018",1,19
"V8L1G6","2019",1,9
"V8L1G6","2020",1,22
"V8L1G9","2016",1,6
"V8L1G9","2017",1,10
"V8L1G9","2019",2,19
"V8L1G9","2021",1,2
"V8L1H3","2017",5,17
"V8L1H5","2018",1,8
"V8L1H5","2019",1,5
"V8L1J3","2015",3,16
"V8L1J4","2007",1,9
"V8L1J5","2015",1,17
"V8L1J5","2016",1,20
"V8L1J5","2017",1,15
"V8L1J5","2018",1,5
"V8L1J5","2019",1,8
"V8L1J7","2013",1,24
"V8L1K2","2020",1,1
"V8L1K3","2019",2,34
"V8L1K3","2020",2,17
"V8L1K6","2018",1,3
"V8L1K6","2019",1,17
"V8L1L6","2021",2,11
"V8L1M4","2014",1,7
"V8L1M5","2015",1,7
"V8L1M5","2019",3,30
"V8L1M5","2021",1,14
"V8L1M6","2019",1,34
"V8L1M7","2016",1,1
"V8L1M7","2017",1,9
"V8L1M7","2018",1,2
"V8L1M7","2020",1,2
"V8L1M7","2021",1,1
"V8L1M8","2014",1,25
"V8L1M9","2015",1,5
"V8L1M9","2016",3,24
"V8L1M9","2017",1,7
"V8L1N1","2010",3,12
"V8L1N1","2011",1,42
"V8L1N1","2014",3,43
"V8L1N1","2015",4,30
"V8L1N1","2016",6,39
"V8L1N1","2017",2,41
"V8L1N1","2018",10,52
"V8L1N1","2019",18,69
"V8L1N1","2020",33,80
"V8L1N1","2021",6,27
"V8L1N5","2012",1,26
"V8L1N5","2015",2,25
"V8L1N5","2016",3,10
"V8L1N5","2017",10,42
"V8L1N5","2018",48,75
"V8L1N5","2019",37,65
"V8L1N5","2020",52,86
"V8L1N5","2021",11,40
"V8L1N7","2020",2,4
"V8L1N8","2017",1,9
"V8L1P1","2007",1,29
"V8L1T3","2007",1,3
"V8L1T3","2008",1,1
"V8L1T3","2009",1,4
"V8L1T3","2011",1,16
"V8L1T3","2012",1,6
"V8L1T3","2013",1,3
"V8L1T3","2014",3,9
"V8L1T3","2015",1,6
"V8L1T3","2016",5,27
"V8L1T3","2017",6,31
"V8L1T3","2018",3,13
"V8L1T3","2019",8,32
"V8L1T3","2020",5,27
"V8L1T3","2021",1,12
"V8L1V9","2018",1,32
"V8L1V9","2020",1,21
"V8L1V9","2021",1,15
"V8L1W1","2013",1,5
"V8L1W1","2015",1,6
"V8L1W9","2015",1,8
"V8L1W9","2018",1,1
"V8L1X1","2020",2,6
"V8L1X2","2012",1,3
"V8L1X2","2017",1,8
