"POSTALCODE","year","n_checklists","species_richness"
"N0P1J0","2007",3,57
"N0P1J0","2008",2,22
"N0P1J0","2009",1,16
"N0P1J0","2010",1,1
"N0P1J0","2011",5,70
"N0P1J0","2012",6,37
"N0P1J0","2013",7,33
"N0P1J0","2014",10,55
"N0P1J0","2015",9,76
"N0P1J0","2016",18,84
"N0P1J0","2017",25,96
"N0P1J0","2018",12,65
"N0P1J0","2019",17,81
"N0P1J0","2020",137,150
"N0P1J0","2021",12,33
"N0P2J0","2012",1,3
"N0P2J0","2014",4,20
"N0P2J0","2019",8,19
"N0P2J0","2020",5,16
"N0P2L0","2007",16,49
"N0P2L0","2008",2,5
"N0P2L0","2009",7,58
"N0P2L0","2010",18,57
"N0P2L0","2011",40,107
"N0P2L0","2012",37,116
"N0P2L0","2013",47,113
"N0P2L0","2014",47,95
"N0P2L0","2015",21,75
"N0P2L0","2016",44,102
"N0P2L0","2017",95,118
"N0P2L0","2018",46,130
"N0P2L0","2019",61,115
"N0P2L0","2020",71,122
"N0P2L0","2021",29,57
"N0P2P0","2011",3,26
"N0P2P0","2012",2,5
"N0P2P0","2013",1,1
"N0P2P0","2014",2,13
"N0P2P0","2017",2,8
"N0P2P0","2018",2,7
"N0P2P0","2020",2,15
"N0P2P0","2021",2,7
"N0R0A8","2017",4,16
"N0R0A8","2020",1,10
"N0R1A0","2008",2,51
"N0R1A0","2012",6,16
"N0R1A0","2013",10,80
"N0R1A0","2014",26,54
"N0R1A0","2015",15,75
"N0R1A0","2016",16,69
"N0R1A0","2017",52,79
"N0R1A0","2018",36,73
"N0R1A0","2019",40,81
"N0R1A0","2020",131,117
"N0R1A0","2021",40,39
"N0R1A7","2020",1,1
"N0R1C0","2013",1,8
"N0R1C0","2014",1,7
"N0R1C0","2019",2,15
"N0R1G0","2007",3,38
"N0R1G0","2008",4,61
"N0R1G0","2009",5,84
"N0R1G0","2010",2,67
"N0R1G0","2011",1,1
"N0R1G0","2012",11,71
"N0R1G0","2013",6,62
"N0R1G0","2014",29,127
"N0R1G0","2015",23,138
"N0R1G0","2016",45,136
"N0R1G0","2017",64,152
"N0R1G0","2018",64,155
"N0R1G0","2019",74,172
"N0R1G0","2020",224,202
"N0R1G0","2021",11,48
"N0R1J0","2007",7,101
"N0R1J0","2008",15,114
"N0R1J0","2009",53,189
"N0R1J0","2010",101,186
"N0R1J0","2011",158,192
"N0R1J0","2012",94,196
"N0R1J0","2013",86,182
"N0R1J0","2014",102,187
"N0R1J0","2015",137,189
"N0R1J0","2016",244,206
"N0R1J0","2017",395,223
"N0R1J0","2018",321,202
"N0R1J0","2019",314,218
"N0R1J0","2020",509,224
"N0R1J0","2021",35,69
"N0R1K0","2007",2,16
"N0R1K0","2009",8,37
"N0R1K0","2010",13,47
"N0R1K0","2011",12,23
"N0R1K0","2012",8,35
"N0R1K0","2013",15,23
"N0R1K0","2014",12,39
"N0R1K0","2015",4,17
"N0R1K0","2016",5,35
"N0R1K0","2017",38,77
"N0R1K0","2018",33,74
"N0R1K0","2019",28,73
"N0R1K0","2020",20,76
"N0R1K0","2021",23,27
"N0R1L0","2011",2,3
"N0R1L0","2012",1,4
"N0R1L0","2013",1,1
"N0R1L0","2014",1,25
"N0R1L0","2016",1,6
"N0R1L0","2017",2,10
"N0R1L0","2018",6,35
"N0R1L0","2019",7,39
"N0R1L0","2020",2,19
"N0R1L0","2021",1,5
"N0R1N0","2007",2,23
"N0R1N0","2008",2,35
"N0R1N0","2009",4,46
"N0R1N0","2010",13,115
"N0R1N0","2011",10,60
"N0R1N0","2012",21,102
"N0R1N0","2013",26,101
"N0R1N0","2014",26,98
"N0R1N0","2015",21,88
"N0R1N0","2016",55,108
"N0R1N0","2017",80,125
"N0R1N0","2018",61,130
"N0R1N0","2019",36,90
"N0R1N0","2020",100,155
"N0R1N0","2021",9,16
"N0R1R0","2011",1,1
"N0R1R0","2013",5,8
"N0R1R0","2014",2,22
"N0R1R0","2015",3,30
"N0R1R0","2017",2,3
"N0R1R0","2020",2,9
"N0R1R0","2021",6,8
"N0R1S0","2008",1,13
"N0R1S0","2009",2,19
"N0R1S0","2010",13,68
"N0R1S0","2011",1,2
"N0R1S0","2012",4,33
"N0R1S0","2013",2,12
"N0R1S0","2014",3,43
"N0R1S0","2016",7,46
"N0R1S0","2017",7,56
"N0R1S0","2018",10,64
"N0R1S0","2019",10,62
"N0R1S0","2020",45,111
"N0R1S0","2021",6,22
"N0R1V0","2007",1,6
"N0R1V0","2008",1,9
"N0R1V0","2011",2,2
"N0R1V0","2012",2,17
"N0R1V0","2013",11,39
"N0R1V0","2014",6,31
"N0R1V0","2015",6,51
"N0R1V0","2016",2,21
"N0R1V0","2017",6,29
"N0R1V0","2018",3,5
"N0R1V0","2019",7,39
"N0R1V0","2020",21,61
"N0R1V0","2021",3,15
"N8M0A4","2012",4,36
"N8M0A4","2015",1,32
"N8M0A4","2020",7,68
"N8M2X5","2018",1,4
"N8M2X5","2020",3,29
"N8M2X5","2021",1,7
"N8M2X6","2013",1,2
"N8M2X6","2014",1,12
"N8M2X6","2018",7,3
"N8M2X7","2007",2,29
"N8M2X7","2010",6,20
