"POSTALCODE","year","n_checklists","species_richness"
"R0A0B5","2019",2,16
"R0A0B5","2020",2,16
"R0A0T1","2008",1,1
"R0A0T1","2009",2,4
"R0A0T1","2010",3,3
"R0A0T1","2011",1,1
"R0A0T1","2012",8,20
"R0A0T1","2013",1,1
"R0A0T1","2014",8,12
"R0A0T1","2015",1,5
"R0A0T1","2016",3,8
"R0A0T1","2017",1,6
"R0A0T1","2018",5,13
"R0A0T1","2019",4,26
"R0A0T1","2020",3,9
"R0A0T2","2011",1,8
"R0A0T2","2012",4,26
"R0A0T2","2018",1,21
"R0A0T2","2019",1,11
"R0A0T3","2011",2,3
"R0A0T3","2012",1,5
"R0A0T3","2020",2,7
"R0A0T4","2010",1,6
"R0A0T4","2012",6,28
"R0A0T4","2013",1,6
"R0A0T4","2017",1,3
"R0A0T4","2019",5,19
"R0A0T4","2020",10,40
"R0A0T4","2021",3,7
"R0A0X0","2007",1,1
"R0A0X0","2010",2,10
"R0A0X0","2011",20,18
"R0A0X0","2012",7,25
"R0A0X0","2013",3,12
"R0A0X0","2014",1,7
"R0A0X0","2015",1,4
"R0A0X0","2016",1,4
"R0A0X0","2017",1,8
"R0A0X0","2019",4,30
"R0A0X0","2020",4,31
"R0A0X0","2021",2,14
"R0A0X1","2010",3,8
"R0A0X1","2011",9,12
"R0A0X1","2012",1,10
"R0A0X1","2013",1,1
"R0A0X1","2016",1,6
"R0A0X1","2017",2,8
"R0A0X1","2019",2,5
"R0A1E0","2011",2,4
"R0A1E0","2012",2,10
"R0A1E0","2018",2,14
"R0A1E0","2019",1,3
"R0A1E0","2020",2,2
"R0A1E0","2021",1,1
"R0C1G0","2011",1,42
"R0C1G0","2012",2,20
"R0C1G0","2013",1,6
"R0C1G0","2014",2,26
"R0C1G0","2015",2,18
"R0C1G0","2016",6,47
"R0C1G0","2017",6,26
"R0C1G0","2018",4,24
"R0C1G0","2019",8,26
"R0C1G0","2020",5,17
"R0C2B0","2014",2,27
"R0C2B0","2015",1,4
"R0C2B0","2016",1,9
"R0C2L0","2012",1,2
"R0C3A0","2009",1,21
"R0C3A0","2010",5,9
"R0C3A0","2011",3,39
"R0C3A0","2012",3,3
"R0C3A0","2013",11,49
"R0C3A0","2014",5,20
"R0C3A0","2015",5,20
"R0C3A0","2016",6,12
"R0C3A0","2017",10,19
"R0C3A0","2018",19,27
"R0C3A0","2019",20,39
"R0C3A0","2020",20,28
"R0C3A0","2021",4,5
"R0E0A0","2011",1,15
"R0E0A0","2012",3,9
"R0E0A0","2013",2,2
"R0E0A0","2014",2,4
"R0E0A0","2015",8,29
"R0E0A0","2016",5,19
"R0E0A0","2017",5,24
"R0E0A0","2018",4,13
"R0E0A0","2019",7,31
"R0E0A0","2020",7,30
"R0E0A0","2021",1,1
"R0E0B0","2007",2,13
"R0E0B0","2008",3,28
"R0E0B0","2009",3,48
"R0E0B0","2010",2,30
"R0E0B0","2011",3,14
"R0E0B0","2012",6,78
"R0E0B0","2013",8,61
"R0E0B0","2014",5,65
"R0E0B0","2015",13,96
"R0E0B0","2016",35,126
"R0E0B0","2017",32,130
"R0E0B0","2018",55,147
"R0E0B0","2019",64,125
"R0E0B0","2020",168,149
"R0E0B0","2021",10,14
"R0E0C0","2020",1,30
"R0E0K0","2020",2,3
"R0E0M0","2007",1,64
"R0E0M0","2008",1,63
"R0E0M0","2009",3,74
"R0E0M0","2010",3,69
"R0E0M0","2011",7,65
"R0E0M0","2012",16,83
"R0E0M0","2013",10,72
"R0E0M0","2014",28,73
"R0E0M0","2015",16,73
"R0E0M0","2016",18,71
"R0E0M0","2017",47,105
"R0E0M0","2018",45,103
"R0E0M0","2019",40,96
"R0E0M0","2020",74,116
"R0E0M0","2021",5,12
"R0E0R0","2011",1,9
"R0E0R0","2013",1,1
"R0E0R0","2015",27,58
"R0E0R0","2016",3,23
"R0E0R0","2017",28,64
"R0E0R0","2018",63,92
"R0E0R0","2019",67,88
"R0E0R0","2020",56,88
"R0E0R0","2021",7,10
"R0E0T0","2011",1,44
"R0E0T0","2012",2,29
"R0E0T0","2013",1,1
"R0E0T0","2014",1,15
"R0E0T0","2015",3,27
"R0E0T0","2016",1,15
"R0E0T0","2017",3,27
"R0E0T0","2018",1,17
"R0E0T0","2020",4,27
"R0E0T0","2021",2,4
"R0E0Y0","2010",1,4
"R0E0Y0","2014",1,11
"R0E0Y0","2015",10,46
"R0E0Y0","2016",2,17
"R0E0Y0","2017",2,5
"R0E0Y0","2019",1,1
"R0E1C0","2009",1,13
"R0E1C0","2010",2,7
"R0E1C0","2011",3,4
"R0E1C0","2012",39,99
"R0E1C0","2013",8,54
"R0E1C0","2014",25,77
"R0E1C0","2015",14,101
"R0E1C0","2016",26,128
"R0E1C0","2017",14,107
"R0E1C0","2018",36,112
"R0E1C0","2019",43,146
"R0E1C0","2020",30,122
"R0E1C0","2021",4,11
"R0E1J1","2007",7,28
"R0E1J1","2008",10,90
"R0E1J1","2009",10,69
"R0E1J1","2010",12,38
"R0E1J1","2011",14,79
"R0E1J1","2012",28,121
"R0E1J1","2013",74,131
"R0E1J1","2014",56,111
"R0E1J1","2015",117,139
"R0E1J1","2016",159,149
"R0E1J1","2017",140,157
"R0E1J1","2018",142,167
"R0E1J1","2019",182,142
"R0E1J1","2020",300,166
"R0E1J1","2021",69,23
"R0E1S0","2014",1,9
"R0E1W0","2007",4,26
"R0E1W0","2009",2,16
"R0E1W0","2010",6,22
"R0E1W0","2011",3,5
"R0E1W0","2012",15,64
"R0E1W0","2013",18,54
"R0E1W0","2014",16,82
"R0E1W0","2015",8,49
"R0E1W0","2016",5,13
"R0E1W0","2017",13,87
"R0E1W0","2018",23,59
"R0E1W0","2019",26,45
"R0E1W0","2020",24,97
"R0E1W0","2021",5,15
"R0E1X0","2011",1,11
"R0E1X0","2016",1,3
"R0E1X0","2020",1,2
"R0E1Z0","2009",1,18
"R0E1Z0","2010",1,19
"R0E1Z0","2011",8,39
"R0E1Z0","2012",6,44
"R0E1Z0","2013",14,51
"R0E1Z0","2014",6,33
"R0E1Z0","2015",4,26
"R0E1Z0","2016",11,38
"R0E1Z0","2017",6,40
"R0E1Z0","2018",18,68
"R0E1Z0","2019",17,66
"R0E1Z0","2020",11,50
"R0E1Z0","2021",2,11
"R0E2B0","2013",1,3
"R0G0A1","2017",1,11
"R0G0A1","2019",3,25
"R0G0A1","2020",1,8
"R0G0A1","2021",5,5
"R0G0A2","2008",3,11
"R0G0A2","2009",1,11
"R0G0A2","2010",6,54
"R0G0A2","2011",3,11
"R0G0A2","2012",9,79
"R0G0A2","2013",30,92
"R0G0A2","2014",19,104
"R0G0A2","2015",28,113
"R0G0A2","2016",41,99
"R0G0A2","2017",36,112
"R0G0A2","2018",52,129
"R0G0A2","2019",93,119
"R0G0A2","2020",168,152
"R0G0A2","2021",33,22
"R0G0E0","2008",2,10
"R0G0E0","2009",1,1
"R0G0E0","2010",2,2
"R0G0E0","2011",4,14
"R0G0E0","2012",1,13
"R0G0E0","2013",6,29
"R0G0E0","2014",1,11
"R0G0E0","2015",6,25
"R0G0E0","2016",3,12
"R0G0E0","2017",9,23
"R0G0E0","2018",34,34
"R0G0E0","2019",36,36
"R0G0E0","2020",25,27
"R0G0E0","2021",11,9
"R0G0M0","2008",4,7
"R0G0M0","2009",2,2
"R0G0M0","2012",1,16
"R0G0M0","2013",11,43
"R0G0M0","2014",3,3
"R0G0M0","2015",1,2
"R0G0M0","2018",7,9
"R0G0M0","2019",11,16
"R0G0M0","2020",14,8
"R0G0M0","2021",10,6
"R0G0P0","2013",3,14
"R0G0P0","2014",1,8
"R0G0P0","2021",3,7
"R0G0S0","2008",2,3
"R0G0S0","2010",5,6
"R0G0S0","2011",1,49
"R0G0S0","2012",4,8
"R0G0S0","2013",4,5
"R0G0S0","2014",6,6
"R0G0S0","2015",21,20
"R0G0S0","2016",2,24
"R0G0S0","2017",1,4
"R0G0S0","2018",3,9
"R0G0S0","2019",10,60
"R0G0S0","2020",4,19
"R0G0S0","2021",1,1
"R0G1N0","2009",1,32
"R0G1N0","2010",9,25
"R0G1N0","2011",4,9
"R0G1N0","2012",4,38
"R0G1N0","2013",12,47
"R0G1N0","2014",17,55
"R0G1N0","2015",9,44
"R0G1N0","2016",7,42
"R0G1N0","2017",14,60
"R0G1N0","2018",30,71
"R0G1N0","2019",39,80
"R0G1N0","2020",45,82
"R0G1N0","2021",12,13
"R0G1Y0","2007",8,6
"R0G1Y0","2008",6,7
"R0G1Y0","2009",9,10
"R0G1Y0","2010",15,13
"R0G1Y0","2011",12,11
"R0G1Y0","2012",15,17
"R0G1Y0","2013",17,54
"R0G1Y0","2014",22,21
"R0G1Y0","2015",26,20
"R0G1Y0","2016",2,12
"R0G1Y0","2018",1,51
"R0G1Y0","2019",2,6
"R0G1Y0","2020",4,22
"R0G1Y0","2021",2,3
"R0G1Y1","2011",2,35
"R0G1Y1","2012",1,5
"R0G1Y1","2014",2,5
"R0G1Y1","2015",4,18
"R0G1Y1","2017",11,38
"R0G1Y1","2018",9,49
"R0G1Y1","2019",11,47
"R0G1Y1","2020",10,25
"R0G1Y1","2021",3,10
"R0G1Y2","2016",1,1
"R0G1Y2","2017",1,3
"R0G1Y2","2020",1,4
"R0G1Y2","2021",2,2
"R0G2J0","2008",2,5
"R0G2J0","2009",2,8
"R0G2J0","2010",1,2
"R0G2J0","2011",2,3
"R0G2J0","2012",1,12
"R0G2J0","2013",6,21
"R0G2J0","2014",4,19
"R0G2J0","2015",7,25
"R0G2J0","2016",1,7
"R0G2J0","2017",7,38
"R0G2J0","2018",18,42
"R0G2J0","2019",14,22
"R0G2J0","2020",16,26
"R0G2J0","2021",13,15
"R0G2M0","2011",2,1
"R0G2M0","2018",1,6
"R0G2M0","2019",1,3
"R0G2M0","2020",2,8
"R0G2M0","2021",3,6
"R0G2N0","2010",1,5
"R0G2N0","2011",1,9
"R0G2N0","2013",1,5
"R0G2N0","2014",17,32
"R0G2N0","2015",3,20
"R0G2N0","2016",1,8
"R0G2N0","2018",3,16
"R0G2N0","2019",5,14
"R0G2N0","2020",10,23
"R0G2P0","2008",1,7
"R0G2P0","2009",1,6
"R0G2P0","2013",8,34
"R0G2P0","2014",18,34
"R0G2P0","2015",12,33
"R0G2P0","2016",13,28
"R0G2P0","2017",7,24
"R0G2P0","2018",14,31
"R0G2P0","2019",27,37
"R0G2P0","2020",13,33
"R0G2P0","2021",10,14
"R0G2W0","2010",1,3
"R0G2W0","2014",1,9
